Region,RegionID,Division,PostDCA,MeanValue,SEMValue,MaxValue,N,Rank,Readout
lNX,35,Hind,0.5159242026090447,2.226404382617392,0.18436235239978616,4.664301831914824,35,1,FC shift
lpRF,14,Hind,-0.6214145198808102,2.173035083354619,0.16998695559267424,5.169788769921924,35,2,FC shift
lRa,10,Hind,-0.0735911725310707,2.169307929537185,0.17067361405158823,5.093908781675428,35,3,FC shift
lSP,28,Tel,1.3712731940440055,2.1678527700219625,0.16663986102585043,5.041214041781611,35,4,FC shift
lPO,25,Tel,1.597289572572563,2.159716802696545,0.18188899858343505,4.823119264053746,35,5,FC shift
lP,22,Tel,1.231407127758574,2.1007222048262206,0.16982195277848972,4.71119024123367,35,6,FC shift
rNX,71,Hind,-0.6893400895121092,2.097523512087566,0.16542369507730154,4.325307770640087,35,7,FC shift
lMOS2,3,Hind,-0.0071471653109744,2.089490975879672,0.17510353383388041,4.969989680439806,35,8,FC shift
rHb,52,Di,1.269284446459516,2.0893464411959997,0.16836370293042577,4.616798030669575,35,9,FC shift
laRF,12,Hind,-0.564318946902863,2.0800654565613077,0.16132383550811943,4.847460633938689,35,10,FC shift
rRa,46,Hind,-0.7676411283127857,2.071605174228109,0.16765415103146808,4.208910690022865,35,11,FC shift
rCb,37,Hind,-0.5336652505464933,2.0542166889253703,0.15153857022206457,4.578936016634486,35,12,FC shift
rSP,64,Tel,0.8449219250677052,2.039051733461942,0.12864897942668826,3.9020547240975114,35,13,FC shift
rMOS1,38,Hind,0.1636463986792904,2.0342548821216746,0.16748803947922616,4.893928528852402,35,14,FC shift
rPO,61,Tel,1.5828504374539252,2.0265919091543974,0.15598132811585239,4.783734859932146,35,15,FC shift
rMOS3,40,Hind,-0.5651363701456422,2.0198795143355137,0.1702047805353363,5.298924217850307,35,16,FC shift
lCb,1,Hind,-0.2315640970792312,2.0145599709420647,0.14867786687445186,4.5851543378955455,35,17,FC shift
lMOS3,4,Hind,-0.5280442068802194,2.0031733423878535,0.1712265410666462,5.565209885630259,35,18,FC shift
rpRF,50,Hind,0.1036759995667764,1.9987782447799305,0.16905311681629864,4.6720141394914325,35,19,FC shift
lHb,16,Di,2.367608420229504,1.9923821820943044,0.1591222848385235,4.5288382832651015,35,20,FC shift
lPT,24,Di,0.4045887279983318,1.9790094073798696,0.16587685940957328,5.066836369637366,35,21,FC shift
lMON,0,Hind,-0.1885718314625819,1.9686880785548546,0.1515297135092079,4.8683008155149095,35,22,FC shift
rMOS2,39,Hind,0.8422349936180663,1.9570604683105834,0.15096373705976912,4.656329479567524,35,23,FC shift
lMOS5,6,Hind,0.0790485777784951,1.9465638056505254,0.1376158617583263,4.047447005217024,35,24,FC shift
lMOS1,2,Hind,0.2022953258935894,1.9380337126723215,0.1429516198142772,4.670471339147711,35,25,FC shift
limRF,13,Hind,-1.4314709184810288,1.9342011674643917,0.14558922379186331,4.223504018833782,35,26,FC shift
lMOS4,5,Hind,0.1781221791123736,1.9339918290587959,0.165588660977029,4.677514339696638,35,27,FC shift
rP,58,Tel,1.6274838194004198,1.9235654924278176,0.1300570056877352,3.6708427919991937,35,28,FC shift
lPrT,26,Di,-0.760839251044076,1.9188639409572954,0.14639371614704633,4.268110668380208,35,29,FC shift
raRF,48,Hind,-0.6631233902290617,1.9140651279195806,0.14154865528161892,4.264866887248359,35,30,FC shift
rPT,60,Di,0.6955220273189893,1.8859545372604036,0.1454013866685567,4.407729944214105,35,31,FC shift
rMOS5,42,Hind,0.1403162582100628,1.8768976695976902,0.13636805775254274,4.106951867927844,35,32,FC shift
lTeO,29,Mes,-0.2210299497159543,1.8495012462974652,0.1308404928791864,4.281244007483217,35,33,FC shift
rMON,36,Hind,-0.2082518398993548,1.8454273180977916,0.1324528578947189,3.9188164095922167,35,34,FC shift
rT,47,Hind,-1.0407411074881572,1.819548914296939,0.12938686887207898,3.934457560641617,35,35,FC shift
rPrT,62,Di,-0.8729101402526896,1.8194592662550864,0.15192890432886405,4.745257008630261,35,36,FC shift
lTh,30,Di,-0.2793243646397808,1.8087533475885362,0.14563895426641787,3.891455533667126,35,37,FC shift
rMOS4,41,Hind,0.1259050281807271,1.8074589932047294,0.1534063084793152,4.412327340257732,35,38,FC shift
lT,11,Hind,-0.7772193815657938,1.8036745171909854,0.12954775224469467,4.245040370722212,35,39,FC shift
rTS,68,Mes,-0.0707917864782934,1.7901055879214047,0.13412848914278416,3.727469762599196,35,40,FC shift
rTeO,65,Mes,-0.9360345644680328,1.7881013650796183,0.10863977121051813,3.393949680965675,35,41,FC shift
rimRF,49,Hind,-1.54619502907132,1.7495965972230474,0.1380023866950268,4.242924172101743,35,42,FC shift
rTh,66,Di,0.1226794801102152,1.7306527132177938,0.12767439922110613,3.828119842082522,35,43,FC shift
lTS,32,Mes,-0.038289558822681,1.6638427251528902,0.09611199131969105,3.6791946344835087,35,44,FC shift
lOB,20,Tel,0.8396904821626903,1.5447745598234022,0.09310702162918973,3.3045992275513427,35,45,FC shift
