Region,RegionID,Division,PostDCA,MeanValue,SEMValue,MaxValue,N,Rank,Readout
lOB,20,Tel,0.8396904821626903,0.3801559930095799,0.023582137253077978,0.5252143489617255,35,1,FCV
lTS,32,Mes,-0.038289558822681,0.3151428641762967,0.020992689016878313,0.4620699385400323,35,2,FCV
rP,58,Tel,1.6274838194004198,0.31460216206525593,0.02144023479303965,0.4637083820360517,35,3,FCV
lSP,28,Tel,1.3712731940440055,0.30412689779144386,0.023274429495673855,0.489436687161111,35,4,FCV
lMON,0,Hind,-0.1885718314625819,0.3027512015802521,0.017903199687817645,0.4911421931860879,35,5,FCV
rTeO,65,Mes,-0.9360345644680328,0.2995187243094674,0.022787698378486904,0.4875600668764023,35,6,FCV
rRa,46,Hind,-0.7676411283127857,0.29760358459398567,0.02413564555712683,0.5809561899308121,35,7,FCV
lRa,10,Hind,-0.0735911725310707,0.29683365911571824,0.026117028204712168,0.567914767017459,35,8,FCV
lP,22,Tel,1.231407127758574,0.2948900214354701,0.021229929948458615,0.4588379165828236,35,9,FCV
rHb,52,Di,1.269284446459516,0.29474393736247384,0.021376446725257632,0.4894140009587553,35,10,FCV
lMOS5,6,Hind,0.0790485777784951,0.29473982074052385,0.023229327720625435,0.4791600610741884,35,11,FCV
rMON,36,Hind,-0.2082518398993548,0.2944851968594356,0.018137333773554663,0.46903428087217,35,12,FCV
rSP,64,Tel,0.8449219250677052,0.2915977605946785,0.02269566929403544,0.4941913191504221,35,13,FCV
lTeO,29,Mes,-0.2210299497159543,0.2904532329897283,0.019895139015110783,0.4376602037747146,35,14,FCV
lHb,16,Di,2.367608420229504,0.29019062137878426,0.022073817358833615,0.4651230563766427,35,15,FCV
rPO,61,Tel,1.5828504374539252,0.285992152793086,0.023478838483931525,0.5050656977436238,35,16,FCV
rMOS5,42,Hind,0.1403162582100628,0.2847615531334589,0.02270518541101966,0.4801878821061443,35,17,FCV
rPT,60,Di,0.6955220273189893,0.27813772890089505,0.022929398363726792,0.4970685307135166,35,18,FCV
rTh,66,Di,0.1226794801102152,0.27789176261088494,0.022413907647582727,0.5045788635782261,35,19,FCV
lPO,25,Tel,1.597289572572563,0.2751655942562774,0.02347322262111598,0.4877429929640151,35,20,FCV
rNX,71,Hind,-0.6893400895121092,0.2692301008847984,0.023525029006132334,0.5038810986910325,35,21,FCV
rTS,68,Mes,-0.0707917864782934,0.2665961902516535,0.017491544791115334,0.4192689431942073,35,22,FCV
lpRF,14,Hind,-0.6214145198808102,0.26578185009689204,0.022439601500696963,0.4754692474880981,35,23,FCV
lTh,30,Di,-0.2793243646397808,0.2655163351122563,0.021773920271235224,0.4507346379518553,35,24,FCV
laRF,12,Hind,-0.564318946902863,0.26484504689474797,0.022555246190106737,0.4649102890939023,35,25,FCV
lNX,35,Hind,0.5159242026090447,0.2642108052783021,0.022269068549649638,0.4838755311367861,35,26,FCV
lPT,24,Di,0.4045887279983318,0.2622180521212296,0.02239030003419789,0.4720243988805692,35,27,FCV
rCb,37,Hind,-0.5336652505464933,0.26221755604031716,0.02128397158236658,0.4554560760615358,35,28,FCV
lCb,1,Hind,-0.2315640970792312,0.2564188883638338,0.02080246144344713,0.483446180636872,35,29,FCV
rpRF,50,Hind,0.1036759995667764,0.25525466428126764,0.020772040437009455,0.4594897840532705,35,30,FCV
lMOS3,4,Hind,-0.5280442068802194,0.2535743419473534,0.02329054594809625,0.4863435972947824,35,31,FCV
lMOS4,5,Hind,0.1781221791123736,0.2521027385994168,0.022152295918321224,0.4605661065261907,35,32,FCV
rPrT,62,Di,-0.8729101402526896,0.24962679931012402,0.02217369905996077,0.4830934937015341,35,33,FCV
lMOS2,3,Hind,-0.0071471653109744,0.2493329096753695,0.02187807978071552,0.4607053905947141,35,34,FCV
limRF,13,Hind,-1.4314709184810288,0.2493068708728923,0.020133806910214023,0.4553249400145402,35,35,FCV
rMOS3,40,Hind,-0.5651363701456422,0.24893282359680172,0.022757261100006074,0.4624443381760294,35,36,FCV
lPrT,26,Di,-0.760839251044076,0.24749236796360832,0.021978160326369636,0.4513199247371535,35,37,FCV
lT,11,Hind,-0.7772193815657938,0.24550933193605323,0.0218010269279068,0.440924567431669,35,38,FCV
rMOS2,39,Hind,0.8422349936180663,0.24440826570680052,0.02084095812869111,0.4322912096290326,35,39,FCV
rimRF,49,Hind,-1.54619502907132,0.24249532790501444,0.021103590781925335,0.4504730269035719,35,40,FCV
rMOS4,41,Hind,0.1259050281807271,0.23926401781259607,0.021788570492433955,0.4371724376708657,35,41,FCV
rT,47,Hind,-1.0407411074881572,0.2384066592120273,0.021522618636482492,0.4352456943447272,35,42,FCV
lMOS1,2,Hind,0.2022953258935894,0.2368108640764228,0.022020146446137808,0.4553419077646674,35,43,FCV
raRF,48,Hind,-0.6631233902290617,0.2365251426872903,0.020648677872982354,0.430545134403836,35,44,FCV
rMOS1,38,Hind,0.1636463986792904,0.23486008233475988,0.021830067624705626,0.4514020901897007,35,45,FCV
