Subject,StimulusIndex,Region,RegionID,Division,PostDCA,FCShift,NTimepoints,SpotNeuronCount,StimNeuronCount,Definition
12,0,lOB,20,Tel,0.8396904821626903,4.149554361472191,44,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lP,22,Tel,1.231407127758574,2.6387405783794753,44,933,933,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lPO,25,Tel,1.5972895725725633,2.6295610205706823,44,425,425,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lSP,28,Tel,1.3712731940440057,1.772023627577962,44,679,679,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rP,58,Tel,1.6274838194004198,2.938573571970112,44,976,976,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rPO,61,Tel,1.5828504374539252,2.4778934560846415,44,382,382,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rSP,64,Tel,0.8449219250677052,1.961027836945089,44,658,658,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lHb,16,Di,2.3676084202295034,3.354060488038768,44,309,309,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lPT,24,Di,0.4045887279983318,2.1023953426769357,44,379,379,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lPrT,26,Di,-0.760839251044076,1.9664273052540946,44,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lTh,30,Di,-0.27932436463978083,2.0308151848151144,44,1186,1186,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rHb,52,Di,1.269284446459516,2.3022794342610076,44,260,260,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rPT,60,Di,0.6955220273189893,2.5501906060618507,44,407,407,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rPrT,62,Di,-0.8729101402526896,1.9620039567973901,44,577,577,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rTh,66,Di,0.12267948011021526,2.4198754647562404,44,1297,1297,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lTS,32,Mes,-0.038289558822681,2.880370224458326,44,404,404,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lTeO,29,Mes,-0.22102994971595435,2.2028763611706323,44,6182,6182,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rTS,68,Mes,-0.0707917864782934,2.715137730702617,44,130,130,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,rTeO,65,Mes,-0.9360345644680327,2.240515256025833,44,7358,7358,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lCb,1,Hind,-0.23156409707923123,2.0460488550226756,44,1625,1625,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lMON,0,Hind,-0.1885718314625819,1.9905578491125675,44,863,863,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lMOS1,2,Hind,0.20229532589358945,1.7082162021329326,44,1419,1419,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,0,lMOS2,3,Hind,-0.007147165310974443,1.5482318068572782,44,558,558,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
