EdgeConvention,DCAConvention,OutputPolarity,Subject,RegionID,Region,Division,Variant,PreDCA,PostDCA,InterOutDegree,LogInterOutDegree,OO_count,OO_fraction,ON_count,ON_fraction,NO_count,NO_fraction,NN_count,NN_fraction
col0_to_col1,prepost_swapped,positive,12,20,lOB,Tel,unit_norm,0.025352283903585543,-0.01517923565858712,45.0,1.662757831681574,11.0,0.24444444444444444,8.0,0.17777777777777778,17.0,0.37777777777777777,9.0,0.2
col0_to_col1,prepost_swapped,positive,12,28,lSP,Tel,unit_norm,-0.1683756641209453,0.05850414733172581,26325.0,4.420384876960408,7957.0,0.3022602089268756,7469.0,0.28372269705603037,5463.0,0.20752136752136752,5436.0,0.2064957264957265
col0_to_col1,prepost_swapped,positive,12,22,lP,Tel,unit_norm,-0.24252547255975526,0.03628971405283923,16362.0,4.213862930386819,4937.0,0.3017357291284684,5636.0,0.34445666788901114,3053.0,0.18659088131035326,2736.0,0.16721672167216722
col0_to_col1,prepost_swapped,positive,12,25,lPO,Tel,unit_norm,0.10547464131468995,0.0919157179043068,104706.0,5.019975716633494,31487.0,0.3007182014402231,19492.0,0.18615934139399842,32794.0,0.3132007716845262,20933.0,0.19992168548125228
col0_to_col1,prepost_swapped,positive,12,16,lHb,Di,unit_norm,0.06147008743869889,0.1826173361041643,14844.0,4.171580201932064,5629.0,0.37921045540285636,1194.0,0.08043654001616815,6777.0,0.45654810024252224,1244.0,0.08380490433845325
col0_to_col1,prepost_swapped,positive,12,30,lTh,Di,unit_norm,0.016317353397184577,-0.07007278611083301,108197.0,5.034219233071923,29398.0,0.27170808802462176,37715.0,0.34857713245284067,18270.0,0.16885865597012856,22814.0,0.21085612355240904
col0_to_col1,prepost_swapped,positive,12,31,lTL,Mes,unit_norm,-0.03389288418826278,-0.43529276706549624,5731.0,3.758306181725307,567.0,0.09893561333100681,2774.0,0.48403419996510205,317.0,0.05531320886407259,2073.0,0.36171697783981854
col0_to_col1,prepost_swapped,positive,12,24,lPT,Di,unit_norm,-0.015281003314262012,0.005755048887717806,63562.0,4.803204386532493,16635.0,0.2617129731600642,14102.0,0.22186211887605803,19211.0,0.3022403322740002,13614.0,0.2141845756898776
col0_to_col1,prepost_swapped,positive,12,26,lPrT,Di,unit_norm,-0.017789700572933262,-0.1626158030509389,97087.0,4.987165554770618,12618.0,0.12996590686703677,22633.0,0.23312080917115577,22662.0,0.23341951033609032,39174.0,0.40349377362571714
col0_to_col1,prepost_swapped,positive,12,29,lTeO,Mes,unit_norm,-0.026469748483135918,-0.10715461121249406,626551.0,5.796957120622897,78893.0,0.12591632604528602,144648.0,0.23086388817510467,159866.0,0.2551524137699884,243144.0,0.38806737200962094
col0_to_col1,prepost_swapped,positive,12,11,lT,Hind,unit_norm,-0.020716424270743657,-0.15586948889476132,908139.0,5.958152805063628,182112.0,0.2005331782909885,374245.0,0.4121010109685852,121081.0,0.13332870849066056,230701.0,0.2540371022497657
col0_to_col1,prepost_swapped,positive,12,32,lTS,Mes,unit_norm,-0.08194379520553854,-0.0660817130245003,34710.0,4.5404671255765106,6706.0,0.19320080668395276,10746.0,0.30959377700950735,6547.0,0.18861999423797177,10711.0,0.30858542206856815
col0_to_col1,prepost_swapped,positive,12,1,lCb,Hind,unit_norm,-0.030529591119643845,-0.10654923990948854,192301.0,5.283983801058277,31331.0,0.16292686985507096,63679.0,0.3311423237528666,32823.0,0.17068553985678703,64468.0,0.3352452665352754
col0_to_col1,prepost_swapped,positive,12,12,laRF,Hind,unit_norm,-0.026940256961761423,-0.0817508654249998,189264.0,5.2770703090919255,33931.0,0.17927867951644264,61527.0,0.3250855947248288,32247.0,0.1703810550342379,61559.0,0.32525467072449066
col0_to_col1,prepost_swapped,positive,12,4,lMOS3,Hind,unit_norm,0.0036234451406826833,-0.11239884647281821,760662.0,5.881192291913447,153786.0,0.20217389589594328,325052.0,0.4273277750170246,95232.0,0.12519621066912767,186592.0,0.2453021184179044
col0_to_col1,prepost_swapped,positive,12,13,limRF,Hind,unit_norm,0.04839762057894502,-0.19714642753469272,146331.0,5.165339308379311,29076.0,0.19870020706480512,67868.0,0.46379782821138377,14246.0,0.09735462752253453,35141.0,0.24014733720127657
col0_to_col1,prepost_swapped,positive,12,2,lMOS1,Hind,unit_norm,0.06092327046549768,-0.08201660919892462,418047.0,5.621226150048518,94746.0,0.22663958837164241,153384.0,0.36690611342743756,81068.0,0.19392077924252535,88849.0,0.21253351895839462
col0_to_col1,prepost_swapped,positive,12,0,lMON,Hind,unit_norm,-0.06731469126794652,-0.07644959491545425,222656.0,5.347636353244854,36858.0,0.1655378700776085,61356.0,0.2755640988789882,44888.0,0.20160247197470538,79554.0,0.3572955590686979
col0_to_col1,prepost_swapped,positive,12,5,lMOS4,Hind,unit_norm,-0.019491271874711048,-0.052902272535541806,257556.0,5.410873357827783,34842.0,0.1352793178959139,65264.0,0.253397319417913,56918.0,0.220992716147168,100532.0,0.3903306465390051
col0_to_col1,prepost_swapped,positive,12,6,lMOS5,Hind,unit_norm,-0.011468664821469039,-0.0615517628140393,276479.0,5.4416637207987995,39417.0,0.14256778995873104,72332.0,0.2616184230990419,61618.0,0.22286683617923966,103112.0,0.37294695076298745
col0_to_col1,prepost_swapped,positive,12,14,lpRF,Hind,unit_norm,0.10878045162584069,-0.13404715046484086,150068.0,5.176290988583086,29730.0,0.1981101900471786,62193.0,0.41443212410373964,22130.0,0.1474664818615561,36015.0,0.23999120398752566
col0_to_col1,prepost_swapped,positive,12,3,lMOS2,Hind,unit_norm,0.0928836615588254,-0.09241824441304652,157234.0,5.196549225004735,20396.0,0.12971749112787312,29142.0,0.18534159278527546,41081.0,0.2612730071104214,66615.0,0.42366790897643003
col0_to_col1,prepost_swapped,positive,12,35,lNX,Hind,unit_norm,0.04648086651163741,-0.0464494764794686,63099.0,4.800029359244134,15409.0,0.24420355314664258,19460.0,0.3084042536331796,12422.0,0.19686524350623624,15808.0,0.25052694971394157
col0_to_col1,prepost_swapped,positive,12,56,rOB,Tel,unit_norm,-0.05436956591932375,0.00644874789388332,17.0,1.255272505103306,1.0,0.058823529411764705,3.0,0.17647058823529413,7.0,0.4117647058823529,6.0,0.35294117647058826
col0_to_col1,prepost_swapped,positive,12,64,rSP,Tel,unit_norm,-0.02736513644891387,-0.008298247221769708,8253.0,3.9166644645413973,1749.0,0.2119229371137768,1970.0,0.23870107839573487,2084.0,0.2525142372470617,2450.0,0.2968617472434266
col0_to_col1,prepost_swapped,positive,12,58,rP,Tel,unit_norm,-0.06102193874366105,0.09468804849454926,46317.0,4.665749798393899,14217.0,0.30694993199041387,9481.0,0.20469805902800267,13995.0,0.30215687544530084,8624.0,0.1861951335362826
