,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
IL1L,,0.2941167790073971,0.2925902190779375,0.265519626597685,0.2864814764346543,0.29605089584907107,0.2899459134116382,0.27598537849803517,0.27311458431588,0.31013664301640537,0.25016038871713603,0.2784391149128397,0.25216156600407197,0.32454772250463154,0.24226704664783474,0.26225833204112486,0.2290853049726141,0.25175247327391326,0.2657284142337276,0.3009758967466789,0.2958939131804805,0.3207716296895669,0.34335089544329755,,0.2529204058792175,0.2962058174052755,0.2919218192681288,0.28283256869765705,0.27680479255382523,0.240561551738371,0.2772647791882457,0.30668353698086875,,0.25139156857158895,0.24522696408015354,0.31804276874978743,0.24666417932349502,0.30432543919221955,0.2561615281782401,0.24182630867190627,0.331908179463115,0.24996566067431794,0.3433760824806376,0.27772875801400815,0.3485603197065123,0.277620114416144,0.317547957015979,0.26499991758413843,0.3041766823158176,0.2874014916637146,0.3298962503269531,0.2622150039103098,0.30279743524878966,0.23537229281030395,0.21510683681736137,0.19173354821056737,0.2523860255147289,0.294255438345459,0.2729756936649091,0.32077122202128894,0.3725663628525593,0.2225038605903742,0.23290762992238076,0.33929426255911005,0.32140232589279594,0.24909496379368148,0.33033276647832627,0.23572168689629028,0.2164573579191285,0.2753297840829635,0.2636182657230612,0.3325634381502373,0.2932509536094117,0.24112804042802946,0.274964045217091,0.33123894050993513,0.3419481064790664,0.2925881969314127,0.3096804082267514,0.33980515803329264,0.32852454123294234,0.3573901665013703,0.2655971461311043,0.29168796192981594,0.2380989952528015,0.3380955061522896,0.2967231659238958,0.3724411671683713,0.2783249352732413,0.3347632078825442,0.34891919138300587,0.30164324276315263,0.23220135146845602,0.27049434420278934,0.2898126701984608,0.24453730786052666,0.270903233046069,0.2607314277121686,0.31690907914569255,0.31108572340047314,0.32758870317268174,0.2385549490152765,0.282818377696787,0.2951338594389078,0.33154622109259746,0.26983987051328595,0.276053696267222,0.3486818636564095,0.25733374829393807,0.3239926045337077,0.28466413409358704,0.2797937177247078,0.32434755984670915,0.28654147069301283,0.31822064670826133,0.3484556863153465,0.2757189995403678,0.3018168257383616,0.31262727081776004,0.25136600982923396,0.3030687807631562,0.309679331734981
IL1R,0.2941167790073971,,0.21861391672952318,0.27001403985781774,0.26042431698540747,0.3146544365951954,0.27371599067237473,0.29876179799565183,0.20886167309073359,0.2630810358678169,0.3200130511387133,0.308170982481777,0.22181670444831045,0.278625155047347,0.2627272413873528,0.33318931068556096,0.23299194702665127,0.31916806746276644,0.27213304496491353,0.3298446438307187,0.30591223078482616,0.303298399714742,0.34321252279707554,,0.2674368918878503,0.27781977218734266,0.3217440313825934,0.2402301335071753,0.27712367073666316,0.26354280535278146,0.27055389847206845,0.3246454751076723,,0.2702883007473941,0.2509806575882514,0.3372924528995478,0.2564783934497344,0.34468226015258235,0.23894002532416858,0.2670176815278083,0.3617862859100651,0.22065774170396302,0.4055834850964491,0.2695743764840843,0.35367959642029273,0.2571983159819097,0.33368799829675455,0.2558628117179537,0.3145575635753291,0.2547321573015812,0.3235933408996805,0.28252429929556755,0.2907120778651416,0.235280964107732,0.2477929149282462,0.17673363053638896,0.2773785239928932,0.2708249229470799,0.27910299360047236,0.22320831965442967,0.22794554304835002,0.27850798470222077,0.2316105223882964,0.29784572169220075,0.3063297935038357,0.21726140120047086,0.2103378615115934,0.24485515228408586,0.21823354435295,0.2336232661530459,0.35061066631536797,0.2957561738240161,0.23955645860420247,0.24961347779440624,0.24259459307173595,0.26996872428535773,0.22565226746961545,0.27732228681587995,0.3462356407348218,0.26429508261822493,0.23518889220714057,0.3018473645161168,0.2278868350000749,0.26261286017905733,0.2299329097326004,0.3368365542132219,0.2508915902803762,0.3927633510727632,0.2922334138113626,0.35348851745351517,0.27826281688425974,0.28572766979377123,0.28356694084604045,0.2825236959656398,0.28326244942913814,0.20753751349311025,0.24412422593962985,0.29327564348833457,0.3590368217414655,0.2539088853192597,0.29602245646021424,0.2607357468763156,0.25077975691068777,0.24316242798058288,0.31043405097627635,0.2563655070800677,0.25781558540580307,0.2938083718161442,0.21415318062393976,0.32717061262734054,0.26202398527310217,0.24715702001749879,0.3374275178609007,0.2562837972142246,0.17341046983575148,0.36624928533960555,0.31442537105100066,0.3613484121296733,0.30777165886454483,0.30086156286598764,0.3119200013510657,0.28146595079579856
IL1VR,0.2925902190779374,0.21861391672952318,,0.27299915954609844,0.3036277088433055,0.2490330065969756,0.2635786661000645,0.2631297228103871,0.2513941355010639,0.2635814379311885,0.3112620372408233,0.28466067805605993,0.22054174391717873,0.2970264275428165,0.28639615990494394,0.3133231865120806,0.2352764595545929,0.2978237807371564,0.26778467791173044,0.3126431102740295,,0.3358173284557915,0.30642788078902183,,0.25845123683065313,0.28926735305187046,0.32099201213242384,0.26009267804246256,0.2913556139469873,0.2716987202579305,0.2413573330924131,0.32526856869736437,,0.25897119401183755,0.2600379178150381,0.2906048751464921,0.2638703551570889,0.3015099354287356,0.23080004146486852,0.24406710105007207,0.31697943385699157,0.22779072735282746,0.3538705526379248,0.25967694642497297,0.35433910201380625,0.2892553208077552,0.32428771677455503,0.257646012190817,0.29039350056514307,0.25402539374166844,0.30982491377951404,0.2806182539302009,0.2593368431690482,0.24070850095698143,0.229624595408799,,0.3601454340811654,0.26377852108028654,0.2803642417972514,0.28923370882668287,0.3103249572624444,0.2779000154143627,0.23938358231673423,0.2756573864345169,0.3163171984347976,0.24081694524096273,0.28783918304900896,0.2775544006507951,0.21141610165555455,,0.3325523784430038,0.29166989331254073,0.25412506166008847,0.22515167439178393,0.26557504759878475,0.29651244238939023,0.27472081925117176,0.2723180140292764,0.28344612636358657,0.2890860224163067,0.2810707319224707,0.26788900947961947,,0.24826903772022152,0.23256127294477805,0.3274600949170078,0.30864976836329966,0.3459450846322425,0.29359857352833735,0.38987792439597263,0.3423344355971863,0.2184890016657198,0.2753587236693075,0.27125056700572636,0.29050634557109745,0.20206277916072393,0.24860326987967998,0.30664237951547363,0.325516927777619,0.29493114147211086,0.30967963827248984,0.25168224049925253,0.284203734669536,0.24467134964698758,0.29668254986745746,0.25864275201364756,0.28944743251603927,0.27020586411325453,0.2827145594195205,0.3340040974659548,0.26169025524935335,0.23989721066468886,0.3334280204626552,0.2542600821389958,0.24503770322272367,0.3952243263169527,0.3188409258060977,0.313846561619294,0.3275579181661066,0.3093109890546301,0.2860956660763412,0.3010806469849392
FLPL,0.265519626597685,0.27001403985781774,0.27299915954609844,,0.26848966483834485,0.2706105474549313,0.2579055216060015,0.22932014139529125,0.24175732028991972,0.26726657466174064,0.25729558636887917,0.27657873618431866,0.20171334877272784,0.2815646654646983,0.23248380537938343,0.2710170961294969,0.2286712039862955,0.2766419372826821,0.22942531276434247,0.266716848634318,0.2723003913932668,0.2812796691266299,0.2624052248770413,,0.22585152291990612,0.25030316656385504,0.2751079887894183,0.24467115937337722,0.2594182048506211,0.20665138472320882,0.2524548452648164,0.260701380659131,,0.23351274368173683,0.2405202813372324,0.2694718313931862,0.22805338999560537,0.25369045725502803,0.2364145200969411,0.20703517844141736,0.30866487237902734,0.22679925495759498,0.2622936354064569,0.22120227170432152,0.28773881910528093,0.23364154597251993,0.2761819802561943,0.21944689848165116,0.26230721221071257,0.23555941919959528,0.261032578258956,0.24065092346794495,0.2563920712383609,0.22860320498126951,0.2044806636351559,0.15942073010130417,0.2306194150601657,0.2510350163928472,0.2533720044331173,0.29527187775498553,0.29024602297811597,0.2460825971997457,0.26556205356334195,0.2608776930679565,0.2918612455797688,0.2226898928616722,0.3031588061164562,0.2152291846723489,0.21542913570538647,0.2307732080942002,0.2811535818584659,0.29533031502079804,0.30568227051326496,0.24177536147598655,0.29254581631080406,0.29763202357496077,0.2873276960535525,0.25809091161255565,0.23303501547052866,0.2895245111952555,0.2958561802155274,0.24256098849592228,0.20380679399721982,0.20959234558205955,0.22865718150771097,0.28316563186781474,0.24506618165922278,0.32215593851686464,0.26154175483100855,0.2872992285308689,0.2899239729731692,0.322397403925715,0.2284626387689826,0.25724801113449147,0.2672611675320758,0.22151764520027478,0.22228519463180116,0.29143604578601084,0.26236496330051406,0.2903366486581881,0.25512170984597843,0.25093458990828355,0.24531536866983947,0.2598817844606603,0.35049953882842483,0.23695782262341442,0.3065045077026638,0.282745951145037,0.2570781434529196,0.2850729789408262,0.23785943179313898,0.24017389158525254,0.283304708396993,0.2260711058167086,0.27870382086040435,0.3655908284787982,0.23434959640522582,0.27734237819544966,0.2666837492122596,0.2748256202125758,0.2650924437294835,0.26943483859022643
URYDL,0.2864814764346543,0.26042431698540747,0.3036277088433055,0.26848966483834485,,0.2493735508640409,0.25666873927894646,0.2284746726132789,0.28663968604547446,0.282589459074512,0.28054753075566174,0.310981546738501,0.2564842548896915,0.306411609231254,0.24305450734611656,0.2923419136108701,0.251484252476876,0.2853516163649476,0.2804167237368678,0.2944693165727205,0.3145752272862525,0.2720348524057214,0.35048563520580234,,0.2431218258515837,0.29027023416309206,0.2849658824077018,0.23792472794471603,0.30427604131009,0.2580547024978409,0.27033564423457795,0.28235769371399916,,0.26103764053326406,0.27093809003781166,0.33696767978997544,0.23564840884453558,0.30083583216110615,0.24853831831773426,0.2613140094423175,0.343178990011454,0.2325686813166205,0.34129069666981227,0.23414731682992776,0.33908291851375366,0.2675112940194986,0.3840702927962657,0.258093280716608,0.30888347432018914,0.2613567294512618,0.3180629564517014,0.2610270496931442,0.28091714621530894,0.2489983354745083,0.23776929885585008,0.23899444404096631,0.2794560816472817,0.2807267249010507,0.2703757154047333,0.2752673703899395,0.32100048777413237,0.24203465262642593,0.2932096285019511,0.32297664648855606,0.32852957232375307,0.25054705085693313,0.31466462045481153,0.24686506064570493,0.21381230342384044,0.23570978387027686,0.26975075985165925,0.3072022790235059,0.2915158211490397,0.2474634599737389,0.3047084408557657,0.3000611341884041,0.3031254479549737,0.25627104342593254,0.2685264782207098,0.2866799564251727,0.29351735951052793,0.3223503162844127,0.2534070594197825,0.28196621502971997,0.23400482774385048,0.36159265546175834,0.25450529882147155,0.28927494125323433,0.30146760110572934,0.3159442161481514,0.2928203368082915,0.34307692699970993,0.2520336631967749,0.2685472305680312,0.31260331446452655,0.22976600919187887,0.22716238549956444,0.29213578917093913,0.334680214396697,0.29585231859838834,0.2950956348398517,0.23568401422481852,0.26247596118365135,0.27220838697240635,0.30120928561781196,0.2771309069685654,0.23656388300118483,0.30778683179708033,0.28112329030705646,0.33167028300987295,0.2708497037170614,0.23356815429454408,0.3270231705995857,0.2833609677387841,0.28421344242280927,0.3210226607058999,0.26273220490099786,0.29823338141578404,0.29898612575840694,0.2519068577327774,0.2946996478576997,0.32500511660620507
IL1VL,0.29605089584907107,0.3146544365951954,0.2490330065969756,0.2706105474549313,0.24937355086404084,,0.25284602613453544,0.26622657350677176,0.2961309681567678,0.2675595519680646,0.30381425237257487,0.27579029501564184,0.2206075687816576,0.287681701070073,0.28130738701148494,0.26872316120629336,0.2011740822115288,0.2791477405850819,0.255568077819119,0.2682545708274825,0.3673934611574,0.30189374971251276,0.21451795711656385,,0.22261564760578775,0.2638215633467848,0.26687278325257907,0.24671775090871756,0.24105683586874524,0.23658018245954385,0.2683614555221486,0.293873782213567,,0.23839736854871166,0.26266658142877874,0.2841220923121987,0.22134412058747668,0.2559130553263566,0.2335999476194018,0.24772915174760593,0.2640294286584876,0.23394339187514204,0.2796800936108206,0.23810012377780476,0.3441407380888248,0.27542173941214004,0.35824803158400564,0.22509203671063957,0.25573285137549817,0.2524382864480853,0.2880983214818604,0.2577396197083666,0.25710968290071073,0.21427927188230747,0.2219406122715917,,0.38471756120641326,0.23033662302346683,0.27620588899838616,0.2968091315012476,0.36146102127352664,0.23237915790708166,0.2128863019813724,0.2797854884901975,0.28223263136947735,0.2023401791742344,0.3094249666172228,0.24719072427791994,0.2224293587018921,,0.24576382283624212,0.29600627905841786,0.2695303192763977,0.24196420800854695,0.30392976489313955,0.3003884825106813,0.28828802908122686,0.24844111107628689,0.3017518399265932,0.2980683694283462,0.3018597471262047,0.2533254991776272,,0.22444344788988813,0.20103911269133304,0.30106119426255523,0.2757053071487906,0.28163245837946427,0.2639346725647113,0.3007327962224417,0.2953867015428149,0.28945951130589714,0.2615818338249965,0.2416564844758259,0.26840661716541375,0.22603964132188778,0.24882929136237264,0.2530260155886893,0.27710684395194973,0.32426240116810223,0.24324336454904016,0.23158436567313592,0.2631389652792561,0.2767476474403219,0.3135568751170234,0.25759806771417604,0.2522737541456021,0.2824755743951667,0.24587965634287556,0.29713191252566745,0.22331618136097536,0.2030297080727921,0.28747392528955623,0.25943963176604784,0.2925021476943332,0.3779018335020922,0.29002001955183354,0.2825819631972077,0.3093350632445548,0.31748057612679403,0.2691889775707524,0.27765344841508793
URYVR,0.2899459134116382,0.27371599067237473,0.26357866610006453,0.2579055216060015,0.25666873927894646,0.25284602613453544,,0.27618952843534594,0.2698667394631139,0.2821054109427304,0.3044159187201463,0.2984530007289661,0.22437389980112363,0.21805390359036483,0.22657108692201136,0.29223299683082965,0.2025827104560328,0.2843138659633975,0.2556522246970697,0.2785720672695947,0.2821787077993437,0.27494308399874956,0.2807387949503962,,0.23514795307487146,0.24190893041618997,0.27310328419041097,0.22272334051584788,0.28289124406114147,0.22426759836761576,0.23608805898315088,0.27896472032128167,,0.26133336581389865,0.2329354940883348,0.3284835791757976,0.23206679052084683,0.28472361484785286,0.22750283784638942,0.22082218123154423,0.3251232598818365,0.21318213255100227,0.2752938899115512,0.2077048386725147,0.363251418860076,0.26396028632161644,0.3502441386805461,0.23982701562132533,0.2730445271071184,0.19805417172720766,0.27793323058210834,0.25753486565312894,0.2703922263644376,0.22014008039156463,0.22957921838248352,0.24499927809839986,0.29650353773234317,0.27293396160840994,0.25901195095915147,0.2568324028628416,0.25085032352975967,0.23209021068629407,0.23650116170325994,0.2636634585481149,0.2803354440711415,0.20496221224794015,0.2719947501445878,0.22492495484843483,0.2336513299949279,0.2641853285081922,0.3822827690106086,0.32542105812070604,0.2341508249005789,0.22831797715632487,0.28373593659138135,0.2435534229174314,0.24954684126063822,0.22835108745703495,0.167489443869287,0.2547900631587661,0.2591420757274897,0.28921671209567135,0.27607989838682834,0.2965674104122822,0.21043198051292097,0.2974137757857918,0.23630284948364125,0.31676753534027474,0.2776862384891316,0.28664013182386555,0.2564769783728951,0.40437286888615326,0.23390595830903413,0.2590185300777758,0.2764521278740451,0.23763286001998948,0.20793848927937741,0.24458960310698843,0.269837938860139,0.2622213831220508,0.28775045681770833,0.2420055672392203,0.24624403004428946,0.2346162654089377,0.35497693601363245,0.24264975932782587,0.227661481472497,0.23319866406288128,0.2191859421727186,0.2823736861254695,0.2303909378805942,0.22605226579627147,0.27264163445595324,0.21607869037117,0.23830386268962886,0.27720943636792456,0.25411288797910253,0.2615026070877373,0.2527031023742455,0.25873849334874544,0.2712671570373645,0.3030587335040997
URYDR,0.27598537849803517,0.29876179799565183,0.2631297228103871,0.22932014139529125,0.22847467261327883,0.26622657350677176,0.27618952843534594,,0.28575378156266923,0.2626559627597924,0.28359884247251704,0.26984323252409065,0.23300629355643487,0.2899477811321417,0.24200245351572183,0.2794313766841989,0.23100212440134746,0.2796610106419447,0.23837620686698494,0.24800628265307645,0.2497345808733827,0.2669044757403817,0.27845203127175766,,0.23280136329680545,0.2647956252550213,0.2674663170072476,0.2435801632444131,0.25428047217294397,0.24718132302903453,0.25335807137555444,0.2647270199956455,,0.2576875314503691,0.26553470797224465,0.29531408356728406,0.22338088109145848,0.2686957486618979,0.24180828382005876,0.24194430990700633,0.2992115132345227,0.24649576081223837,0.2466908849157372,0.23433205383819677,0.32809550074313426,0.22725344835765812,0.2894133373555832,0.27391175371715293,0.2772584493728015,0.24677794593568325,0.27526897791777094,0.26607816173782683,0.27518363469531865,0.22120509691198773,0.22322246274527863,0.2935899242793011,0.22117471817055287,0.25361041590034955,0.24510304757419632,0.2882352632401249,0.31408779125093056,0.24843260302077574,0.2624560810701388,0.2812674139442089,0.3056500576418203,0.22674506766782865,0.2828285969075053,0.2186294899708952,0.20588291527911803,0.20909138633118654,0.27250240366822037,0.2916445614760499,0.2991356637584869,0.24880696700915864,0.28156728983437546,0.2960541469958438,0.297778255485684,0.2581865075723879,0.27665711841151747,0.29135608901777527,0.2931445440784893,0.21558313520614253,0.3246133184452748,0.24522516467158686,0.2291307037927389,0.28870766328372116,0.2433031253719795,0.280707057802558,0.2720957621109146,0.27649621355667,0.2822864818980187,0.25506372684017664,0.25624250926546965,0.24409660950489673,0.26624194119080785,0.27127224185978627,0.21053441458347127,0.3130269246387333,0.3339465029675332,0.2841891069988897,0.28801759495480367,0.23289411823735767,0.2668862291013945,0.25512719192042516,0.2839512776085909,0.25962634587749345,0.2802251968212978,0.2985437689733799,0.24492987396891452,0.3061190541268614,0.27592045964926115,0.2568813718150112,0.31180189411970133,0.23012598139849624,0.29609932565071745,0.2921009138607299,0.2635328471070271,0.29379443317159604,0.30041907828331404,0.255731213243025,0.2349464769207001,0.2787197845053069
IL1DR,0.27311458431588,0.20886167309073359,0.2513941355010639,0.24175732028991978,0.28663968604547446,0.29613096815676787,0.2698667394631139,0.28575378156266923,,0.2560206278858295,0.28958651245739075,0.29646879225511147,0.24416901873506106,0.2880532093091287,0.2264174678630704,0.3041746831281662,0.19590492711843663,0.2797127173806238,0.2413211037449081,0.2932989658347976,0.26514841248042265,0.31508903744299155,0.30584439834235133,,0.243875928866442,0.25159060215474066,0.29730755656936936,0.22194988485878414,0.24664693387029396,0.24141298577728196,0.25175964077457524,0.29115677848329813,,0.24862256726846899,0.24273299209742016,0.31537281439973514,0.23713961073363668,0.2886158692532816,0.22667085109287383,0.254462762598373,0.2882116000723528,0.23606450219631095,0.33249050245773065,0.2442770575122827,0.4025523083048793,0.2493228638790233,0.3217684054629911,0.225789502622929,0.2971744408414159,0.2467335055092555,0.28925085978708737,0.28120093197128665,0.2822926012578914,0.23053020000352714,0.22310520721283839,0.29512780072101374,0.30282713279457246,0.2502880518041534,0.2998748454571901,0.26455574470555526,0.275651665399461,0.2617777826759913,0.23423599264194928,0.2651528680642321,0.3075493432570754,0.21430713151752592,0.24390759651702348,0.23113674906366619,0.19711346451899783,0.17187142968065755,0.2830974337644355,0.27492191678885647,0.2858074116322326,0.23525693848746004,0.2549846338721009,0.27722004051745996,0.2584517382115478,0.2563652661270067,0.3043747212575995,0.2772139047868588,0.2482107245800433,0.25705837179003066,0.2559258138215699,0.29432906299354444,0.235554724135484,0.27811409282712335,0.28122624762531234,0.26897282419988733,0.29043104097120725,0.2892611930908448,0.29768363743939613,0.28361879400163714,0.25782999821746944,0.26214812184881015,0.2895502059041592,0.2424936275136244,0.2217128611294149,0.28833515470981536,0.28395686954782684,0.2817733598899794,0.31967943691223955,0.2504109706526739,0.2583056112811012,0.22836534571605688,0.32811531358191426,0.25819619841526337,0.26346822939591535,0.3032865581220716,0.2367929089678884,0.316737174600868,0.26980404160388666,0.24190346666434503,0.31622940349740203,0.21701212353113464,0.22842608525601688,0.33586167547561385,0.2746151988198736,0.3057069714149604,0.308437938314652,0.23311361380217188,0.3061801943401434,0.3100669422455646
OLQDR,0.31013664301640537,0.2630810358678169,0.2635814379311885,0.26726657466174064,0.282589459074512,0.2675595519680646,0.2821054109427304,0.2626559627597924,0.2560206278858295,,0.27287552769016704,0.22881177166913352,0.22537407597595083,0.2795527472560461,0.24495491424383495,0.23185185491382385,0.24211776656401815,0.26923884223885985,0.25421972123821174,0.2704143555548926,0.2671186257357317,0.31393989558774754,0.3293442301972868,,0.23740617360200178,0.293773593716446,0.2935623548356677,0.2569321123290798,0.30829124823648285,0.25755053165195085,0.2605664415051707,0.2687777905346462,,0.26670852343611223,0.24517911904633954,0.31674366401090376,0.2509111191622412,0.2909090283963778,0.22127959254217094,0.23921143390869332,0.3210954436959497,0.24466946863886307,0.34409758561168663,0.27615788463491947,0.3567699296753951,0.25607950766544046,0.3382447169421847,0.272780684561224,0.28962143381564986,0.26480126473966986,0.3117116368048822,0.28648659482019184,0.3147269138064286,0.22943899702433415,0.23327092680650743,0.2998350968296462,0.2859580948423164,0.25892519741600156,0.26731518533030924,0.28899568123607816,0.33638595080533834,0.22959070000229576,0.23759728391722135,0.2775148171035784,0.30056781463994936,0.2413980841980245,0.3112940332892052,0.23185151748346197,0.2110648842083521,0.25572305863364625,0.2951767701208604,0.29152905144410735,0.24837040642614863,0.24354287147483988,0.27455573724230325,0.3033764467126298,0.29942298103985376,0.28698394353795686,0.2569827756513902,0.3095797765013782,0.3123538320423625,0.24412967299711,0.27464561895131706,0.28752547073720736,0.2507514986352921,0.2788158151304507,0.2863243992078211,0.3180151480720679,0.27954315776968136,0.3012781837746483,0.34053662153466985,0.31452452604272485,0.23781136877818565,0.2530016329838562,0.29381307855175187,0.23794332377788854,0.26948703770871857,0.2790547006202751,0.3436605759970738,0.28979992124506243,0.32989271739862075,0.24049710178048547,0.28894810764289874,0.28236839431346017,0.32126570572523067,0.2686779048998608,0.27682837808840216,0.3117592145963131,0.25855487124851423,0.33994405796706684,0.26039813308119103,0.20312127298058558,0.3318397601866945,0.22938236597732028,0.2890109190350713,0.34363891993333723,0.2960448261168235,0.28522641687007594,0.2990445275013858,0.2727974228773545,0.2994391774453651,0.2886471685925991
