,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
IL1L,,0.030925549503985916,0.08236827748975627,0.19901908553969547,0.1809240071015098,0.2795298297367589,0.03474578733011129,0.1539847651411283,0.27976622028681364,0.3275018433507132,0.5268802407412486,0.3709563266773304,-0.03570229551024131,0.06709610572189807,0.36368931965965107,0.44210532097115596,-0.03768680592553452,0.497761724906752,0.03227769247105919,-0.049245697078369434,-0.10847402978531091,0.011538432788207216,0.03790921317914902,,0.13819729473918727,-0.1513290498944221,0.022236931934615345,-0.10147918289859496,0.050944336191965145,0.061079130075548396,0.22606919427667932,0.17497209824032386,,0.0610217625540398,0.18075484445977968,-0.0562412200352758,0.14694980234841923,-0.09134155976210337,0.09704867512372575,0.41512990896602625,-0.16288373691694155,0.07944799243504398,-0.0706729001481665,0.0762877397488165,-0.05137281455434174,-0.05217234852936941,0.03944830557828615,0.0755587377085992,0.05200081101793678,0.17460223400104727,-0.05246785728945686,0.06787122470983997,0.25734486991528865,-0.004805836318127422,-0.05063490218273397,0.19648922284229584,-0.06248597218409751,-0.07163329052914638,-0.08103038275948567,-0.1848442251942026,0.2015800255664032,-0.06973892815396766,-0.04526926701016839,-0.0632217393419554,0.06245209015869077,-0.2112594818928097,-0.24543541238582822,-0.007987032920717054,-0.03039128139388775,0.08453662016202088,-0.022720189705177616,-0.06441110718710841,-0.10709779951223738,0.041346976420315526,-0.1178124005337352,-0.14466523138161586,-0.18276272142694852,0.13080629169435845,0.2068355115601885,-0.174723321628598,-0.22907853631118344,-0.13486864018996256,0.013184684357421567,-0.2423687445580477,0.005853116536404822,0.012761806030227158,0.15645532318679406,0.06326867658743522,-0.013848457728471597,0.06625734705213122,0.018679683441454327,-0.3784912635740686,0.400862332886539,0.06070699525143059,0.06066198824330357,0.13180993978752542,0.042424086325496844,8.629213536204387e-05,0.07627155239867782,0.2501382855165598,0.036150398950823684,0.09316480815990999,0.023004561209364487,0.13025585439072368,0.3383174965562093,0.1319481975423058,0.247303312281948,0.09046944366779583,0.07710663229262774,0.010110892158700618,0.1791924654509926,0.04640309340824889,0.035531675546049635,0.15105331144350928,0.043791037730191225,0.1312500353831462,0.02461997330323314,0.31121876216400385,0.06757892278595357,0.18760407771988993,-0.10889554658087996,0.1572805577148018
IL1R,0.030925549503985916,,0.6345401050107258,0.06745413358224842,-0.29267880733487767,0.2631450301598582,-0.11259233308842105,0.17243494035966553,0.5821046780456697,0.2137432226067144,-0.028113256121518798,0.2060889550773298,0.056690945665213474,-0.4481118086270257,0.1539633530198273,0.017968610212158745,0.02944805318130484,0.02270359931340606,0.05051270139387349,0.018403613923710743,0.3246074148920614,0.04268269539784266,0.05445374740874913,,0.07467041010891182,-0.3274159050450834,0.16139978143650643,-0.38289298652423587,0.17064146675611,0.15447615279613994,0.16839183010101003,-0.02799682569644273,,0.1786034757942354,0.09010890021778252,0.0904759510435052,0.07293565136042994,-0.12572644523621346,0.27633099932852534,0.07029014435860859,-0.18934344038388348,0.3741773826674924,-0.24221632953767286,0.23917815439993834,-0.06228260955447301,-0.037304450447711114,0.08679694193195445,0.3747485915796323,0.012414558498349328,0.33935112035489046,-0.07298690379928416,-0.13517919020835603,-0.24321194798110388,-0.09465075643944106,0.07180766148486918,0.5832691989057003,-0.1410331782024804,-0.12605983328309492,0.27746642504649105,-0.5334802900413471,0.6007692535980764,0.24893698518707483,-0.191697444492909,-0.10786741029422853,-0.025521012046912744,0.014992140704200671,-0.5511471215324764,0.06920121830195751,-0.09425683935023614,0.07543414809564487,0.1058890075067217,-0.12370013646871755,-0.5558261490872722,0.09645602051723512,-0.5604549573397029,-0.5008830711270383,-0.5333215912229408,0.2676147567843911,0.4252216974446089,-0.5244468417037121,-0.5418146115980592,-0.14776561794541604,0.6121793327942346,0.1753098113422696,0.28602164603123015,-0.03702042692636207,0.4964030679967255,0.024804457511134925,-0.19125583407435495,0.24907414086485175,0.47304448124253157,-0.3683109797029423,0.1408279566024656,-0.007733975495916476,0.09892277610711918,0.35410916750217847,0.29367450129442946,0.12643651495207306,0.16113978306594456,0.01979977554578865,0.2624900647837897,0.11996374524519263,-0.1945512750963962,0.23629951631225862,0.4547558062670502,0.242114550873733,0.4477617622639995,-0.23809541053753955,0.11134119856651074,0.017101610926826608,-0.1385415607665414,-0.005019752432917059,0.03109125454347242,0.03454196904211368,0.7107035474098775,0.17092647024260182,0.05309097884434621,0.16766952588030945,0.2463056082880292,0.10280344595615962,-0.21396069502900145,0.05582993890467547
IL1VR,0.08236827748975627,0.6345401050107258,,0.045881439637050485,-0.0749072594052723,0.49444293108759496,-0.015399141677491679,0.28986744715761115,0.4988371752070561,0.29461372008424735,0.10130254895026537,0.28899307486474296,0.016353528737803127,-0.29882246274694374,0.2391158464722827,0.12639658229741577,-0.038154858245793725,-0.004248333041863614,0.022798373259774043,0.06219629251363188,,0.10287531498091107,0.005034985552267373,,0.06878459568513451,-0.16731592551046814,0.10790576509688254,-0.23413258663312156,0.11302105605995076,0.10326725339723364,0.054669153621549726,0.139977476199402,,0.2147833844818408,0.11454908177553524,-0.03055220295397071,0.12875628915936826,-0.1022256057464849,0.347569500953916,0.009146395851476571,-0.1554707926715093,0.17265810104187077,-0.008337971281758172,0.00876592246376099,-0.07531773621556626,-0.03969513488280096,0.07745567565907426,0.3452554059117525,-0.03843451888932988,0.06317328995448478,-0.08918258623272346,-0.07673342187020353,-0.1927282570873532,-0.0608577691322561,0.033258480538727195,,0.16001342279896236,-0.0172287415333928,0.10633613104536305,-0.24235627862832598,0.49677484624047935,0.09167457282521393,-0.05520495246295254,-0.07694503526472604,-0.0057631622561088785,0.0008537892158798008,-0.33259854564425295,0.0775325888676426,-0.07365142720093842,,0.09306967653048925,-0.10298179328699406,-0.4403978534914403,0.03392325476426184,-0.4440261704761584,-0.2909566028978489,-0.30720685226857675,0.11567428920523914,0.437733015048961,-0.30177535048130016,-0.3834860869433876,-0.2717068441081264,,0.15926156524874902,0.22532225441571785,-0.042480697888022015,0.14028017359773906,-0.1660173523845015,-0.15464932431522183,0.016430406710655442,0.17147213826796356,-0.21701933195417777,0.10573284929110442,-0.026482472439530516,0.0790661819201817,0.255819639826219,0.09059021146347974,0.07546026825498571,0.04831902067626032,0.1426484388098731,0.1097853477428159,0.09599230319397287,-0.005860633719986536,0.23947162331852176,0.45927387065727077,0.18972354902146726,0.44068295879333524,-0.1472593929163817,0.08970512990289403,-0.03603136069084055,-0.12432550927970294,0.06526867993997171,-0.02164516952047555,0.010140174461629806,0.48610242712626145,0.08064511534121067,-0.03734505833562775,0.03160922994384557,0.09168988006929635,0.13006124991812404,-0.11876830036954056,0.13338107240862174
FLPL,0.19901908553969552,0.0674541335822484,0.045881439637050485,,0.06205431390102054,0.039544134540137055,-0.06139089239124026,0.06162727290593183,0.10896115503154757,0.1547939160614118,0.22640825346060994,0.19324548137306014,0.07209014075114939,-0.04664286385676644,0.12991211643633052,0.19585351772828008,0.03541550666675149,0.2638948404844843,0.28158715621582564,-0.003194253372734438,0.028072452716539752,-0.06243034310877038,0.07495289769303373,,-0.04172761419976596,-0.11512637023566515,0.02665469323141778,-0.07157313104751223,0.06690855776052228,-0.054539593837339105,0.15850764467109474,0.06037342739688934,,0.013069734032559625,0.07095227631756716,0.0419498783892685,0.019131426532282753,-0.07541703556772139,0.03711667537153762,0.10918080979943548,-0.08060865824094132,0.04355147006334079,-0.07575630958959034,0.06955481890496433,-0.02936643536497418,-0.0019939952270785054,0.06204566765440359,-0.004136614186834575,0.04118047054318154,0.10999651900934243,0.01253462753706425,0.035832495777813216,0.08514414705835441,0.020554804489797244,0.14733412119644357,0.00914870451601426,-0.03479381280908101,-0.03148576573055274,0.017859152971061464,-0.17697477546893792,0.03609936846128531,0.03139574313292972,-0.008120526002210287,-0.09529635185043997,-0.04343035771916894,0.0861447867453934,-0.19458017512954895,0.09289733025551307,0.1481097327858696,0.14653642678279144,0.0922478060306851,0.0675342174035247,-0.12936462426193818,0.1556543956461273,-0.13936714518252752,-0.14813727281106853,-0.17053913066167842,0.09891774547865147,-0.05283711896571693,-0.14424222666673792,-0.1805215577877622,0.004175216512085293,-0.0075719262492378175,0.0969148242158775,0.030471543901337595,0.05945421744064704,0.12480700815241336,0.05476998512141143,0.0024634235719060244,0.08783215942805273,0.058602422328845924,-0.07124026609997011,0.1981611730075712,0.05996146108583204,0.13286420546383107,0.06811982330078487,0.08956214046635855,0.04339125896359525,-0.017943554662417587,0.08132272521722544,0.13674409352604627,0.06099984967415064,-0.03784626988955881,0.0970789868187463,0.28719340982792746,0.17733583539417289,0.09149485861620381,-0.018374800877430136,0.024005688260196445,-0.018505927894310773,0.02459685308721897,0.06595929385685495,0.023833755901551398,0.0876368789841944,0.10882629898422139,0.12466419888869576,0.019492121280260805,0.24470105889947202,0.027243467131097047,0.14346460631569236,-0.11530178246950998,0.03177546908778009
URYDL,0.18092400710150988,-0.29267880733487767,-0.0749072594052723,0.062054313901020536,,0.08391139772443484,0.2569280087306193,0.3967883734906439,-0.09281334312214277,0.13566561344017505,0.20360514989221562,0.2782098353246432,-0.04875059791141681,0.35891356950717435,0.13360116180390946,0.32922400699706916,-0.03536671551489217,0.1602346110968148,-0.04373538731790924,-0.04101516079257514,-0.16814054650330493,0.03349803910897732,-0.03196154526314815,,0.036254837247896014,0.24288746448642506,-0.01559335336031352,0.2787308994381551,-0.004235075254224542,-0.04535738328766251,-0.050199499624486416,0.17929303569253022,,-0.06294596002063058,-0.0490180629417355,-0.10189569424330705,-0.023372851221475838,0.11252387272606397,-0.0723917328005197,-0.0004436227231715557,0.01863073569356255,-0.145258823658774,0.2641015346229674,-0.14972930720654473,-0.059795268086807095,0.25735088845120263,-0.09767378661282602,-0.21514293107507065,0.12491407528063858,-0.10853412619987085,0.1537382051444836,0.18370999678118397,0.11953428699923468,-0.03223446211678103,-0.11903721892035937,-0.5739069674097368,0.2513121789493246,0.23262130285941307,-0.27917879051211253,0.3544012367663702,-0.2068204659964673,-0.18032999281338286,0.1460366952416105,0.00036541575721261527,0.10365945064816953,0.14480008229773841,0.28515451405076353,0.0390579550859735,0.051515767532520206,-0.06394462155823179,0.1267047860965092,0.06319583249930523,0.29463045904199653,-0.06415276790758631,0.24070507677821404,0.346692396283985,0.33380689597551944,-0.2261068653330086,-0.1301972494160815,0.36630895792335594,0.34788935292992806,-0.08336256491125967,-0.525893992000587,-0.07142934269041672,-0.132231609035037,-0.05103269822389368,-0.37838998591368006,0.20720721220551297,0.11745667015432569,-0.2178611871251384,-0.31682229012873475,-0.004153823607316046,-0.022185236372325935,0.0361174113609224,0.005360069833285041,-0.010412664979456579,-0.4400385424641405,0.0261072881357835,-0.1759784093416642,0.10346230819836565,-0.13502207342523004,-0.08135495570070758,0.07680628783373646,-0.09080382549795496,0.3969752101736863,-0.045153099676181495,-0.2868915710401308,0.21704273798385615,0.09234019995578739,0.042192607645675624,0.2790758139077319,0.12228775944143036,-0.01032427203237061,-0.1706840624415016,-0.39516979837622435,0.06132595084903926,-0.09962616011461109,-0.030422313191056906,-0.10014830152440775,-0.06707076690862378,0.1576105022479653,0.14053256591137647
IL1VL,0.2795298297367589,0.2631450301598582,0.49444293108759496,0.03954413454013706,0.08391139772443486,,0.09701957436879874,0.2135973303707333,0.36567478751177773,0.34647910167937235,0.25364507629477695,0.3034518687962483,-0.06136907327670391,-0.06232631971748111,0.33540081184584075,0.25781563202482616,-0.11378488917344987,0.12885972794279768,0.023288132112240324,-0.006647878218876756,-0.14687387296430626,0.1158972677120202,0.05407943847545793,,0.10832643462340315,-0.08625645762726093,0.10606955682358775,-0.09154897014897441,0.026116691962289006,0.092735306890182,-0.008795776745466439,0.2098674534759628,,0.2093031659510358,0.1727916452845378,0.04131855757165894,0.20115847998477476,-0.0564183149394671,0.23082490509703765,0.10844218992117718,-0.08851573305691131,0.08813976242663533,0.03292555449522892,-0.02977804160187797,-0.03775850631938337,0.04398854295507553,0.06595866436789571,0.1866159603725269,-0.010981986180651281,-0.03356016380843622,-0.07410617919848574,-0.053409170362464765,-0.036441331282042085,-0.08717005719956616,-0.0204625957289455,,-0.08210799232600509,0.03133812330264359,-0.013782177246888752,-0.05165555105474888,0.15593733636975365,0.048766718247303276,-0.1338531369639889,0.02892375812244074,0.059075417315195625,-0.12332117138646183,-0.0871870132632597,-0.038580862645293555,-0.09879534066281463,,0.052682625967209525,-0.09763366168067927,-0.17796054217826812,-0.08037832543178734,-0.21765455913707682,-0.11112607932286839,-0.15157280433660592,0.04288449296323549,0.33126237175512907,-0.10299088085106789,-0.15429048141230073,-0.2811293836305228,,0.12870326630189607,0.06258496561693613,0.022393178159605932,-0.004911761472137863,-0.1570779349062098,-0.15027005428974563,-0.007949174086251712,-0.033655713848871865,-0.25053623600809444,0.21885613742198076,0.026316193012587235,0.06598387407732649,0.1401671101193828,-0.005549007648671329,0.17991332249261952,0.001512504257864332,0.1412612492212968,0.0015411894872420274,0.032685037575506504,0.0056427389245800276,0.10025407043039267,0.2642250414747143,0.12088601676160696,0.14161146562408564,-0.06426362353831813,0.16289383981137717,-0.11957662314333574,0.01067809880075997,0.09408668987317542,-0.06983125816357506,0.05959601240134893,0.21054142305923135,-0.013467637520956175,-0.05367321263896658,0.030683491849490103,-0.007444062407489666,0.07931556509674653,0.011034915877342894,0.12995970804237586
URYVR,0.03474578733011129,-0.11259233308842109,-0.015399141677491679,-0.06139089239124026,0.25692800873061933,0.09701957436879874,,0.19139338239893125,-0.08357099072393567,0.044192897345976784,0.09553681379165413,0.23807487230676475,-0.03452961346374881,0.4648515519065884,0.13826338098823654,0.22279047175758457,-0.13457821289470207,0.017457425751988363,-0.04173533524871866,-0.020857822263696785,-0.18490461014227608,0.08863553596997535,-0.1346093130513972,,-0.0007510137225973782,0.2157129116758753,0.028897074394406724,0.22029958432556482,-0.07092562156557959,-0.05687246373677583,-0.12423479996839683,0.32483282677642167,,-0.017405158508987984,0.03334779422796613,-0.0031850434635537017,0.039495342343502896,0.11599215859373806,0.03961138984889803,-0.1019472714254693,0.07930803632258925,-0.16979437095880082,0.2177753804352555,-0.07796009826081478,-0.006149325944549519,0.08570907963856,-0.03746783516775698,-0.14074530202407318,0.041104644764796444,-0.14565566713383063,0.1014627591966157,0.12332423464278452,0.056685805561223344,0.049838869346763584,-0.09372583784264084,-0.4238473263375689,0.11261964730001672,0.07174820216918927,-0.19458571264279423,0.28973983936641257,-0.4190693181117569,-0.18162877389708162,0.08837317836725717,0.1597585632853606,0.22911641895786453,-0.04739256740981573,0.3423278621059086,-0.03364581895548132,-0.04268032146945204,-0.04818439634047918,0.02882600757199584,0.13434003012189408,0.33343964760819506,-0.055029554433951564,0.317600577219428,0.40350160739008306,0.36414654453156914,-0.20585868018260456,-0.37517974799482906,0.37367333662107605,0.3904244695073277,-0.10566129332098755,-0.3279099994486653,-0.15023609109127803,-0.17249511873175868,-0.0014564126570535956,-0.3542704921689395,0.07011026317880896,0.11282777915704394,-0.22203990720659936,-0.2587026550913373,0.20458644175784835,-0.03852900297615633,0.029672681673989853,-0.018956765296635147,-0.017125667448247728,-0.25912897875643354,-0.10084533209984652,-0.06771553972503705,0.041734029658238005,-0.19013562357190494,-0.02232590887652401,0.24663917152173295,-0.12505662291844963,-0.18242317417533194,-0.157579569913704,-0.20099432421369628,0.292742714543101,0.06189951499765448,0.1098353625512511,0.0827338088323064,0.19671747233146916,0.04317221123509513,0.13526019474227982,-0.2310547913347817,-0.07736986556037276,-0.07938623121114716,-0.2928430207243304,-0.12118662147740573,-0.20742219110347873,0.18949877723681702,0.22478703193566918
URYDR,0.1539847651411283,0.17243494035966553,0.28986744715761115,0.06162727290593183,0.3967883734906439,0.2135973303707333,0.19139338239893128,,0.2941214643541568,0.32793280914354783,0.2310699644753675,0.35920364338606153,-0.023529247773614134,0.09923596373926336,0.25808398813756417,0.3116025822641918,-0.10091592573727792,0.15834887046439775,0.019589437525058418,-0.01413211902427733,-0.08803691388380326,0.16806974071930703,-0.004204434561415067,,0.11333540578259783,0.10821459141835495,0.05154032146215552,0.05770829197147705,0.05876757407318402,0.06184927123656069,0.08373537196394858,0.2935831387284582,,-0.006567646965865768,0.1287360345725024,-0.06751023897997889,0.029211640497763453,0.00883211472668983,0.09773061072202031,0.00021021633421553952,-0.04359419213376464,0.0240144363764776,0.2317538053213271,0.06697187032231948,-0.06232557906466,0.09002623617098954,0.01781414480634333,0.1182960084062624,0.12495391789534671,0.03589545190886557,0.008747427981719187,0.1264895029229984,-0.005130724541684293,-0.1271412234129917,-0.0774093516387343,-0.21477812187238265,0.10479529186704,0.12175549327360632,-0.10686757783516619,0.12852179329962446,-0.07410139479012562,-0.08541886449836757,0.08753147466562504,0.06137001677556019,0.11383583395243363,0.0908802835929063,0.09923578636197983,0.007931255605321319,8.850997973210845e-05,0.055487645759513295,0.06988739093903115,0.025103641886629325,0.10373012583503709,-0.05364435908866858,0.07338577089228253,0.12959855747136972,0.0537832911777121,-0.08939946510119202,-0.09938453791593736,0.12018523986071764,0.03095400293132221,-0.27788777825604316,-0.19679347792194646,-0.09919702837450657,-0.06946692177778867,-0.024697681692496525,-0.16881655462144332,-0.06626141815340077,0.03687571871376069,-0.13613368452936705,-0.12470277640639245,-0.15819587218462441,0.07617617113674438,0.020796219797318084,0.061338235824800094,0.20140416081240362,-0.24492709786722808,0.0897576057055556,-0.005338734113906028,0.10112707253268988,-0.08097109124776795,-0.02764552848272578,0.15777655058999213,0.06530372486006587,0.16255291350743248,0.05543407850492175,0.09429249501260033,0.016689581461075922,0.23860345164537936,0.1496875443727807,0.06413955720057027,0.0973847800799723,0.16376350563448486,0.021644962946412494,0.09216094893460625,0.1667106932008111,0.04586789465703756,-0.0017164664862515742,0.10424413131465025,-0.04492172303042421,0.12198337801331893,0.1978320256281047
IL1DR,0.2797662202868136,0.5821046780456697,0.4988371752070561,0.10896115503154757,-0.09281334312214277,0.36567478751177773,-0.08357099072393566,0.29412146435415687,,0.3573440664806255,0.2214051464196547,0.29069818065245506,-0.047888257450651464,-0.22797298596760437,0.4163398090215322,0.21284664158743935,-0.03846700356890666,0.2629893858791585,0.05804715474990047,-0.008448998439710493,0.12817554188324343,0.0711852294890687,0.10313202835386544,,0.13483955423910157,-0.24464869174907838,0.01178406475371796,-0.2020141812034201,0.04424300811584284,0.13230278127660072,0.21602608780172064,0.09053038028156599,,0.10421259592694504,0.13077684380202897,0.06930103138114241,0.09351085714256327,-0.15887527075261706,0.2374122852833491,0.21505670038012734,-0.1699901961456886,0.2384274770898382,-0.08250814175348979,0.22272723666198577,-0.03742441922432741,-0.07824169205673731,0.0682847031543665,0.35981892077356276,0.016950024235171973,0.2840852188620558,-0.11519359215846055,0.05430470382054012,-0.041266102366207646,-0.11378159358858508,-0.0302340376932486,0.3287266952567599,-0.09445135686850664,-0.06575888816896018,0.09690603468216892,-0.3726420262540345,0.3661155636469155,0.05482313288281596,-0.0739003835540232,0.009853402169319648,0.06032711566233675,-0.04939297716000555,-0.4055696486085655,0.022636249323955526,-0.05450026471264217,0.08900407319213981,0.028550096283119046,-0.035008713203970185,-0.39159199711454545,0.02498747799992383,-0.4036843799685439,-0.31745681752236704,-0.35944050892693197,0.17906363625798147,0.2462309034806025,-0.33706948388336394,-0.3999505115161552,-0.29139648915190486,0.3561615308184594,-0.008554591804939532,0.1337307322831769,-0.0038922705562800613,0.2727240504798286,-0.10421336515175408,-0.10383863728734606,0.21504830354101964,0.18966863042385806,-0.342150629286036,0.2646438772712504,0.01718612997261331,0.09189762402452696,0.2667449155389406,0.17122471092578972,0.08195606566453209,0.14748726033537585,0.1971572145365974,0.17107507833073965,0.02449180506203027,0.01880335232221111,0.2992221128108364,0.426442522820473,0.17493825960664977,0.42004870882265927,-0.16157984833111178,0.1293414863882495,0.03771490345521596,-0.1141174751797585,-0.09097613079382681,0.04568324313004569,-0.018904774563712118,0.5103380218877791,0.20658590171943567,0.08148496374590684,0.1928242083854694,0.20595678633670214,0.23681779814071371,-0.11742190568385893,0.1448675551941374
OLQDR,0.3275018433507132,0.2137432226067144,0.29461372008424735,0.1547939160614118,0.13566561344017503,0.34647910167937235,0.0441928973459768,0.3279328091435478,0.3573440664806255,,0.4090345317983967,0.5234871695800626,0.007392495507979316,0.03212220481306508,0.32721365618258136,0.515869091099186,-0.036406746069137866,0.4346936448310576,0.04393556928417952,-0.07699294517848544,-0.1262137339124178,0.04877313361985697,-0.1315564987831143,,0.1174426083574016,-0.09416274389703472,0.07421197467294514,-0.10597018451346758,0.11201898976361413,0.11655401352762816,0.18991627763245666,0.3642466890844224,,0.06814046377410829,0.22795876502529666,0.02713860364487448,0.12054253318190027,-0.051792822521974986,0.14465297918905107,0.13154220389236854,-0.1460805579020525,0.11196872423653768,-0.08244130148418073,0.000411015133988717,-0.12096007331406086,-0.0077174049374244885,0.05722405658872829,0.07313719929154149,0.009787135241155499,0.06807787827772296,-0.010568465044373433,0.09225289715866267,0.11532712147912022,-0.07019661609651437,-0.00994367938026297,0.009765591968806123,-0.06357309005884001,-0.06364919555659727,-0.10358085611363944,-0.1458076238164051,0.18618631619175768,-0.045312641578396894,0.00819840014764119,-0.09824310152001794,0.04662805133934038,-0.18883589668195383,-0.09878447247059081,0.0472631955830081,-0.037747790564078794,0.06299616743988264,-0.08995431107457068,-0.02913611559575311,-0.30874288963618585,0.06485549382371217,-0.19561166222261608,-0.1642741232986436,-0.1779482945012351,0.021783525526969067,0.2791352071732162,-0.12949201408218353,-0.13562299662279223,-0.2446547745098766,0.09187273032607775,0.08504271777500019,0.05648910025784839,-0.022383227692069976,0.14627214528311483,-0.07639360684589952,-0.011730949173780642,0.1491447760237857,0.01628715825590882,-0.2967055579399163,0.2927295830795084,0.004236727751382079,0.02655767602338921,0.2668741285056223,0.12742844371809828,0.19266848330525987,0.01154856535996671,0.24188397841263193,0.09153300725368292,0.06264382608243818,0.03224645381531075,0.12676156919450798,0.29968870813234055,0.1876414898314634,0.33109883618253005,-0.018885145428482228,0.07291044791647561,0.08392193445190295,0.05156395340957932,-0.0034236257740730275,0.10448332182299903,0.25679669549784045,0.25774431776025164,0.3077380062980946,0.038185797777323935,0.33512660861925614,0.1275527942683749,0.143013371667484,0.014111603791708466,0.205074889399664
