,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
IL1L,0,11,10,14,12,10,10,10,13,14,15,14,8,14,13,14,7,15,13,8,4,6,4,0,14,13,3,10,3,14,15,12,0,12,13,5,10,7,10,12,10,15,7,12,4,9,6,8,14,13,12,8,15,11,13,1,2,9,14,12,4,9,3,7,9,2,11,12,4,1,2,10,5,14,6,14,13,14,3,14,12,1,2,3,6,11,9,2,10,3,14,1,12,14,13,8,6,3,4,13,4,11,12,13,3,14,4,5,4,15,7,2,13,3,14,2,10,13,14,5,5,12
IL1R,11,0,10,13,9,8,12,9,11,11,12,13,7,12,10,12,7,12,12,5,3,5,4,0,11,11,3,9,3,12,13,8,0,11,11,5,8,8,9,10,8,12,5,11,4,7,5,7,12,11,11,7,13,9,12,1,4,7,12,10,2,9,3,6,8,2,8,11,4,1,2,10,6,12,7,13,11,12,1,12,10,2,2,3,4,10,8,3,8,4,10,1,11,12,12,7,7,3,3,10,4,10,10,11,3,12,5,5,3,13,6,2,12,3,12,2,11,12,12,5,2,10
IL1VR,10,10,0,11,8,10,9,8,10,10,11,12,6,11,9,11,4,11,11,5,0,7,2,0,10,10,3,9,3,10,12,8,0,10,10,4,8,5,6,10,7,11,5,9,3,7,3,6,11,9,10,4,12,8,12,0,2,7,11,8,1,7,2,5,9,2,8,8,4,0,2,9,5,12,5,12,10,12,2,11,9,2,0,2,3,8,6,2,7,3,9,2,10,11,11,7,5,3,3,9,3,8,9,10,3,11,4,6,2,12,6,2,10,3,11,1,8,11,10,5,4,10
FLPL,14,13,11,0,12,10,12,11,14,14,15,15,9,15,13,14,8,15,14,8,4,6,5,0,14,14,3,11,3,15,16,11,0,13,13,6,10,9,10,13,10,15,6,12,5,9,7,10,15,13,14,9,16,11,14,1,4,9,15,12,4,10,4,8,10,3,11,13,6,1,2,12,6,15,7,15,14,15,3,15,13,2,2,3,6,12,9,3,10,4,13,1,14,15,15,9,7,3,3,12,4,12,12,13,3,15,6,6,4,16,8,2,15,4,15,2,12,13,15,6,4,13
URYDL,12,9,8,12,0,9,8,9,12,12,13,12,8,13,12,12,7,13,11,9,4,6,4,0,12,13,2,9,2,12,13,11,0,12,10,5,10,6,7,11,8,13,7,11,5,8,5,8,12,11,10,7,13,9,11,1,3,6,12,11,4,8,3,6,8,2,9,10,4,1,1,8,6,12,6,12,12,12,3,13,10,2,2,4,6,9,10,3,9,4,11,2,10,13,11,6,5,3,4,11,4,9,9,11,1,12,5,5,3,13,4,2,12,2,12,1,8,10,12,3,4,11
IL1VL,10,8,10,10,9,0,7,7,9,10,11,10,5,10,10,10,3,11,10,6,1,7,1,0,10,10,3,8,3,10,11,8,0,9,8,3,8,5,6,9,6,11,6,9,3,7,1,5,10,9,9,3,11,7,11,0,1,6,10,9,2,5,2,5,7,2,8,7,4,0,1,8,5,11,5,11,9,11,3,10,8,2,0,2,4,8,7,2,5,3,9,2,9,10,10,5,4,3,3,10,3,8,7,8,3,10,3,5,2,11,4,2,9,2,10,1,7,9,10,4,5,10
URYVR,10,12,9,12,8,7,0,8,10,10,11,12,7,11,9,11,6,11,11,5,3,5,4,0,11,10,2,9,2,11,12,7,0,9,10,5,8,8,9,10,7,11,5,10,4,7,5,7,11,10,11,7,12,8,11,1,4,7,11,9,2,8,3,5,7,2,7,10,4,1,1,9,5,11,6,12,10,11,1,11,9,2,2,3,3,10,7,3,8,4,9,1,11,11,11,7,7,3,2,9,4,9,10,10,2,11,5,5,3,12,6,2,11,3,12,2,10,11,11,5,2,9
URYDR,10,9,8,11,9,7,8,0,13,11,11,12,6,12,10,11,6,12,10,7,3,5,4,0,11,10,2,7,2,11,13,8,0,9,11,4,6,7,7,11,7,12,5,10,4,6,5,8,13,11,9,7,13,7,11,1,3,8,11,10,4,6,3,8,9,3,8,10,4,1,2,8,6,12,4,11,12,11,2,11,11,2,2,4,5,7,8,2,8,3,9,2,10,11,10,5,4,2,2,9,3,8,10,10,2,11,6,6,3,13,5,1,11,3,12,2,9,10,11,4,4,10
IL1DR,13,11,10,14,12,9,10,13,0,14,14,15,8,15,13,14,7,15,13,8,4,6,5,0,14,13,2,10,2,14,16,11,0,12,14,6,9,9,9,14,9,15,6,12,4,8,7,10,16,13,12,9,16,10,14,2,4,9,14,12,4,9,4,8,10,3,10,12,6,1,2,10,6,15,5,14,15,14,3,14,13,2,3,5,5,10,10,2,11,3,12,2,13,14,13,7,6,2,4,12,3,10,12,13,2,14,6,6,3,16,6,1,14,4,15,2,10,13,14,4,5,12
OLQDR,14,11,10,14,12,10,10,11,14,0,15,15,7,15,15,15,6,16,13,8,4,6,3,0,15,13,3,10,3,15,16,11,0,13,13,5,10,9,10,13,10,16,6,13,5,9,6,9,15,14,12,9,16,11,14,2,3,10,15,13,4,9,3,7,10,2,10,12,5,1,2,10,6,15,7,14,14,14,3,14,12,1,3,5,6,11,9,3,9,3,13,2,13,14,13,8,5,2,4,13,3,10,12,12,3,14,4,6,4,16,7,2,14,3,15,2,10,13,15,4,4,12
OLQVL,15,12,11,15,13,11,11,11,14,15,0,15,8,15,14,15,7,16,14,9,4,7,4,0,15,14,3,11,3,15,16,12,0,13,13,5,11,8,10,13,10,16,7,13,5,10,6,9,15,14,13,8,16,11,14,1,3,9,15,13,4,9,3,8,10,2,11,12,5,1,2,11,6,15,7,15,14,15,3,15,13,2,2,4,6,12,10,3,10,4,14,2,13,15,14,8,6,3,4,13,4,11,12,13,3,15,5,6,4,16,7,2,14,3,15,2,11,13,15,5,5,13
OLLR,14,13,12,15,12,10,12,12,15,15,15,0,9,16,14,16,8,16,14,8,3,7,5,0,15,14,3,11,3,15,17,11,0,14,15,6,11,9,10,14,10,16,6,14,5,9,7,10,16,14,13,9,17,12,15,2,4,10,15,13,3,10,3,7,12,2,11,13,5,1,2,11,7,16,7,15,15,15,2,15,13,2,3,5,5,11,9,3,11,4,13,2,14,15,14,9,7,3,4,13,4,11,14,14,3,15,6,7,4,17,8,2,15,3,16,2,11,15,15,5,4,13
FLPR,8,7,6,9,8,5,7,6,8,7,8,9,0,9,7,8,6,8,7,6,2,4,4,0,8,9,1,6,1,8,9,7,0,8,8,6,7,4,5,8,5,8,5,7,4,4,5,6,8,6,8,6,9,7,7,0,2,5,8,6,3,7,2,3,6,2,6,8,2,1,0,5,4,8,3,8,8,8,2,9,6,1,1,1,4,6,5,2,8,3,7,0,8,9,8,7,5,3,1,7,4,7,8,9,0,8,5,4,3,9,5,2,9,2,9,1,5,8,8,3,2,7
URYVL,14,12,11,15,13,10,11,12,15,15,15,16,9,0,14,15,8,16,14,9,4,6,5,0,15,15,2,12,2,15,17,12,0,14,14,6,11,9,10,14,11,16,7,13,5,10,7,11,16,14,13,10,17,12,15,2,4,10,15,13,4,10,4,7,12,3,11,14,5,1,2,11,7,16,7,15,15,15,3,16,13,2,3,5,6,11,10,3,11,4,13,2,14,16,14,9,7,3,4,13,4,11,13,13,2,15,6,6,3,17,7,2,16,4,16,1,11,14,15,6,4,13
IL1DL,13,10,9,13,12,10,9,10,13,15,14,14,7,14,0,14,6,15,12,8,4,6,3,0,14,13,3,9,3,14,15,10,0,13,12,5,10,9,9,12,9,15,6,13,5,8,5,8,14,13,11,8,15,10,13,2,3,9,14,13,4,8,3,6,9,2,10,11,5,1,1,9,6,14,7,13,13,13,3,13,11,1,3,5,6,10,9,3,8,3,12,2,12,13,12,7,5,2,4,13,3,10,11,11,3,13,4,6,4,15,6,2,13,2,14,2,9,12,14,3,4,12
OLLL,14,12,11,14,12,10,11,11,14,15,15,16,8,15,14,0,7,16,13,8,3,7,4,0,15,13,3,10,3,15,16,11,0,13,14,5,11,8,10,13,9,16,6,14,5,9,6,9,15,14,12,8,16,12,14,2,3,9,14,13,3,9,2,7,11,1,10,12,4,1,2,10,7,15,7,14,14,14,2,14,12,2,3,5,5,11,9,3,10,4,13,2,13,14,13,8,6,3,4,13,4,10,13,13,3,14,5,6,4,16,7,2,14,2,15,2,10,14,15,4,4,12
ADER,7,7,4,8,7,3,6,6,7,6,7,8,6,8,6,7,0,7,7,5,3,2,5,0,6,8,2,5,2,7,8,6,0,8,7,3,5,4,5,6,6,7,3,7,3,4,5,6,7,7,6,6,8,6,6,1,3,4,7,7,2,6,2,4,6,1,7,8,2,1,1,6,4,7,4,7,8,7,0,8,7,1,2,2,4,5,5,2,6,3,7,0,6,8,7,4,4,2,2,6,3,7,7,8,1,8,4,3,3,8,4,1,8,1,7,1,7,7,7,3,1,7
OLQDL,15,12,11,15,13,11,11,12,15,16,16,16,8,16,15,16,7,0,14,9,4,7,4,0,16,14,3,11,3,16,17,12,0,13,14,5,11,9,11,14,10,17,7,14,5,10,6,10,16,15,13,9,17,12,15,2,3,10,15,14,4,9,3,8,11,2,11,13,5,1,2,11,7,16,7,15,15,15,3,15,13,2,3,5,6,12,10,3,10,4,14,2,14,15,14,8,6,3,4,14,4,11,13,13,3,15,5,6,4,17,7,2,15,3,16,2,11,14,16,5,5,13
ADEL,13,12,11,14,11,10,11,10,13,13,14,14,7,14,12,13,7,14,0,8,4,6,4,0,13,13,3,12,3,13,15,10,0,12,12,5,9,9,10,12,10,14,6,11,3,10,6,9,14,13,12,8,15,9,14,1,4,9,14,12,2,9,3,7,10,2,11,11,6,1,2,12,5,14,6,15,14,14,2,14,13,2,2,4,4,12,9,3,9,4,13,2,12,14,13,7,6,2,4,12,3,11,11,12,3,15,4,5,3,15,7,1,13,4,14,2,12,13,13,6,5,12
ADLL,8,5,5,8,9,6,5,7,8,8,9,8,6,9,8,8,5,9,8,0,3,5,3,0,9,9,1,7,1,8,9,7,0,7,6,3,7,4,5,8,5,9,5,7,4,7,4,7,8,8,7,5,9,5,7,0,2,5,8,8,3,4,1,5,7,1,7,6,3,1,0,6,4,8,3,8,9,8,2,9,8,2,1,3,4,7,6,3,6,4,8,2,7,9,7,4,2,2,1,7,3,6,7,7,0,9,4,4,3,9,4,1,8,1,9,1,6,6,8,3,4,8
AQR,4,3,0,4,4,1,3,3,4,4,4,3,2,4,4,3,3,4,4,3,0,0,2,0,4,4,0,3,0,4,4,3,0,3,3,2,2,4,4,3,3,4,2,3,1,3,3,3,4,4,3,4,4,2,3,1,2,2,4,4,2,3,2,2,1,1,3,4,2,1,0,3,1,3,2,4,4,3,1,4,4,0,2,2,2,4,4,1,3,1,4,0,3,4,3,1,2,0,1,4,1,4,3,3,0,4,1,0,1,4,1,0,4,1,4,1,4,3,4,1,1,3
ASHL,6,5,7,6,6,7,5,5,6,6,7,7,4,6,6,7,2,7,6,5,0,0,1,0,7,6,2,5,2,6,7,5,0,5,5,2,6,2,3,7,2,7,4,6,3,5,1,4,6,5,6,1,7,4,7,0,1,3,6,5,1,3,1,3,5,1,5,3,3,0,0,5,4,7,3,7,6,7,2,6,5,2,0,2,2,5,4,2,4,3,5,2,6,6,6,3,2,3,1,6,3,5,6,6,1,6,3,5,2,7,3,2,5,0,7,1,4,6,6,2,4,7
ADLR,4,4,2,5,4,1,4,4,5,3,4,5,4,5,3,4,5,4,4,3,2,1,0,0,4,5,0,4,0,4,5,4,0,4,5,2,3,3,3,4,3,4,1,4,2,3,4,4,5,4,5,4,5,4,4,1,3,3,4,4,1,3,2,2,4,1,4,5,2,0,0,4,2,4,2,4,5,5,0,5,5,1,2,2,2,3,3,0,5,1,4,0,5,5,4,3,4,1,1,3,1,4,5,5,0,5,4,2,2,5,2,0,5,1,5,1,4,4,4,2,1,4
ASHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL2DL,14,11,10,14,12,10,11,11,14,15,15,15,8,15,14,15,6,16,13,9,4,7,4,0,0,13,2,11,2,15,16,11,0,11,13,5,11,9,11,14,9,16,7,13,5,10,6,10,15,14,13,9,16,11,14,2,3,10,14,13,4,8,3,7,10,2,10,12,5,1,1,10,6,15,6,14,14,14,3,14,12,2,3,5,5,12,9,3,10,4,13,2,14,14,13,8,6,3,3,13,4,10,13,12,2,14,5,6,4,16,7,2,14,3,16,2,10,13,15,5,5,12
ASGL,13,11,10,14,13,10,10,10,13,13,14,14,9,15,13,13,8,14,13,9,4,6,5,0,13,0,2,11,2,13,15,11,0,14,12,6,11,8,8,12,10,14,7,12,5,9,6,9,14,12,12,8,15,10,13,1,4,8,14,12,4,9,4,6,10,3,11,12,5,1,1,10,6,14,7,14,13,14,3,15,12,2,2,4,6,10,10,3,10,4,12,2,12,15,13,8,7,3,4,12,4,11,11,12,2,14,6,6,3,15,6,2,14,3,14,1,10,12,13,5,4,13
