neuron,modularity_cluster_k5
AIBR,1
AIYL,1
AIYR,1
AIZL,1
AIZR,1
ASEL,1
ASER,1
ASGR,1
ASIL,1
ASIR,1
AWAL,1
AWAR,1
AWBL,1
AWBR,1
AWCL,1
AWCR,1
RIML,1
RIR,1
AIMR,2
AINL,2
AINR,2
ALA,2
ASKR,2
AUAL,2
AUAR,2
AVEL,2
AVER,2
AVKL,2
AVKR,2
AVL,2
BAGL,2
BAGR,2
CEPVR,2
OLLL,2
OLLR,2
RIBL,2
RIBR,2
RID,2
RIS,2
URBL,2
URBR,2
URXL,2
URXR,2
URYVL,2
CEPDL,3
CEPDR,3
CEPVL,3
IL1DL,3
IL1DR,3
IL1VL,3
IL2DL,3
IL2DR,3
IL2L,3
IL2R,3
IL2VL,3
IL2VR,3
OLQDL,3
OLQDR,3
OLQVL,3
OLQVR,3
RICL,3
RICR,3
RIH,3
RMEL,3
RMER,3
RMEV,3
URADL,3
URADR,3
URAVL,3
URAVR,3
ADAL,4
ADAR,4
ADEL,4
ADER,4
ADLL,4
ADLR,4
AIBL,4
AIML,4
AQR,4
ASGL,4
ASHL,4
ASHR,4
ASKL,4
AVAL,4
AVAR,4
AVBL,4
AVBR,4
AVDL,4
AVDR,4
AVHL,4
AVJL,4
AVJR,4
FLPL,4
FLPR,4
RIMR,4
SAADL,4
SAADR,4
SAAVL,4
SAAVR,4
SMBVR,4
IL1L,5
IL1R,5
IL1VR,5
RIAL,5
RIAR,5
RIVL,5
RIVR,5
RMDDL,5
RMDDR,5
RMDL,5
RMDR,5
RMDVL,5
RMDVR,5
RMED,5
RMGL,5
SMDDL,5
SMDDR,5
SMDVL,5
SMDVR,5
URYDL,5
URYDR,5
URYVR,5
