neuron,cell_class,PostDCA,DCA,FCV_z,n_recordings
IL1L,Sensory,-0.1344782374674069,0.0650555857223601,0.7962105307183117,24
IL1R,Sensory,-0.1211842582775577,0.0572050856867217,0.4908333133435471,22
IL1VR,Sensory,-0.1173031270233821,0.0490634965155157,0.4822934274715032,18
FLPL,Sensory,-0.1125455252439243,0.2362625441850096,-0.4284404926788309,25
URYDL,Sensory,-0.110961750985208,0.0481475412593499,0.4105752155316996,20
IL1VL,Sensory,-0.1016350013837207,0.0350676378048662,0.0725396859595028,15
URYVR,Sensory,-0.0984830694541589,0.0970754988512189,0.2064719355215958,23
URYDR,Sensory,-0.0883685467317234,0.0388733378285818,-0.0521541416820107,18
IL1DR,Sensory,-0.0865287020510343,0.0492847330396718,0.0353665580952756,26
OLQDR,Sensory,-0.0681590146817956,0.0083295034637895,0.2090474636656605,26
OLQVL,Sensory,-0.0647056029140278,0.0025184319572035,0.6778144227151057,24
OLLR,Sensory,-0.0634282643152627,0.0752020545833429,0.6635971154626786,26
FLPR,Sensory,-0.0590058821885538,0.1305082387020605,-1.2132609538279029,15
URYVL,Sensory,-0.0525420436464291,0.0793078856383349,0.4852007352373975,27
IL1DL,Sensory,-0.0477372795450567,-0.0021005957003707,-0.3937250912532591,22
OLLL,Sensory,-0.0470785450623349,0.0804034671116838,0.8618246052040305,26
ADER,Sensory,-0.0372710957278136,0.030335279394912,-1.1595737356464422,16
OLQDL,Sensory,-0.0335935719988262,0.0026640996637127,0.5966543106351216,27
ADEL,Sensory,-0.0306012515606137,0.0237456015696032,-0.4865628281089883,23
ADLL,Sensory,-0.0215571457924295,0.0599996425679516,0.3240182640233153,14
AQR,Sensory,-0.01963423548176,0.0389851049371539,-0.0809178822897676,13
ASHL,Sensory,-0.0166830866230025,0.0761643578822334,0.8598194114598386,13
ADLR,Sensory,-0.0145568672314658,0.0524460539266553,0.3755981234661347,7
ASHR,Sensory,-0.011607846370996,0.0538711925917115,0.1048144295662127,3
IL2DL,Sensory,-0.0104881413645911,0.0080463157275465,-1.020562958026011,26
ASGL,Sensory,-0.0051302242332825,0.0110342110808252,-0.0537488565519438,25
ASKL,Sensory,-0.00467927637558,0.0056495922902885,0.1654636228514515,3
ASGR,Sensory,-0.0028031424160515,0.0112322702762253,-0.285891207654507,20
ASKR,Sensory,-0.0023678131818203,0.0052174015466496,0.6569754522751982,4
IL2DR,Sensory,-0.0003769522227076,0.0075165701503721,-0.8920021157786622,21
CEPDL,Sensory,0.0012152870033731,0.0203687141601308,-0.6470546468986712,28
OLQVR,Sensory,0.0026995199395213,0.0274524188915754,0.665464899097052,19
BAGR,Sensory,0.0030554548749292,0.0322232456353618,1.292547279672835,3
IL2VR,Sensory,0.0043146648154133,0.0118604367966137,-0.950677489223094,20
CEPVL,Sensory,0.0071729872231776,0.0140062210700825,-0.6636599530931878,24
ASIR,Sensory,0.007854230769096,0.0013131263846719,0.575292186962319,8
IL2VL,Sensory,0.0087894063262763,0.0107398316571275,-0.9923361121465806,20
AWAR,Sensory,0.0182596296780676,0.0094696294120395,0.6538789188407281,17
CEPVR,Sensory,0.0203219717211141,0.0046606934522926,-0.6985451232319699,20
IL2L,Sensory,0.0221271466975601,0.008562137531355,-0.988851334587588,21
AWAL,Sensory,0.0239666590249158,0.0010448216491812,1.3644294202924818,19
CEPDR,Sensory,0.0282187097551775,0.0099881936226291,-1.0596608420106743,26
BAGL,Sensory,0.0292721591370922,0.0314677501113066,1.1984220052125167,12
URXR,Sensory,0.03033277260017,0.0284170657662948,-0.724998074247673,22
ASIL,Sensory,0.031974659696858,0.0056030483510634,1.3768593774198814,6
AWCR,Sensory,0.0321618189329319,0.0052762932328332,0.4593424151194437,19
ASER,Sensory,0.0357224667657505,0.0067270143420537,1.5071732556747608,14
IL2R,Sensory,0.0357248496344264,0.0035560171711733,-0.7744551617328614,18
AWCL,Sensory,0.0366289405957293,0.0101172386586373,0.6843338402184436,25
URXL,Sensory,0.0375656479316524,0.0166752217634419,-0.7230858784751877,25
ASEL,Sensory,0.0416540072422014,0.0124939809634333,1.2228712398255737,21
AWBR,Sensory,0.0417409609746418,0.0045769919754611,-0.1091636651729301,16
AWBL,Sensory,0.0448995869699795,0.0163891414653024,0.3067103106486162,26
AVDR,Interneuron,-0.2136739699432324,0.0860139495695481,-1.1214186539799085,21
AVDL,Interneuron,-0.1932654597253885,0.0231369911454152,-0.7068029600863036,27
AVBR,Interneuron,-0.1560767382574568,-0.0498895107563615,-0.0302230291433533,4
SAAVR,Interneuron,-0.1501792718145024,0.0985397844256474,0.2382883508828504,5
SAAVL,Interneuron,-0.1486671876736428,0.1406449228835608,0.2018236461774766,15
RICL,Interneuron,-0.1463703367857418,0.0816578721433134,-0.3751188760499349,26
AVER,Interneuron,-0.1315346173427422,0.0144988953470784,0.2294969718884479,22
AVBL,Interneuron,-0.128502177599995,-0.0644414205412733,0.3825005483858189,6
RICR,Interneuron,-0.123977415285864,0.0711562300974324,-0.7337119133554751,18
SAADR,Interneuron,-0.117842348326369,0.06408152911409,0.331639064932807,8
RIAR,Interneuron,-0.1120804466039563,0.2425347260069422,0.2714906405672272,11
RIAL,Interneuron,-0.1087521036840377,0.1432291932128543,0.588121643118761,17
SAADL,Interneuron,-0.0990224065598469,0.0414719791882976,0.364047937727247,6
AVEL,Interneuron,-0.0693119931370867,-0.0476188968347359,0.2718464180259791,20
AVJR,Interneuron,-0.0678789129018749,0.0230282854225205,-0.978825414815506,24
RMGL,Interneuron,-0.065397357344976,0.0396482466742069,-1.5996623279629447,14
ADAR,Interneuron,-0.044963817446336,0.0337601610230959,-0.8276307860274471,6
ALA,Interneuron,-0.044538079282931,0.0144053874102588,0.3235268006314521,4
ADAL,Interneuron,-0.0441407908030622,0.041503421073134,0.7950092148911928,20
RIMR,Interneuron,-0.0434053545260921,-0.0221353542986271,0.6542150110208106,11
AVJL,Interneuron,-0.042172697178922,-0.0050373884146315,-0.8116730931102226,25
RIML,Interneuron,-0.0375914903488843,0.0237313288928396,0.658115573663215,11
AIBL,Interneuron,-0.0358656201701853,0.0173266334900421,0.6918159576952272,25
AVAL,Interneuron,-0.0287225775178167,-0.3399736604069417,0.7544903691732673,26
AUAL,Interneuron,-0.022378379540741,0.0552717778803081,0.0123329663918962,22
RIS,Interneuron,-0.0215282741786716,0.0601814534459931,0.252324523418966,5
AIBR,Interneuron,-0.0192689131735331,-0.0080981459540866,0.8334371001761438,25
AVAR,Interneuron,-0.0145035994352216,-0.3688105832125697,0.6016129366483335,22
AVKR,Interneuron,-0.0139249798485204,-0.0011240798431998,0.5831254307755321,4
RIBR,Interneuron,-0.0078996457243646,-0.0530221067517443,0.3225856046564809,4
AVL,Interneuron,-0.0068866987859935,-0.003325091847104,0.2115541191912992,9
AVHL,Interneuron,-0.0033665884321754,0.0034038925303938,-1.3701284747782134,11
AINL,Interneuron,-0.0031593343862217,0.00565829222056,1.2129763495886166,20
RIBL,Interneuron,-0.0020212908488017,-0.0392474322767774,0.1687791102654614,13
AIML,Interneuron,0.0033763015978198,0.0018258398620078,1.443162834788953,9
AINR,Interneuron,0.0049501069536586,0.0053771385502898,0.4669576500095899,15
AIMR,Interneuron,0.0065826145314356,0.0048787624267083,1.446446965327041,12
RID,Interneuron,0.0105225563075592,-0.0152272189943536,0.766884893530082,23
AVKL,Interneuron,0.0124585649435205,0.002417812681897,1.1063441151436744,3
URBL,Interneuron,0.0148212042789753,0.0038595265883512,-0.5508558655097543,25
AIZR,Interneuron,0.0198955190794103,0.013507009446857,-0.536166974846751,25
AIZL,Interneuron,0.0203108202508708,0.025081173927289,0.2732743981001899,24
URBR,Interneuron,0.0221982932513265,-0.0001825299446667,-1.1325604905204365,18
AUAR,Interneuron,0.0383880778129673,0.0310990728262148,-0.4495943778113067,12
AIYL,Interneuron,0.0396946313603236,0.0807140091440331,0.2384446381104097,5
RIR,Interneuron,0.044801967314181,0.0134551870961911,0.9194298184594696,6
RIH,Interneuron,0.0520048395421055,0.0910227097256778,0.868307494404952,20
AIYR,Interneuron,0.05265148711661,0.0853111437070793,0.2383502908958372,6
RMDDR,Motorneuron,-0.1953167150925397,-0.1998214862972872,-0.5595673070647312,22
RMDVR,Motorneuron,-0.1445099088721905,-0.1684753869341189,-0.1910783633167373,24
RMDVL,Motorneuron,-0.140987062878,-0.1975767594650488,0.0886503896139377,23
RMED,Motorneuron,-0.1037150848444595,-0.0036742582553692,0.371012420025767,5
RMDDL,Motorneuron,-0.0761307979477001,-0.2170795458825636,-0.1619616788802861,23
RMEV,Motorneuron,-0.0505852232877692,-0.0060625577787303,0.3153951647120996,12
URAVL,Motorneuron,-0.0322825071958279,0.0076950141799961,-0.213586657717301,12
URADR,Motorneuron,-0.016642850632372,-0.0001528991435312,-0.8798891881867097,6
RIVL,Motorneuron,-0.0151790737886315,-0.0007838468002149,1.2744787697479476,28
URADL,Motorneuron,-0.0060807768757863,-2.1992094808433e-05,-0.6036627573978928,13
