neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE
AIBR,16,1.7638407117231367,0.5274234007646147,0.1120171601164742,0.4243284911588046,0.2911144321157711,0.031871349404497,M1,0,16,1.6794506476547475,-0.2695855616187675,0.0204520169893009,0.0011965739322027
AIYL,3,-0.6547629725717663,0.2711418606987671,0.6507140013589068,0.264516557713965,0.2760071617401403,0.0318767761999428,M1,0,3,-0.5959043047845122,0.7606573224714053,-0.0063639647087977,0.0037315865365828
AIYR,4,0.077376147620457,-0.0786896569226358,0.4628018177668504,0.3127911524301489,0.2718976756395952,0.0321851742645955,M1,0,4,-0.6811110786274772,-0.1827988586771702,-0.0080797160057417,0.0010105684549896
AIZL,15,-0.4539572079046157,0.5126460663739916,-0.1126776845090053,0.2794134423604228,0.2907050305945384,0.0310818442520929,M1,0,15,-0.0417687488774412,-0.1222674954803367,-0.0001708766136213,0.0015622697281883
AIZR,16,-0.9483743811608,-0.2873973601858972,0.0408861577313163,0.2474537854729452,0.2635927587518371,0.0323223673880265,M1,0,16,-0.4480254255711533,0.1126035823877097,-0.0054281544505279,0.0020068627464043
ASEL,14,-0.0389745172339714,0.912652100947864,0.5180721614529612,0.3022808212115133,0.3022912030755799,0.034750709854971,M1,0,14,0.1912867385321126,0.2065896987114543,0.0025602163893273,0.0025327869846371
ASER,7,-0.2398961471810338,1.4933702573566965,0.1060571176328728,0.296662512123047,0.3241291766368269,0.0316940613225056,M1,0,7,0.2623667324758701,0.0366173785324908,0.0033730969521953,0.0013984653208073
ASGR,12,0.3399090371810758,-0.5830078359268432,0.6434361403496325,0.3229715115708213,0.2472082818927813,0.0332264512039941,M1,0,12,0.0197897070118472,0.2522866474739522,0.0003968068536145,0.0024170814292463
ASIL,5,0.0289403756740568,2.048385528876019,-0.2593118845592553,0.3186414541057595,0.3508201294627001,0.0292315532245886,M1,0,5,1.0542858953329646,0.5301888919796465,0.0130399364577737,0.0027037510688564
ASIR,6,-0.1896991787789801,1.1604731548757277,0.30556811185218,0.2952898708237513,0.3145197810492994,0.0351385964894664,M1,0,6,0.2062803768859815,-0.0743867238674853,0.0036452385312713,0.0016556930015269
