uid,neuron,phase,n_neurons_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z
2023-01-05-01,AVER,spontaneous,68,802,50,0.46136989480342805,1.8308195446545064,0.2590264314004579,-0.7860975444735748,0.05099378646022257,0.31547501413931195
2023-01-05-01,RIH,spontaneous,68,802,50,0.3412620822864979,0.12954946484224528,0.29636562936373984,0.5077484087281321,0.053881072663306204,0.6919176326896804
2023-01-05-01,URYVL,spontaneous,68,802,50,0.40542354637848455,1.0383661092321281,0.3156596774121441,1.17630926032584,0.04504129328635297,-0.46060742440852176
2023-01-05-01,RMDDR,spontaneous,68,802,50,0.31096038214138344,-0.2996597160098289,0.274104315294016,-0.2636316072643901,0.03852892921030348,-1.3096854905604585
2023-01-05-01,RMDL,spontaneous,68,802,50,0.2854663741556519,-0.6607702224101204,0.2880516127494306,0.21965821563255755,0.045749482661943786,-0.3682741244771766
2023-01-05-01,RIBL,spontaneous,68,802,50,0.44083768997086586,1.5399906216875596,0.27404255437960695,-0.2657716936490198,0.04484866823435365,-0.4857217614962627
2023-01-05-01,SMDVL,spontaneous,68,802,50,0.3933888584839612,0.86790047501749,0.29598228378218805,0.4944650454953098,0.042225682574094175,-0.8277050360720881
2023-01-05-01,IL2VR,spontaneous,68,802,50,0.2550636440881266,-1.0914104440959378,0.2853274430095752,0.12526261567316702,0.038389948440127046,-1.3278057188209917
2023-01-05-01,RMED,spontaneous,68,802,50,0.4485922385828016,1.649830117216432,0.27818591163372264,-0.1221996217159749,0.04548938724957282,-0.40218520610160813
2023-01-05-01,URXL,spontaneous,68,802,50,0.38225153594937944,0.7101455946292387,0.2878560554147543,0.21288193012319406,0.05596950465977042,0.9642061257991358
2023-01-05-01,ADEL,spontaneous,68,802,50,0.2291774598393316,-1.4580759408701351,0.2559582338234274,-0.8924141028144342,0.04730287628468236,-0.16574360901992047
2023-01-05-01,RMDDL,spontaneous,68,802,50,0.27340252064715476,-0.8316489736849499,0.2499385143313923,-1.1010042742433463,0.041666244578060674,-0.9006442216362016
2023-01-05-01,ASKR,spontaneous,68,802,50,0.26513692919218623,-0.9487271481984328,0.27282127597919015,-0.30809038827298557,0.060507929345181274,1.5559231751325386
2023-01-05-01,AUAL,spontaneous,68,802,50,0.4140613796338242,1.1607169119298737,0.28903750721003424,0.25382058728795287,0.040824335630583956,-1.0104117979958422
2023-01-05-01,AVAR,spontaneous,68,802,50,0.4538122493631601,1.7237690889687447,0.28884851330042693,0.24727173197066293,0.05472816750933159,0.8023613433470271
2023-01-05-01,AIZL,spontaneous,68,802,50,0.3338154825734928,0.02407191910567304,0.2640614672207498,-0.6116277894800017,0.042207131741875833,-0.8301236822905
2023-01-05-01,RIVR,spontaneous,68,802,50,0.30312183245916735,-0.4106890467754391,0.310662107966392,1.0031377580994285,0.05439465573959405,0.7588782817152149
2023-01-05-01,RID,spontaneous,68,802,50,0.41395282870116734,1.159179339560559,0.28657344214269803,0.1684379119842752,0.03976198575170145,-1.148920328877224
2023-01-05-01,RMDVL,spontaneous,68,802,50,0.27103454982984154,-0.8651901548699432,0.2834150211208844,0.05899500799905051,0.04031596854543769,-1.0766923892697153
2023-01-05-01,IL2DR,spontaneous,68,802,50,0.26534864929759194,-0.9457282335310738,0.2818404988507286,0.004436008915289819,0.05395001496697759,0.7009062882982704
2023-01-05-01,SMDVR,spontaneous,68,802,50,0.352827887444583,0.29337359794445217,0.33746413517316187,1.9318586822387764,0.04885171351864873,0.03619284724129535
2023-01-05-01,AIBR,spontaneous,68,802,50,0.4523203234738855,1.7026366678253457,0.27229123313497827,-0.32645697958759934,0.049463280589286576,0.11592858983730533
2023-01-05-01,IL1DL,spontaneous,68,802,50,0.28477692714810243,-0.6705359115937001,0.29296426012994553,0.3898870710845868,0.058305738809485266,1.2688029128880582
2023-01-05-01,RICL,spontaneous,68,802,50,0.2504577981547005,-1.1566500626899265,0.24307542893294487,-1.3388180397664031,0.05343336502330546,0.6335457829690366
2023-01-05-01,RICR,spontaneous,68,802,50,0.22928460227142866,-1.4565583192418223,0.25930232510178,-0.7765375118954664,0.058483180633063264,1.2919376698916123
2023-01-05-01,IL1VL,spontaneous,68,802,50,0.24347825809282006,-1.2555119304510636,0.26761352768565055,-0.4885448281759325,0.04616252746115086,-0.31442159485054605
2023-01-05-01,ALA,spontaneous,68,802,50,0.2816198476566758,-0.7152544421022459,0.268684843284431,-0.4514225162974882,0.03886620817486691,-1.2657112643591852
2023-01-05-01,AVJL,spontaneous,68,802,50,0.24914616156807112,-1.1752287715487284,0.22900138907983134,-1.8264996318310536,0.05525550363372683,0.871115106417531
2023-01-05-01,URXR,spontaneous,68,802,50,0.34452725694659014,0.1757991120397836,0.28818919329310677,0.2244255389652593,0.03816007334499201,-1.3577766938700633
2023-01-05-01,URYDR,spontaneous,68,802,50,0.2569720888997971,-1.0643782303786966,0.2736585337903738,-0.27907844667071136,0.049575593585147765,0.13057188990713142
2023-01-05-01,CEPDL,spontaneous,68,802,50,0.3877127266703591,0.7875007656131531,0.26778621030614436,-0.4825611776986544,0.035204085429026095,-1.7431765999483115
2023-01-05-01,RIMR,spontaneous,68,802,50,0.4256645813672231,1.325070749747666,0.28187544770584244,0.005647026752431122,0.05363480875237622,0.6598098938081216
2023-01-05-01,AVJR,spontaneous,68,802,50,0.22363153942922456,-1.5366312676304599,0.2375527353741893,-1.5301856936403742,0.043758100246592734,-0.6279093522454827
2023-01-05-01,RIML,spontaneous,68,802,50,0.4518312856086837,1.6957096788932489,0.27464311934355395,-0.24496143015590266,0.05373216849171528,0.6725035973900646
2023-01-05-01,OLLR,spontaneous,68,802,50,0.4710173888475601,1.9674717125568677,0.26102863201574106,-0.7167190011494912,0.03859718287547759,-1.3007866192201805
2023-01-05-01,OLQDR,spontaneous,68,802,50,0.293699850114165,-0.5441469486401692,0.30161723542308566,0.6897225704221218,0.05902395860474849,1.3624439728338447
2023-01-05-01,AWCL,spontaneous,68,802,50,0.3140943431473846,-0.25526864785964865,0.3283560852730132,1.6162543268250644,0.04698310567713222,-0.2074351062857804
2023-01-05-01,AVEL,spontaneous,68,802,50,0.4593189266142,1.8017685550322569,0.2641114264018772,-0.6098966466635305,0.0482465923045983,-0.04270248849446839
2023-01-05-01,AVHL,spontaneous,68,802,50,0.23480270116150828,-1.3783970710897555,0.21927612427434728,-2.1634911902668885,0.04299482018529533,-0.727425342262409
2023-01-05-01,URYDL,spontaneous,68,802,50,0.3239727539988394,-0.11534565313102603,0.28744598843110486,0.19867263971855875,0.05894573302528185,1.3522449693749599
2023-01-05-01,RIVL,spontaneous,68,802,50,0.3321021136799215,-0.0001971369468052101,0.33289994396159367,1.7737042319334047,0.05518221686318546,0.8615600218615802
2023-01-05-01,RIR,spontaneous,68,802,50,0.31895054693695357,-0.1864828292227465,0.3496353595387065,2.353605539425041,0.042212982469056234,-0.8293608680402668
2023-01-05-01,OLQVL,spontaneous,68,802,50,0.3190112645267475,-0.18562279342099416,0.31094079345515085,1.0127945293081,0.056653554620252754,1.053392143474913
2023-01-05-01,OLQDL,spontaneous,68,802,50,0.3772953036765746,0.6399429200685456,0.2763841578942845,-0.18463245133193212,0.0539839744707832,0.7053339077436864
2023-01-05-01,IL2VR,spontaneous,68,802,50,0.31630627105137166,-0.22393774037830072,0.27139045299958475,-0.35767004244046174,0.05369127104217322,0.6671714128005346
2023-01-05-01,RMEL,spontaneous,68,802,50,0.4451186990931235,1.600629081238837,0.2828012443661889,0.03772694083239766,0.039474568845444424,-1.1863935702522865
2023-01-05-01,RIAR,spontaneous,68,802,50,0.32301321175398023,-0.12893711298102278,0.3164792823988765,1.2047095113529362,0.04532945106109072,-0.4230375890516825
2023-01-05-01,AIZR,spontaneous,68,802,50,0.2596790489049217,-1.0260354284621453,0.28075956771274085,-0.03301949240400595,0.0363333581240953,-1.5959427130079495
2023-01-05-01,AWAL,spontaneous,68,802,50,0.28207302384545296,-0.7088354167724717,0.2550784553866615,-0.9228994327683085,0.049879899562865745,0.17024711814406296
2023-01-05-01,AIBL,spontaneous,68,802,50,0.4286929375456978,1.3679659757074873,0.28060332364103274,-0.038433528347951246,0.05035284155205363,0.23190900695929836
2023-01-05-01,ADER,spontaneous,68,802,50,0.2805382507244309,-0.7305747485892666,0.314198390410703,1.1256739929282904,0.04674304524824509,-0.2387340389527543
2023-01-05-01,OLLL,spontaneous,68,802,50,0.34251348980085095,0.1472750575177506,0.3468038061416616,2.255488972817378,0.04841082776704804,-0.021289568820145828
2023-01-05-01,AVDL,spontaneous,68,802,50,0.28920366883165716,-0.6078332195749954,0.21829665878914353,-2.1974307905651544,0.057689888072996805,1.1885086685446014
2023-01-05-01,FLPL,spontaneous,68,802,50,0.30787113760129886,-0.34341739667301185,0.2775060171601326,-0.14575874353009877,0.04433898988264584,-0.5521733149066627
2023-01-05-01,ASGL,spontaneous,68,802,50,0.2937416843896975,-0.5435543860101235,0.3044627211488153,0.7883219081676426,0.06308219113296408,1.891553860858169
2023-01-05-01,IL1DR,spontaneous,68,802,50,0.2925842271995964,-0.5599492169950352,0.29977231868751525,0.625794093579657,0.053876776864157545,0.6913575490102168
2023-01-05-01,IL1L,spontaneous,68,802,50,0.28627795731131594,-0.6492745327370092,0.2592767034462445,-0.7774253315899741,0.061781025079563644,1.7219086224374731
2023-01-05-01,RIAL,spontaneous,68,802,50,0.3363453143518192,0.05990578387461346,0.3630525940952277,2.8185280760897045,0.03933448065994609,-1.2046581826487444
2023-01-05-01,ADAL,spontaneous,68,802,50,0.2972845358261633,-0.49337157924866004,0.30155746363175023,0.6876514094290279,0.05817032727866253,1.2511480398829564
2023-01-05-01,AVDR,spontaneous,68,802,50,0.23924492247590068,-1.3154751174573487,0.2561142554791888,-0.8870077738376516,0.061451289463771055,1.6789178934596143
2023-01-05-01,IL1VR,spontaneous,68,802,50,0.362830154278694,0.4350509538014902,0.2767294897699727,-0.17266630652319528,0.046199300428703884,-0.3096271577134369
2023-01-05-01,ASKL,spontaneous,68,802,50,0.2384605455428448,-1.3265854439177094,0.26649794506790625,-0.5272010429358214,0.04545777139093772,-0.4063072625155529
2023-01-05-01,CEPVL,spontaneous,68,802,50,0.32744605225396156,-0.06614803412626279,0.26132572508704416,-0.7064243861337166,0.0560740232501364,0.9778331960225658
2023-01-05-01,AVAL,spontaneous,68,802,50,0.4273360866627966,1.348746827831313,0.2921007665689193,0.35996603071708494,0.051770197431466956,0.4167030042063591
2023-01-05-01,AWBL,spontaneous,68,802,50,0.33196624883549225,-0.0021215978946991904,0.23949705404449942,-1.4628128259695403,0.05121374209930989,0.34415269654382075
