uid,phase,n_neurons,n_time,n_windows,n_finite_net_te_edges,n_neighbor_values,te_bins,te_lag,fc_fdr_q
2023-01-05-01,spontaneous,68,802,50,4556,68,4,1,0.001
2023-01-05-18,spontaneous,69,802,50,4692,69,4,1,0.001
2023-01-06-01,spontaneous,65,802,50,4160,65,4,1,0.001
2023-01-06-08,spontaneous,71,802,50,4970,71,4,1,0.001
2023-01-06-15,spontaneous,62,803,50,3782,62,4,1,0.001
2023-01-09-08,spontaneous,42,802,50,1722,42,4,1,0.001
2023-01-09-15,spontaneous,83,803,50,6806,83,4,1,0.001
2023-01-09-22,spontaneous,81,802,50,6480,81,4,1,0.001
2023-01-10-07,spontaneous,82,802,50,6642,82,4,1,0.001
2023-01-10-14,spontaneous,75,803,50,5550,75,4,1,0.001
2023-01-13-07,spontaneous,66,802,50,4290,66,4,1,0.001
2023-01-16-01,spontaneous,67,803,50,4422,67,4,1,0.001
2023-01-16-08,spontaneous,71,803,50,4970,71,4,1,0.001
2023-01-16-15,spontaneous,70,802,50,4830,70,4,1,0.001
2023-01-16-22,spontaneous,73,802,50,5256,73,4,1,0.001
2023-01-17-07,spontaneous,68,802,50,4556,68,4,1,0.001
2023-01-17-14,spontaneous,87,802,50,7482,87,4,1,0.001
2023-01-18-01,spontaneous,70,802,50,4830,70,4,1,0.001
