uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-05-01,AVER,spontaneous,68,802,50,0.0219905706931959,1.6863528642670944,-2.900973053017401e-05,-0.7284226696410601
2023-01-05-01,RIH,spontaneous,68,802,50,-0.009414888656697576,-0.7219832843124068,0.001959034386991896,0.0657168813769459
2023-01-05-01,URYVL,spontaneous,68,802,50,0.017415193426367038,1.3354888204609592,0.001570102421189123,-0.08964499111718194
2023-01-05-01,RMDDR,spontaneous,68,802,50,-0.015037824555515633,-1.1531796452825203,0.0021717245646071266,0.1506776127151547
2023-01-05-01,RMDL,spontaneous,68,802,50,0.012113179934303196,0.9289024810945554,0.0009247160173678085,-0.34744956620005574
2023-01-05-01,RIBL,spontaneous,68,802,50,0.024916805654500985,1.9107519841154108,0.0011726166816700763,-0.24842373447382252
2023-01-05-01,SMDVL,spontaneous,68,802,50,0.007734262233053451,0.5931039922369109,0.0006735592268254408,-0.4477760826583732
2023-01-05-01,IL2VR,spontaneous,68,802,50,-0.0004734203638692114,-0.03630436871109639,0.003712265311645835,0.7660584920404758
2023-01-05-01,RMED,spontaneous,68,802,50,0.011896439716645286,0.9122816988534479,0.0004644323883258875,-0.5313134107126671
2023-01-05-01,URXL,spontaneous,68,802,50,0.006527223821015518,0.5005419249845874,0.0015685255678329544,-0.09027487734820269
2023-01-05-01,ADEL,spontaneous,68,802,50,-0.010234454309647166,-0.7848318981837193,0.004743412529068593,1.1779581984203493
2023-01-05-01,RMDDL,spontaneous,68,802,50,-0.012977503216604585,-0.9951833458841475,0.0013229681289291463,-0.1883646896222186
2023-01-05-01,ASKR,spontaneous,68,802,50,-0.01447938936613217,-1.1103558916718095,0.004050291133114497,0.9010855126823534
2023-01-05-01,AUAL,spontaneous,68,802,50,0.004105273459173659,0.31481400610577187,0.0017667109907852797,-0.011108182095059739
2023-01-05-01,AVAR,spontaneous,68,802,50,0.013218526859880196,1.0136663091898555,-0.00035875278517427705,-0.8601410752128452
2023-01-05-01,AIZL,spontaneous,68,802,50,-0.006127227032228238,-0.4698680629971048,0.0014563867040753014,-0.13506961109242668
2023-01-05-01,RIVR,spontaneous,68,802,50,0.011882284361573294,0.9111961916193061,0.003319389860848018,0.6091213640599085
2023-01-05-01,RID,spontaneous,68,802,50,0.019467095112509946,1.4928394565084449,0.0017289433406250893,-0.02619476114874906
2023-01-05-01,RMDVL,spontaneous,68,802,50,-0.00252520934100263,-0.19364636163769025,0.0016630436013248355,-0.052518920114263644
2023-01-05-01,IL2DR,spontaneous,68,802,50,-0.00801011180198082,-0.6142575910751368,0.0060237989107923265,1.68941841067108
2023-01-05-01,SMDVR,spontaneous,68,802,50,-0.0005704519518050842,-0.04374526228875474,0.0009402128874369465,-0.34125922196653397
2023-01-05-01,AIBR,spontaneous,68,802,50,0.023506594534986918,1.8026095628116443,-0.0008702797929394181,-1.0644744824545904
2023-01-05-01,IL1DL,spontaneous,68,802,50,-0.016524588170464337,-1.2671925154138353,0.0014677567859489888,-0.13052774422205635
2023-01-05-01,RICL,spontaneous,68,802,50,-0.01886611090090823,-1.4467528196151405,0.004299059688334709,1.0004580301273962
2023-01-05-01,RICR,spontaneous,68,802,50,-0.014106172974425117,-1.0817356916812129,-0.001549101419878156,-1.3356350152049192
2023-01-05-01,IL1VL,spontaneous,68,802,50,-0.01661647840372885,-1.2742391428172672,0.0008238411148110552,-0.3877448237948691
2023-01-05-01,ALA,spontaneous,68,802,50,-0.0038708265359733754,-0.2968353803587041,0.004341180779481426,1.017283624749177
2023-01-05-01,AVJL,spontaneous,68,802,50,-0.015898927712936356,-1.219213573924271,0.006062159548094255,1.704741863010603
2023-01-05-01,URXR,spontaneous,68,802,50,-0.0011531548557181053,-0.08842999215502038,0.004078906145549658,0.912516000027854
2023-01-05-01,URYDR,spontaneous,68,802,50,-0.014750100582810078,-1.1311154545773447,-0.00017153874510159967,-0.7853569834428432
2023-01-05-01,CEPDL,spontaneous,68,802,50,0.012314341199216922,0.9443285871288029,0.0015082526881815728,-0.11435134384260336
2023-01-05-01,RIMR,spontaneous,68,802,50,0.010445693753295383,0.8010308520813814,0.00039092635836370426,-0.5606759611293262
2023-01-05-01,AVJR,spontaneous,68,802,50,-0.01949365512516052,-1.4948762182657067,-0.007847678805411389,-3.8516503153251382
2023-01-05-01,RIML,spontaneous,68,802,50,0.011080794947446751,0.8497337590135781,-0.00019307450703606486,-0.7939596095932043
2023-01-05-01,OLLR,spontaneous,68,802,50,0.023712002971270917,1.8183613643317078,0.00035403163351488664,-0.5754138434369342
2023-01-05-01,OLQDR,spontaneous,68,802,50,0.005836782027591081,0.4475952092219417,-0.0013855109149394143,-1.2702875266870146
2023-01-05-01,AWCL,spontaneous,68,802,50,0.001019715202910355,0.07819713627062166,-0.0024418877732112153,-1.6922654076303265
2023-01-05-01,AVEL,spontaneous,68,802,50,0.02125742623273738,1.6301314829275773,-0.0009808474000902144,-1.1086415656324586
2023-01-05-01,AVHL,spontaneous,68,802,50,-0.019114291811554572,-1.4657846399059333,0.005212492235071376,1.3653357036947376
2023-01-05-01,URYDL,spontaneous,68,802,50,-0.012506350635670386,-0.9590528827210857,0.002719136296281985,0.3693454496020468
2023-01-05-01,RIVL,spontaneous,68,802,50,0.017374135162965685,1.3323402564216398,0.002323337770496037,0.2112406767798954
2023-01-05-01,RIR,spontaneous,68,802,50,0.008083496354385019,0.6198851053341491,0.0033465911423744416,0.6199871256937262
2023-01-05-01,OLQVL,spontaneous,68,802,50,-0.002829071628695698,-0.2169481233947194,0.0024517494415531894,0.2625357088669621
2023-01-05-01,OLQDL,spontaneous,68,802,50,0.007890395262146412,0.60507709582258,0.001956685330059589,0.06477853247357086
2023-01-05-01,IL2VR,spontaneous,68,802,50,-0.017439109810111778,-1.3373228548202098,0.001282170602548493,-0.2046615760932089
2023-01-05-01,RMEL,spontaneous,68,802,50,0.017665768467838776,1.3547042353219503,0.0009769504671975654,-0.3265841124760313
2023-01-05-01,RIAR,spontaneous,68,802,50,0.00941478165111195,0.7219750785601172,0.003833035836076831,0.8143012091927401
2023-01-05-01,AIZR,spontaneous,68,802,50,-0.0018499671874472423,-0.14186523437143278,0.0027007102102390903,0.36198500746288426
2023-01-05-01,AWAL,spontaneous,68,802,50,-0.02058845275596391,-1.578831070836648,0.00339435411244616,0.6390664123522729
2023-01-05-01,AIBL,spontaneous,68,802,50,0.012622001920943891,0.9679216328275798,-0.00021136278107425642,-0.8012650016645263
2023-01-05-01,ADER,spontaneous,68,802,50,-0.000979389188401006,-0.07510472493573261,0.011010140020489207,3.681250812767331
2023-01-05-01,OLLL,spontaneous,68,802,50,0.01685641530896509,1.2926387693223542,-0.00018097857902586525,-0.7891277978871648
2023-01-05-01,AVDL,spontaneous,68,802,50,-0.0054521616615744615,-0.4181004923754949,0.003830519742577795,0.8132961362448952
2023-01-05-01,FLPL,spontaneous,68,802,50,-0.001710250377458601,-0.13115101299001555,0.002962582431070923,0.4665918851687413
2023-01-05-01,ASGL,spontaneous,68,802,50,0.00452727045258342,0.3471749597379957,0.00249399318537607,0.2794102980459165
