neuron,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE,cluster_label,cluster_sort
AIBR,16,1.6794506476547475,-0.2695855616187675,0.02045201698930092,0.0011965739322027838,M1,0
AIYL,3,-0.5959043047845122,0.7606573224714053,-0.006363964708797783,0.0037315865365828496,M1,0
AIYR,4,-0.6811110786274772,-0.18279885867717027,-0.008079716005741736,0.0010105684549896017,M1,0
AIZL,15,-0.041768748877441246,-0.12226749548033672,-0.00017087661362134333,0.0015622697281883423,M1,0
AIZR,16,-0.4480254255711533,0.11260358238770975,-0.005428154450527962,0.0020068627464043375,M1,0
ASEL,14,0.19128673853211264,0.2065896987114543,0.002560216389327304,0.0025327869846371825,M1,0
ASER,7,0.26236673247587017,0.03661737853249081,0.0033730969521953784,0.0013984653208073579,M1,0
ASGR,12,0.01978970701184729,0.25228664747395224,0.00039680685361455185,0.0024170814292463583,M1,0
ASIL,5,1.0542858953329646,0.5301888919796465,0.01303993645777376,0.002703751068856425,M1,0
ASIR,6,0.20628037688598155,-0.07438672386748536,0.0036452385312713167,0.0016556930015269634,M1,0
AWAL,11,0.5697580887594141,0.5127129426257983,0.0070529372125492824,0.0031203144629783357,M1,0
AWAR,10,0.0027173179096804945,0.6783408290427919,0.0004341124923105476,0.003453020889068551,M1,0
AWBL,18,-0.4176092416377044,0.13938287817481565,-0.005202003313664831,0.001876116362829919,M1,0
AWBR,10,-0.7266547033090589,0.43956706924252514,-0.00886834837405594,0.002943290879048597,M1,0
AWCL,17,0.220764256719085,0.3762195360993572,0.0026540904219437456,0.0026259219902764665,M1,0
AWCR,10,-0.14692094811914602,0.7513565352831796,-0.0019962795601212416,0.0030700350575188487,M1,0
RIML,7,0.8038556193828974,-0.27771550462024486,0.010183074889519384,0.0010147411980675398,M1,0
RIR,4,0.35839533255888834,0.2765633203751754,0.00555838298439302,0.0033874573954432536,M1,0
AIMR,4,0.516844859163836,0.7005863850810321,0.005881180656229612,0.003234631152979617,M2,1
AINL,12,0.7613144118012007,0.3693646975121035,0.009232439276181018,0.0026511791697899113,M2,1
AINR,11,-0.07970553976075033,0.5009926336007197,-0.0008413954077358302,0.003243374391777284,M2,1
ALA,2,-0.3452583039264525,0.4971243960388791,-0.0038847736938717632,0.002691355322561248,M2,1
ASKR,3,-0.49468455755620094,0.6684063874465238,-0.0061611512250556435,0.0035321556420069987,M2,1
AUAL,16,-0.3198354981408931,0.1132561469642745,-0.003727905213376144,0.0019387366848992202,M2,1
