neuron,cell_class,cluster_label,modularity_cluster_k5,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
RIML,Interneuron,M1,1,0.09482361935033884,0.06984183154335315,0.024981787806985692,-0.041092747871528154,0.027758114819142657,-0.017033339298780342,0.375,9,24,25,174.0,207.0
AIBR,Interneuron,M1,1,0.05837093252013466,0.06726389666872619,-0.008892964148591531,-0.018654001099111008,0.018793678479449242,-0.10354059190706953,0.0,0,25,32,129.0,286.0
ASGR,Sensory,M1,1,0.013446904055200805,0.002160933624069321,0.011285970431131484,-0.0032007243294031613,0.0077206012072321495,-0.3010299956639812,0.6,3,5,11,89.0,26.0
ASIR,Sensory,M1,1,0.0023453824989051017,0.001060936442698734,0.0012844460562063678,0.007825363361739442,0.019999902767536045,0.414973347970818,0.75,9,12,4,27.0,6.0
AWAR,Sensory,M1,1,0.011339348053437972,0.002181830365595031,0.009157517687842941,0.01782081596862487,0.01027781708597807,0.06694678963061322,0.7692307692307693,10,13,11,93.0,21.0
AIZR,Interneuron,M1,1,0.0798581203804093,0.06544074029372438,0.01441738008668493,0.020458202282866024,0.048502868351832935,-0.04830467957455503,0.5625,9,16,18,187.0,206.0
AIZL,Interneuron,M1,1,0.08769307413859605,0.06367054100706919,0.024022533131526858,0.020418109966016177,0.04744676506635303,-0.057991946977686754,0.55,11,20,23,248.0,216.0
AWAL,Sensory,M1,1,0.00798283306176114,0.006960136506683464,0.0010226965550776757,0.023494440548052876,0.06721188019773006,0.25527250510330607,0.875,7,8,4,54.0,18.0
ASIL,Sensory,M1,1,0.006406758455104508,0.0008741515947876602,0.005532606860316848,0.0315659701679216,0.006875717777333926,0.47712125471966244,0.8823529411764706,15,17,5,43.0,17.0
AWCR,Sensory,M1,1,0.014706737755229812,0.009510523489548648,0.005196214265681164,0.030966641100035823,0.0160595269847306,0.07918124604762482,0.7647058823529411,13,17,14,111.0,62.0
ASER,Sensory,M1,1,0.017055525023333143,0.010435694947923983,0.00661983007540916,0.034125834072458124,0.016717745788387632,-0.08715017571890014,0.7058823529411765,12,17,21,115.0,78.0
AWCL,Sensory,M1,1,0.01661185557035617,0.006584752489284875,0.010027103081071295,0.035887108485885444,0.014307224674721047,0.062147906748844434,0.5714285714285714,8,14,12,67.0,57.0
