recording_id,n_rois,n_time,n_windows,n_finite_net_te_edges,n_neighbor_values
2017-10-26_1,701.0,2000.0,199.0,490700.0,638.0
2017-10-30_1,685.0,2000.0,199.0,468540.0,604.0
2017-10-30_2,703.0,2000.0,199.0,493506.0,492.0
2017-11-08_1,703.0,4000.0,399.0,493506.0,685.0
2017-11-08_2,703.0,4000.0,399.0,493506.0,645.0
2017-11-16_1,703.0,2000.0,199.0,493506.0,648.0
2018-10-19_1,704.0,2000.0,199.0,494912.0,696.0
2018-10-19_2,704.0,2000.0,199.0,494912.0,691.0
2018-10-20_1,704.0,2000.0,199.0,494912.0,704.0
2018-10-31_1,703.0,2000.0,199.0,493506.0,688.0
2018-11-03_2,704.0,2000.0,199.0,494912.0,640.0
2018-11-03_3,695.0,2000.0,199.0,482330.0,685.0
2018-11-03_4,687.0,2000.0,199.0,471282.0,674.0
2018-11-03_5,693.0,2000.0,199.0,479556.0,639.0
2018-12-12_2,701.0,2000.0,199.0,490700.0,635.0
2018-12-12_3,604.0,2000.0,199.0,364212.0,571.0
2018-12-12_4,679.0,2000.0,199.0,460362.0,657.0
2018-12-14_1,666.0,2000.0,199.0,442890.0,657.0
2018-12-14_2,699.0,2000.0,199.0,487902.0,545.0
2018-12-14_3,701.0,2000.0,199.0,490700.0,688.0
CONFIG,999.0,,,,
WINDOW,20.0,10.0,4.0,1.0,1.2
PREPROCESS,,,,0.03,
