recording_id,n_rois,n_time,n_windows,n_finite_net_te_edges,n_neighbor_values
2017-10-26_1,701,2000.0,247.0,490700.0,659.0
2017-10-30_1,685,2000.0,247.0,468540.0,634.0
2017-10-30_2,703,2000.0,247.0,493506.0,570.0
2017-11-08_1,703,4000.0,497.0,493506.0,687.0
2017-11-08_2,703,4000.0,497.0,493506.0,678.0
2017-11-16_1,703,2000.0,247.0,493506.0,658.0
2018-10-19_1,704,2000.0,247.0,494912.0,698.0
2018-10-19_2,704,2000.0,247.0,494912.0,693.0
2018-10-20_1,704,2000.0,247.0,494912.0,704.0
2018-10-31_1,703,2000.0,247.0,493506.0,693.0
2018-11-03_2,704,2000.0,247.0,494912.0,665.0
2018-11-03_3,695,2000.0,247.0,482330.0,683.0
2018-11-03_4,687,2000.0,247.0,471282.0,676.0
2018-11-03_5,693,2000.0,247.0,479556.0,656.0
2018-12-12_2,701,2000.0,247.0,490700.0,668.0
2018-12-12_3,604,2000.0,247.0,364212.0,584.0
2018-12-12_4,679,2000.0,247.0,460362.0,661.0
2018-12-14_1,666,2000.0,247.0,442890.0,656.0
2018-12-14_2,699,2000.0,247.0,487902.0,616.0
2018-12-14_3,701,2000.0,247.0,490700.0,689.0
CONFIG,999,,,,
WINDOW,30,8.0,4.0,1.0,1.2
