recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2017-10-26_1,250,AL_R_250,AL_R,AL,R,701,2000,398,0.06020013020065185,1.1588465667924872,0.28202293102373477,1.3635802358982059,0.01458656,-0.13148028398188516,-0.0004480244731530547,-0.5900811354396077,-8.135272468006972e-06,-0.5736203900915925
2017-10-26_1,251,AL_R_251,AL_R,AL,R,701,2000,398,0.07821922592244078,2.2289802771333926,0.28599027447326114,1.919065065412741,0.014101381,-1.235424212830241,0.0016211867844685912,2.135222060095157,-2.9915701465709287e-05,-0.6627142336532376
2017-10-26_1,252,AL_R_252,AL_R,AL,R,701,2000,398,0.08362396697652401,2.549961734079873,0.28715532148204964,2.08218831080017,0.013897217,-1.699966561012791,0.0010766125344006078,1.417977777545639,5.448485689313278e-06,-0.5180554044627428
2017-10-26_1,253,AL_R_253,AL_R,AL,R,701,2000,398,0.07596074555551985,2.094851683107297,0.28809906033044486,2.214325248268904,0.014788212,0.3273448155217279,0.0010783105303666422,1.420214162938959,-2.3796467376606784e-05,-0.6376832260128877
2017-10-26_1,254,AL_R_254,AL_R,AL,R,701,2000,398,0.08591409227576412,2.6859696848372425,0.28537917787414974,1.8335028007656418,0.01392991,-1.6255787561108648,0.00136147716814386,1.7931654215214672,-2.4113483253448686e-05,-0.6389799939939449
2017-10-26_1,255,AL_R_255,AL_R,AL,R,701,2000,398,0.03944967470817887,-0.07349951040673776,0.279626511650553,1.0280472466592456,0.015155399,1.1628175112787063,-2.6584273603345666e-05,-0.03501344076652802,0.0001252829626852161,-0.027866981273703687
2017-10-26_1,256,AL_R_256,AL_R,AL,R,701,2000,398,0.06898072958573748,1.6803164309886405,0.286406789150993,1.9773830778796977,0.014837609,0.43973812637499976,-0.0016126964068306343,-2.1240396091864873,-1.676468632873027e-05,-0.6089194031926236
2017-10-26_1,257,AL_R_257,AL_R,AL,R,701,2000,398,0.056049494836751076,0.9123450280458841,0.28539427432375103,1.8356165196406866,0.015530756,2.0168786819844,0.00034112166480294295,0.4492822855710497,0.0001356682372954852,0.01461446073874013
2017-10-26_1,258,AL_R_258,AL_R,AL,R,701,2000,398,0.0802810220410473,2.3514280161563264,0.28738981644120726,2.115020959162196,0.014646364,0.00459362508751661,0.001012877920376403,1.3340346100094318,-2.7052546563070442e-05,-0.6510023672333718
2017-10-26_1,259,AL_R_259,AL_R,AL,R,701,2000,398,0.08077010520749937,2.3804741121237147,0.28719587001094715,2.087865684828473,0.014432867,-0.4811839154640567,0.0014706211683473416,1.9369160856609446,-1.604803867158445e-05,-0.6059879230890267
