recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2017-10-26_1,250,AL_R_250,AL_R,AL,R,701,2000,247,0.09687486523172026,1.6460453675407563,0.234147278646306,2.08846371528042,0.028777134,-0.3411952783521761,0.02681871679478458,0.4045374677132549,0.026598788696903703,-0.053329449237025005
2017-10-26_1,251,AL_R_251,AL_R,AL,R,701,2000,247,0.09594120544721955,1.608134656622371,0.22386906425982675,1.4107976778116924,0.06707739,0.08793124457085556,0.006134829208520906,0.09253866588244025,0.010628493815843769,-0.7310035403367041
2017-10-26_1,252,AL_R_252,AL_R,AL,R,701,2000,247,0.10303131512655418,1.8960244242818418,0.22864775286614938,1.7258674798585927,0.06791328,0.0972967625881075,0.030470153582947596,0.45961627715449355,0.01355946441245958,-0.6066324595336127
2017-10-26_1,253,AL_R_253,AL_R,AL,R,701,2000,247,0.09068313554114503,1.3946337952733394,0.22801800734559768,1.6843469262410944,0.18730542,1.4349988672062173,-0.01170268921979836,-0.17652508502319866,0.008175762612284705,-0.8350812922794658
2017-10-26_1,254,AL_R_254,AL_R,AL,R,701,2000,247,0.11041776022968804,2.195946718963495,0.22089604222150763,1.2147795769764707,0.044652466,-0.16332373000357792,0.013563854098320007,0.20459916972737116,0.021186287427996296,-0.2830003416845195
2017-10-26_1,255,AL_R_255,AL_R,AL,R,701,2000,247,0.08865820760163144,1.3124127774895291,0.23611646755554985,2.2182968161456924,0.19915678,1.5677846844318237,-0.007666081439570657,-0.1156362996998644,0.027572366261757235,-0.012017232005544057
2017-10-26_1,256,AL_R_256,AL_R,AL,R,701,2000,247,0.08245643957718272,1.060593604530835,0.23017912665401213,1.8268344345924397,0.07025804,0.12356814629706223,0.026033291442851936,0.3926899962111726,0.008379091636777664,-0.8264533481561006
2017-10-26_1,257,AL_R_257,AL_R,AL,R,701,2000,247,0.09230294624808366,1.4604052641452636,0.23625487329068579,2.227422220867343,0.014517688,-0.5009619929705253,0.05251819894382996,0.7921922354513816,0.018442530885564915,-0.39942729152726275
2017-10-26_1,258,AL_R_258,AL_R,AL,R,701,2000,247,0.0981652215781498,1.698439534284646,0.229072383921632,1.7538643705571964,0.05850305,-0.008138003867227885,0.03230602115126593,0.48730877351169494,0.011526151128402112,-0.6929128783960536
2017-10-26_1,259,AL_R_259,AL_R,AL,R,701,2000,247,0.09418153822490455,1.536684395526016,0.22915938407284792,1.759600488283172,0.11287176,0.6010238258788533,0.0031386989035776685,0.04734459579418065,0.012472080976166394,-0.6527738481150315
