roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
1,FB_1,FB,FB,midline,20,0.5118874021601119,0.3897458846848489,0.07446419035568644,0.18924483295051447,0.1349547211431625,0.06359828365447437,0.23993685728243047,0.018720925,0.0006152910708267136,9.31044011673905e-05
2,FB_2,FB,FB,midline,20,0.5733869857025203,0.11476329191090415,-0.029782469100443253,-0.06411137622721211,0.06698911557198786,0.06401155055447667,0.23764233645941318,0.018661186,0.00019063736179404179,8.966163470710764e-05
3,FB_3,FB,FB,midline,20,1.1441764902325493,0.3825272547582031,-0.6069215444941306,0.43201020364267456,0.05397620783196303,0.07503736354382942,0.2397344258307749,0.018332135,0.00013173238110890305,0.00014432999338721958
4,FB_4,FB,FB,midline,20,0.5435438997480013,0.10956184837429657,-0.287543771779014,0.3870388095085652,0.24598137318444357,0.06263580129403898,0.23811365127461417,0.01858004,-2.3002440485985087e-05,0.00031953785934795955
5,FB_5,FB,FB,midline,20,0.5093897492244862,-0.09266013667247348,-0.0338998385546704,-0.19855973532560905,0.14640123964035912,0.06414899136857556,0.23739172569503775,0.018587569,-4.235442278642697e-05,0.00014874048729102192
6,FB_6,FB,FB,midline,20,1.2479908516333376,0.28454931814388174,-0.15097604194573844,0.30472546416871876,-0.007631671843120791,0.07765430795395081,0.23875665740707075,0.01864639,0.0006246775702154539,0.00012540648736912677
7,FB_7,FB,FB,midline,20,0.03644737531090648,-0.17307508902238686,0.2986098615944846,0.004187342231887789,0.25949845338808236,0.05357634924153191,0.23675671323116942,0.018939568,0.00010118310653075654,0.0003817969312205047
8,FB_8,FB,FB,midline,20,0.859638759129725,0.4700086756784502,-0.339349620550513,0.5156203044112551,-0.10205387594157227,0.07078338068903978,0.2402779805388276,0.01853471,0.0012308859366502332,0.00018895886268282874
9,FB_9,FB,FB,midline,20,1.1074381042269408,0.25495415403829397,-0.08450009322685474,0.05751663663681885,-0.027975006933485334,0.0763380684691252,0.23872616383868275,0.018585268,0.00011588337366453432,0.00014183350273476832
10,FB_10,FB,FB,midline,20,0.5485025507739459,0.39780878391714997,-0.1348852892183909,0.15638134749980342,0.08498031896228994,0.06358808598258373,0.23950299449851617,0.018658765,0.0005021500647395727,0.00011090250597268118
11,FB_11,FB,FB,midline,20,0.24442383018733257,0.11458697471123461,0.10127121264362282,-0.1046823211098161,0.058979166352758336,0.058709792318140476,0.23835243577264142,0.018916257,0.0003307449365631518,0.00021567362433075072
12,FB_12,FB,FB,midline,20,0.9159181706238471,0.6490460958695401,-0.03934541606341543,0.22330875060241429,0.09805454851333703,0.07068040711007242,0.2409468676199853,0.018788612,0.0004513728564833323,0.0002207475695379994
13,FB_13,FB,FB,midline,20,1.3507298624267512,0.603850097155465,-0.590220200484114,0.6792778379964687,-0.0698632305158367,0.08059810739232706,0.2413409482976432,0.01809891,0.0012493373828214118,3.083722330053349e-05
14,EB_14,EB,EB,midline,20,0.9575003246535478,0.21994859731657615,-0.32983526273569225,0.09440925985551027,-0.05740245320315855,0.07131375712203591,0.23938237428265813,0.018609397,0.00035895019407519816,0.00013405275875819086
15,EB_15,EB,EB,midline,20,1.1307574148869897,0.8418076694335432,0.007666895950532782,0.5843318387006331,-0.16112201452941025,0.07485540771424977,0.24220034365190357,0.018947152,0.0012969782442676537,0.00014994517297241324
16,EB_16,EB,EB,midline,20,1.4048371546159129,0.41095472436238323,-0.675423632654303,0.0064829283188418945,-0.19772350193512656,0.08052024980441666,0.24029116610195556,0.018132476,0.001073411771994782,0.00010387406466775516
17,SAD_17,SAD,SAD,midline,20,0.27007846186845097,-0.018547439301525213,0.11503086058014696,-0.11261922825568808,0.2494136152605575,0.06153991104053487,0.23900362112901954,0.018724032,0.00015955762102545806,0.0002535178333021518
18,SAD_18,SAD,SAD,midline,20,0.32900283264979635,0.04347807397665175,-0.13630613792470475,-0.14115052372671946,0.3174145916804198,0.0612841592647995,0.23890924568474178,0.018680029,1.6782614748064177e-05,0.00031605327942755727
19,SAD_19,SAD,SAD,midline,20,-0.34236026760929855,-0.41412476123481684,0.1322582095496565,0.07061845634821014,0.4712566609496571,0.04789579266263019,0.23654508764399798,0.019003212,0.00017542633590490798,0.0003071503702737324
20,SAD_20,SAD,SAD,midline,20,-0.36881487431061777,-0.4514184630461749,0.2945640618349268,-0.0034350497881598476,0.31784685060161133,0.04687802517331265,0.23569903337372472,0.019016009,-0.00017860068027388746,0.00040529696253809353
21,SAD_21,SAD,SAD,midline,20,0.26774350404598574,0.1445149862524679,0.08301996178968248,-0.1644097107183056,0.024247495771095535,0.06333378300520137,0.24050443319784645,0.018601242,0.0003418380433790196,0.0002950872533239769
22,SAD_22,SAD,SAD,midline,20,0.5617218836866718,0.30641998487680777,-0.04563981300984034,0.38270994041047113,0.168145548445143,0.06682908300366744,0.24126065840489996,0.018575082,0.0004991745844021472,0.00017221711279903786
23,SAD_23,SAD,SAD,midline,20,-0.28468602764643,-0.24235794765393423,0.3103331346502444,0.04348855698445462,0.6318880530868737,0.047950867550080024,0.2368138378261532,0.019051323,0.0004897244237990889,0.0005071266874344309
24,SAD_24,SAD,SAD,midline,20,0.18774861022422776,0.10042195374090483,0.1022505166364223,-0.10254907431509368,0.3398336306995769,0.05831687411413576,0.23916155816241527,0.018748978,-1.8551883156412546e-05,0.0002616727159758005
25,SAD_25,SAD,SAD,midline,20,-0.16317098116244813,-0.22628873553292586,0.17308975965826212,-0.1591741372526053,0.5141648745559896,0.05086732258409414,0.23727581930416722,0.01891184,-0.0001974869216808146,0.00025983503480906024
26,SAD_26,SAD,SAD,midline,20,0.26719572121223534,0.134282394499793,0.09778483916922512,0.10948207380970505,-0.091379101423029,0.06160490783244421,0.23947991307803146,0.0187207,7.327246815548432e-05,0.00016350992645032327
27,SAD_27,SAD,SAD,midline,20,0.08551027054084911,0.1514905884128616,0.03869607503713335,-0.28434968360171803,0.27941159532311177,0.0565603840224041,0.23947335550408697,0.018621568,-0.00020156033149188168,0.00020724385566850184
28,SAD_28,SAD,SAD,midline,20,-0.4645853959284293,-0.5096155835528228,0.40102263395525994,-0.006403571170039646,0.4827893461158932,0.04329569156669579,0.23499045557705028,0.019091967,-8.589184747092283e-05,0.0005401687369443386
29,SAD_29,SAD,SAD,midline,20,-0.19787021243035766,-0.332811681477278,0.23063907570232187,-0.1072631147601804,0.3357061447581529,0.049308082379605205,0.23638587402781966,0.018882688,0.00020843884767524778,0.00038904529804932245
30,SAD_30,SAD,SAD,midline,20,0.09510408551772258,-0.2611802320659315,0.03448536601018563,0.05434004289341822,0.3049597656142337,0.059014786194611736,0.23737227455925472,0.018719126,0.00026630173816272244,0.00037353551941169153
31,SAD_31,SAD,SAD,midline,20,-0.45502442693547485,-0.4616438183172381,0.15185580805754267,0.015790798140677572,0.5439824822601562,0.045402798431667425,0.23553492334778214,0.018874582,-1.366261937870724e-05,0.0006086087034656367
32,SAD_32,SAD,SAD,midline,20,-0.49353983730088924,-0.6112661105436059,0.2004709739458313,-0.26097832203980564,0.9016193536335655,0.0426179462197141,0.23443504471953847,0.018884625,-0.00022582345885313474,0.0007711641588418945
33,SAD_33,SAD,SAD,midline,20,-0.19802950480594333,-0.5943296983507007,0.08896388782597217,0.0029809388342677046,0.41607050336246304,0.051361962517898554,0.2349558720200279,0.018802147,0.00017409795307766015,0.00045126850404696574
34,SAD_34,SAD,SAD,midline,20,-0.49406094480362384,-0.5011660395725641,0.256144769595994,0.0837125421073153,0.17864066922454072,0.0435420293601134,0.2353749252461718,0.018964402,4.436625173911493e-05,0.00045662590250454695
35,SAD_35,SAD,SAD,midline,20,-0.5587612307749192,-0.8138313590589308,0.3340053548941488,0.11071167244342632,0.10682535618902106,0.042954899038171075,0.23317999297204778,0.018915065,7.146240591115702e-05,0.00022323012091619924
36,SAD_36,SAD,SAD,midline,20,1.166992491027028,0.8149220581055934,-0.535813045105703,0.8581659988893499,0.012379235595042433,0.08024231907486704,0.24328625055958972,0.018028248,0.0013460968729270546,0.00015630971901919063
37,NO_37,NO,NO,midline,20,0.3842221785831984,0.12332006365153156,0.16855943032280987,0.09647997744921324,-0.10706032352648745,0.060286078452062034,0.23847584667540378,0.019109787,3.586915673753721e-05,0.0001465346279704755
38,SOG_38,SOG,SOG,midline,20,-0.10030837901731374,0.35216534058140087,0.10538896416137548,0.1315382702733918,0.20823864037781264,0.052053391177626765,0.24039014810598958,0.018879805,0.0003601775682864394,0.00016882314921078364
39,SOG_39,SOG,SOG,midline,20,-0.023305354958732472,-0.00848885495781487,-0.03247998221745248,-0.1055154475134588,0.4071438232190031,0.05209636790269051,0.23760484907467191,0.018817548,0.00026179955846038097,0.00036092309530886776
40,SOG_40,SOG,SOG,midline,20,0.35329839141856834,0.5979143142402987,-0.3406020478489497,0.46653169650754817,0.11470473559076093,0.06048467861165914,0.24200505783775986,0.018521676,0.0011514373542807893,0.000227044199693387
41,SOG_41,SOG,SOG,midline,20,0.6994129132082636,0.8465793182861712,-0.19955353508383894,0.3978133625583665,-0.06507922972965915,0.07042690449296479,0.2434194193553806,0.018441537,0.0012688925997337275,0.00012371227944186513
42,SOG_42,SOG,SOG,midline,20,0.29057597642532357,0.10688665377419493,0.09783641025808024,0.10944030721956013,0.20648535558331488,0.05938960951822253,0.23917204042244414,0.018722555,0.000294444323283723,0.00019079328457531001
43,SOG_43,SOG,SOG,midline,19,0.11778873876740636,0.2967523915184526,-0.09663155512531958,0.008867167815694103,0.26003249585374644,0.05638344469158226,0.24041274950380964,0.019001897,0.000734825530551132,0.00041703973466494164
44,SOG_44,SOG,SOG,midline,20,0.062419430801509225,0.18490658853488648,0.26103647705194877,0.05251472993148866,0.16905860513037543,0.053212500408262864,0.23822227278574237,0.019013572,-5.262882987899279e-05,0.00033937475018826945
45,SOG_45,SOG,SOG,midline,20,-0.036540296052734046,0.01954412912036189,-0.05338480087506474,-0.15897801732348613,0.40644139072539237,0.05210797562036229,0.2376927462186591,0.018890327,-0.0005326399828488913,0.0003126798818189738
46,SOG_46,SOG,SOG,midline,20,-0.10514338944812118,-0.08534065206102245,0.2172051235213049,-0.29446007467255214,0.2839013627431007,0.05096558976487966,0.23754744913084122,0.01893282,-0.0002093341290073179,0.0003982186918964709
47,SOG_47,SOG,SOG,midline,20,-0.04722458946453454,0.2500342197720279,0.29777120218706254,0.03168457532233735,0.4775080685967111,0.05208451548221073,0.23998152090925076,0.01899182,0.0005026097904331409,0.0005273283225362515
48,SOG_48,SOG,SOG,midline,20,0.24965163519648997,0.8003805902839257,0.24056013683859145,0.8272531552886283,-0.06862366842360938,0.06076059486708735,0.24383756033842457,0.018845119,0.0018880528985190334,0.0001895043351214557
49,SOG_49,SOG,SOG,midline,20,0.23060631552804142,0.7712151454509162,0.35763843246599314,0.31209262199625537,-0.1692614816384277,0.06038561989744821,0.24286995842338946,0.018909693,0.0005778800019263846,9.712335841906537e-05
50,SOG_50,SOG,SOG,midline,19,0.020056106750576102,0.8308039476731287,0.22850716171350013,0.874710973352143,0.17661419727800645,0.05438241329045997,0.24293776382383472,0.019109135,0.0011792446090448155,0.000338208372347911
51,SOG_51,SOG,SOG,midline,19,0.2508436633292668,0.3776589505751609,0.2974055500033912,0.3038114724923614,0.10015763807377286,0.06019035788627875,0.24166237217550637,0.019014772,0.0007272703730891285,0.00017608134647520044
52,SOG_52,SOG,SOG,midline,18,-0.5737274286912613,-0.202677878310318,0.6108763821912427,0.18265684017541975,0.2538289781071375,0.041444813182573835,0.23736289914546577,0.01962345,0.0008732957367799594,0.00027592420610448573
53,SOG_53,SOG,SOG,midline,20,0.254987971224572,0.11595167276916903,0.0676744614670535,0.21817551216741995,0.29296515327725103,0.05961706190142093,0.23906340262946033,0.018765505,0.0005152256441596341,0.00031063699723261895
