roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
1,FB_1,FB,FB,midline,20,0.4586114073991546,0.33580488715595636,-0.09386139058118853,0.5875823778067607,0.25834732066629884,0.07504712534724725,0.20838384749958064,0.051273216,0.014210723617536716,0.009267291236322703
2,FB_2,FB,FB,midline,20,0.5273174852866708,0.18909028780317688,-0.35855196412447626,0.20405639127353536,0.23260635538198712,0.07568243385056475,0.205880280879644,0.048420675,0.008391573470332049,0.008978792611711157
3,FB_3,FB,FB,midline,20,0.9290989138794246,0.30074668213191946,-0.6739396193483809,0.5911779796208287,0.11768724835015924,0.0852231984964689,0.20720413962598414,0.042106945,0.017890612196133315,0.0077286501507005095
4,FB_4,FB,FB,midline,20,0.4785623128203203,0.17129003440730933,-0.5844378251900116,0.5022428865970092,0.2077630156318114,0.07350352532369445,0.2054574017497727,0.04338076,0.014790744608813846,0.008808726046104711
5,FB_5,FB,FB,midline,20,0.44528493616769654,-0.0967512817150012,-0.07722908867513915,0.1289854142105064,0.2414748110099631,0.07568116950490159,0.2033147284927277,0.05269018,0.007041343808501768,0.009465958018385625
6,FB_6,FB,FB,midline,20,0.9214343821430244,0.04453239052591213,-0.039504470086861365,0.07183320318362714,0.07358281527119359,0.08590647591740716,0.20360904264227267,0.056918453,0.006967248831501409,0.00786685051302748
7,FB_7,FB,FB,midline,20,0.07110247325757746,-0.12170133754715025,-0.24764689700679887,0.06968231125332261,0.5641369605684683,0.06492379720944681,0.2028917111122872,0.046467055,0.008035940801345804,0.01098964395910588
8,FB_8,FB,FB,midline,20,0.7608972744027049,0.5128502017100399,-0.4296260579572452,0.8175408032601738,0.21359941763684068,0.08222714779294134,0.2097785261914178,0.04538042,0.0184483296730847,0.008630992637220074
9,FB_9,FB,FB,midline,20,0.8166256121452896,-0.023770812632974724,0.08783943334065089,-0.09651822870985474,0.16525653953831554,0.08441045768261174,0.2039200217523633,0.05573426,0.0009030817244572456,0.008654007885975774
10,FB_10,FB,FB,midline,20,0.49869712945386746,0.39850719381920774,-0.264114957113022,0.6686038035143086,0.3028278223480446,0.07529010387133564,0.20849562663535356,0.049629964,0.01511720942045186,0.008822398120364028
11,FB_11,FB,FB,midline,20,0.2247495328872978,0.10993151594760597,-0.5399573312805266,0.5805393477330487,0.4120253037793803,0.06976223437769553,0.20525902212284214,0.04069012,0.018655824316553715,0.011619772089527126
