roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order
250,AL_R,AL,306,AL,R,0,AL_R_250,0
251,AL_R,AL,304,AL,R,0,AL_R_251,1
252,AL_R,AL,319,AL,R,0,AL_R_252,2
253,AL_R,AL,318,AL,R,0,AL_R_253,3
254,AL_R,AL,303,AL,R,0,AL_R_254,4
255,AL_R,AL,308,AL,R,0,AL_R_255,5
256,AL_R,AL,307,AL,R,0,AL_R_256,6
257,AL_R,AL,312,AL,R,0,AL_R_257,7
258,AL_R,AL,320,AL,R,0,AL_R_258,8
259,AL_R,AL,316,AL,R,0,AL_R_259,9
260,AL_R,AL,302,AL,R,0,AL_R_260,10
261,AL_R,AL,309,AL,R,0,AL_R_261,11
262,AL_R,AL,313,AL,R,0,AL_R_262,12
263,AL_R,AL,317,AL,R,0,AL_R_263,13
264,AL_R,AL,310,AL,R,0,AL_R_264,14
265,AL_R,AL,315,AL,R,0,AL_R_265,15
266,AL_R,AL,321,AL,R,0,AL_R_266,16
267,AL_R,AL,322,AL,R,0,AL_R_267,17
268,AL_R,AL,311,AL,R,0,AL_R_268,18
269,AL_R,AL,314,AL,R,0,AL_R_269,19
270,AL_R,AL,301,AL,R,0,AL_R_270,20
271,AL_R,AL,323,AL,R,0,AL_R_271,21
272,AL_R,AL,305,AL,R,0,AL_R_272,22
988,AME_R,AME,1,AME,R,0,AME_R_988,23
996,AMMC_R,AMMC,175,AMMC,R,0,AMMC_R_996,24
997,AMMC_R,AMMC,176,AMMC,R,0,AMMC_R_997,25
998,AMMC_R,AMMC,178,AMMC,R,0,AMMC_R_998,26
999,AMMC_R,AMMC,177,AMMC,R,0,AMMC_R_999,27
158,ATL_R,ATL,218,ATL,R,0,ATL_R_158,28
188,AVLP_R,AVLP,750,AVLP,R,0,AVLP_R_188,29
189,AVLP_R,AVLP,742,AVLP,R,0,AVLP_R_189,30
190,AVLP_R,AVLP,744,AVLP,R,0,AVLP_R_190,31
191,AVLP_R,AVLP,740,AVLP,R,0,AVLP_R_191,32
192,AVLP_R,AVLP,739,AVLP,R,0,AVLP_R_192,33
193,AVLP_R,AVLP,737,AVLP,R,0,AVLP_R_193,34
194,AVLP_R,AVLP,743,AVLP,R,0,AVLP_R_194,35
195,AVLP_R,AVLP,753,AVLP,R,0,AVLP_R_195,36
196,AVLP_R,AVLP,741,AVLP,R,0,AVLP_R_196,37
197,AVLP_R,AVLP,745,AVLP,R,0,AVLP_R_197,38
198,AVLP_R,AVLP,754,AVLP,R,0,AVLP_R_198,39
199,AVLP_R,AVLP,746,AVLP,R,0,AVLP_R_199,40
200,AVLP_R,AVLP,751,AVLP,R,0,AVLP_R_200,41
201,AVLP_R,AVLP,736,AVLP,R,0,AVLP_R_201,42
202,AVLP_R,AVLP,752,AVLP,R,0,AVLP_R_202,43
203,AVLP_R,AVLP,748,AVLP,R,0,AVLP_R_203,44
204,AVLP_R,AVLP,735,AVLP,R,0,AVLP_R_204,45
205,AVLP_R,AVLP,747,AVLP,R,0,AVLP_R_205,46
206,AVLP_R,AVLP,733,AVLP,R,0,AVLP_R_206,47
207,AVLP_R,AVLP,755,AVLP,R,0,AVLP_R_207,48
208,AVLP_R,AVLP,749,AVLP,R,0,AVLP_R_208,49
209,AVLP_R,AVLP,756,AVLP,R,0,AVLP_R_209,50
210,AVLP_R,AVLP,732,AVLP,R,0,AVLP_R_210,51
211,AVLP_R,AVLP,729,AVLP,R,0,AVLP_R_211,52
212,AVLP_R,AVLP,730,AVLP,R,0,AVLP_R_212,53
213,AVLP_R,AVLP,734,AVLP,R,0,AVLP_R_213,54
214,AVLP_R,AVLP,731,AVLP,R,0,AVLP_R_214,55
215,AVLP_R,AVLP,738,AVLP,R,0,AVLP_R_215,56
126,CRE_R,CRE,226,CRE,R,0,CRE_R_126,57
127,CRE_R,CRE,232,CRE,R,0,CRE_R_127,58
128,CRE_R,CRE,231,CRE,R,0,CRE_R_128,59
129,CRE_R,CRE,227,CRE,R,0,CRE_R_129,60
130,CRE_R,CRE,230,CRE,R,0,CRE_R_130,61
131,CRE_R,CRE,233,CRE,R,0,CRE_R_131,62
132,CRE_R,CRE,229,CRE,R,0,CRE_R_132,63
133,CRE_R,CRE,228,CRE,R,0,CRE_R_133,64
144,EPA_R,EPA,901,EPA,R,0,EPA_R_144,65
990,GA_R,GA,984,GA,R,0,GA_R_990,66
295,GOR_R,GOR,839,GOR,R,0,GOR_R_295,67
909,IB_R,IB,217,IB,R,0,IB_R_909,68
910,IB_R,IB,211,IB,R,0,IB_R_910,69
911,IB_R,IB,213,IB,R,0,IB_R_911,70
912,IB_R,IB,212,IB,R,0,IB_R_912,71
311,ICL_R,ICL,196,ICL,R,0,ICL_R_311,72
312,ICL_R,ICL,191,ICL,R,0,ICL_R_312,73
313,ICL_R,ICL,193,ICL,R,0,ICL_R_313,74
314,ICL_R,ICL,192,ICL,R,0,ICL_R_314,75
315,ICL_R,ICL,195,ICL,R,0,ICL_R_315,76
316,ICL_R,ICL,190,ICL,R,0,ICL_R_316,77
317,ICL_R,ICL,189,ICL,R,0,ICL_R_317,78
318,ICL_R,ICL,194,ICL,R,0,ICL_R_318,79
928,IPS_R,IPS,882,IPS,R,0,IPS_R_928,80
929,IPS_R,IPS,877,IPS,R,0,IPS_R_929,81
930,IPS_R,IPS,876,IPS,R,0,IPS_R_930,82
931,IPS_R,IPS,879,IPS,R,0,IPS_R_931,83
932,IPS_R,IPS,875,IPS,R,0,IPS_R_932,84
933,IPS_R,IPS,881,IPS,R,0,IPS_R_933,85
934,IPS_R,IPS,880,IPS,R,0,IPS_R_934,86
935,IPS_R,IPS,874,IPS,R,0,IPS_R_935,87
936,IPS_R,IPS,873,IPS,R,0,IPS_R_936,88
937,IPS_R,IPS,872,IPS,R,0,IPS_R_937,89
938,IPS_R,IPS,878,IPS,R,0,IPS_R_938,90
916,IVLP_R,IVLP,990,IVLP,R,0,IVLP_R_916,91
917,IVLP_R,IVLP,993,IVLP,R,0,IVLP_R_917,92
918,IVLP_R,IVLP,992,IVLP,R,0,IVLP_R_918,93
919,IVLP_R,IVLP,994,IVLP,R,0,IVLP_R_919,94
920,IVLP_R,IVLP,991,IVLP,R,0,IVLP_R_920,95
974,LAL_R,LAL,150,LAL,R,0,LAL_R_974,96
975,LAL_R,LAL,149,LAL,R,0,LAL_R_975,97
976,LAL_R,LAL,143,LAL,R,0,LAL_R_976,98
