recording_id,atlas_region,base_region,side,n_rois_total,n_present_rois,n_valid_regions,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2017-10-26_1,AL_L,AL,L,22,22,66,2000,247,0.16815554881094935,0.2614665207248652,0.19683291011646278,0.9870086129224499
2017-10-26_1,AME_L,AME,L,1,1,66,2000,247,0.041649865451872346,0.18226151310083125,-2.1361783450655385,-2.1044600339930577
2017-10-26_1,AMMC_L,AMMC,L,4,4,66,2000,247,0.14068783389702513,0.24889579164915426,-0.3097252645579693,0.49635763046313824
2017-10-26_1,ATL_L,ATL,L,1,1,66,2000,247,0.07982461565250518,0.21253089345555154,-1.4321615806246755,-0.9230089725606357
2017-10-26_1,AVLP_L,AVLP,L,34,34,66,2000,247,0.19773616214383105,0.2593579366883321,0.7423570479128225,0.9047079903498116
2017-10-26_1,CRE_L,CRE,L,10,10,66,2000,247,0.2134860851201085,0.254734019022345,1.0328163110560258,0.7242308094350487
2017-10-26_1,EPA_L,EPA,L,1,1,66,2000,247,0.13976813176636693,0.21488097473858211,-0.3266863635795058,-0.8312824160949377
2017-10-26_1,GA_L,GA,L,1,1,66,2000,247,0.09908334806519065,0.21391525346950463,-1.07699303573171,-0.8689757023475431
2017-10-26_1,GOR_L,GOR,L,1,1,66,2000,247,0.16099074727982607,0.2184491450076619,0.06470001166153747,-0.692012351680866
2017-10-26_1,IB_L,IB,L,3,3,66,2000,247,0.16672650375080156,0.22915377864036904,0.17047853519068343,-0.2741973644099147
2017-10-26_1,ICL_L,ICL,L,8,8,66,2000,247,0.1980507897504279,0.23184985655471263,0.7481593939251983,-0.1689661348215289
2017-10-26_1,IPS_L,IPS,L,8,8,66,2000,247,0.1465844405556414,0.2363932635716748,-0.20098035020589947,0.008368616660174653
2017-10-26_1,IVLP_L,IVLP,L,7,7,66,2000,247,0.1613676808369577,0.24520797538411723,0.07165140078409432,0.3524176359988541
2017-10-26_1,LAL_L,LAL,L,5,5,66,2000,247,0.1794300557830063,0.24585438473356935,0.404756783289624,0.3776477861730699
2017-10-26_1,LB_L,LB,L,1,1,66,2000,247,0.08184468158193733,0.20349857319259843,-1.394907629462672,-1.275551516768992
2017-10-26_1,LH_L,LH,L,11,11,66,2000,247,0.1757235497602063,0.2505850764021373,0.33640159134107317,0.562292487440221
2017-10-26_1,LO_L,LO,L,39,22,66,2000,247,0.04455543757912862,0.18780045004749443,-2.0825939345028046,-1.8882685276538143
2017-10-26_1,LOP_L,LOP,L,22,0,66,2000,247,,,,
2017-10-26_1,MB_L,MB,L,16,16,66,2000,247,0.2247684746579567,0.27194853453430246,1.2408855540989228,1.3961344752950422
2017-10-26_1,ME_L,ME,L,131,16,66,2000,247,0.03272796471428581,0.18644191644750482,-2.3007155760081557,-1.9412937612360748
2017-10-26_1,OTU_L,OTU,L,4,4,66,2000,247,0.1683819153185973,0.2473333007663833,0.20100754951697025,0.43537169384021135
2017-10-26_1,PLP_L,PLP,L,13,13,66,2000,247,0.1769901844897993,0.23377949200890363,0.35976080336917754,-0.09365009502106166
2017-10-26_1,PVLP_L,PVLP,L,11,11,66,2000,247,0.19432215770844016,0.23037678284265947,0.6793961550776729,-0.22646200953975726
2017-10-26_1,SCL_L,SCL,L,8,8,66,2000,247,0.1841827323495697,0.24093015822684963,0.49240539817880286,0.18544918266943217
2017-10-26_1,SIP_L,SIP,L,7,7,66,2000,247,0.13891448051429098,0.2353083515614061,-0.34242935572192573,-0.033976830490443456
2017-10-26_1,SLP_L,SLP,L,23,23,66,2000,247,0.24140184371779258,0.25188843101898484,1.547637284122353,0.6131640175955205
2017-10-26_1,SMP_L,SMP,L,22,22,66,2000,247,0.1524493475752452,0.23572492397191996,-0.09282003895337101,-0.017717498095872863
2017-10-26_1,SPS_L,SPS,L,15,15,66,2000,247,0.19597720810535837,0.22763671726189183,0.7099185087093572,-0.3334101317297627
2017-10-26_1,VES_L,VES,L,6,6,66,2000,247,0.2057195258628859,0.26036912682893737,0.8895858278080317,0.9441759824569499
2017-10-26_1,WED_L,WED,L,1,1,66,2000,247,0.08301236044964358,0.19455385164577424,-1.3733733563101815,-1.6246749755868375
2017-10-26_1,AL_R,AL,R,23,23,66,2000,247,0.17204389594034697,0.2599811661498993,0.2685416063272909,0.9290334010538227
2017-10-26_1,AME_R,AME,R,1,1,66,2000,247,0.04185208879822608,0.19059788696963761,-2.132448952594177,-1.7790811316045618
2017-10-26_1,AMMC_R,AMMC,R,4,4,66,2000,247,0.09619902127110369,0.22739632915293748,-1.1301856409613709,-0.34279277462339447
2017-10-26_1,ATL_R,ATL,R,1,1,66,2000,247,0.16210749530789137,0.2303943506496715,0.08529502090933117,-0.22577631647309448
2017-10-26_1,AVLP_R,AVLP,R,28,28,66,2000,247,0.1849124027886607,0.22652249631882412,0.5058619425946056,-0.37689954249506413
2017-10-26_1,CRE_R,CRE,R,8,8,66,2000,247,0.2155793358624937,0.2841043321567164,1.07141993274503,1.8705901739337185
2017-10-26_1,EPA_R,EPA,R,1,1,66,2000,247,0.14133888046409204,0.22086510119133923,-0.2977186975146261,-0.5977146170021089
2017-10-26_1,GA_R,GA,R,1,1,66,2000,247,0.10208496981833973,0.23788044774050035,-1.0216372829469202,0.06641523982239708
2017-10-26_1,GOR_R,GOR,R,1,1,66,2000,247,0.18548614977760727,0.23884284549870352,0.5164429548250186,0.10397880536700885
