comparison,level,x,y,n,spearman_rho,spearman_p,pearson_r,pearson_p
FCS_vs_FCV_raw,summary,FCS,FCV,67,0.7473461569159551,3.7559003750480096e-13,0.8332810784980782,2.1860774500712073e-18
FCS_z_vs_FCV_z,summary,FCS_z,FCV_z,67,0.7538510655279753,1.8006460472881935e-13,0.8434709257974934,3.331722520534389e-19
FCS_z_vs_FCV_z,2017-10-26_1,FCS_z,FCV_z,66,0.7608182861914207,1.239843176284536e-13,0.8190166667599913,4.364111557590823e-17
FCS_z_vs_FCV_z,2017-10-30_1,FCS_z,FCV_z,64,0.619047619047619,4.965723952799254e-08,0.6747005493448172,9.77088834279347e-10
FCS_z_vs_FCV_z,2017-10-30_2,FCS_z,FCV_z,66,0.8803882684479701,2.0666729019972061e-22,0.868891565519126,3.2430137586065162e-21
FCS_z_vs_FCV_z,2017-11-08_1,FCS_z,FCV_z,66,0.5902724141530112,1.8259058898983265e-07,0.5976177425090402,1.1726152692503222e-07
FCS_z_vs_FCV_z,2017-11-08_2,FCS_z,FCV_z,66,0.8101659534495357,1.73843419113634e-16,0.8256018817736365,1.4848823567892233e-17
FCS_z_vs_FCV_z,2017-11-16_1,FCS_z,FCV_z,66,0.39605469157707973,0.0009954497933727508,0.3479150176627343,0.004203361866474804
FCS_z_vs_FCV_z,2018-10-19_1,FCS_z,FCV_z,67,-0.010735094580573073,0.9312920425148766,0.2562975298760389,0.03630339883713415
FCS_z_vs_FCV_z,2018-10-19_2,FCS_z,FCV_z,67,0.5804932556468994,2.617211501603858e-07,0.6052746037106175,5.7705774548299145e-08
FCS_z_vs_FCV_z,2018-10-20_1,FCS_z,FCV_z,67,0.9184691515683616,6.975092670555166e-28,0.9246632846730779,5.901789707059256e-29
FCS_z_vs_FCV_z,2018-10-31_1,FCS_z,FCV_z,67,0.28230505227871344,0.02063614232772167,0.20737300912196843,0.09221342488885276
FCS_z_vs_FCV_z,2018-11-03_2,FCS_z,FCV_z,67,0.5312075983717776,3.7482756588012662e-06,0.5431555809284083,2.0433304854907344e-06
FCS_z_vs_FCV_z,2018-11-03_3,FCS_z,FCV_z,66,0.18956267612984035,0.12739664884063698,0.09617222625692334,0.4423910863478321
FCS_z_vs_FCV_z,2018-11-03_4,FCS_z,FCV_z,66,0.6150714956685107,3.9110902574221e-08,0.5868217212066279,2.2397120060186225e-07
FCS_z_vs_FCV_z,2018-11-03_5,FCS_z,FCV_z,66,0.7555161256653795,2.285876796061004e-13,0.7576842038058764,1.7833309050186745e-13
FCS_z_vs_FCV_z,2018-12-12_2,FCS_z,FCV_z,67,0.7794716258280789,7.851897053500476e-15,0.8443510986620928,2.814366616746943e-19
FCS_z_vs_FCV_z,2018-12-12_3,FCS_z,FCV_z,66,0.6280137772675087,1.657723960663046e-08,0.6151697250758453,3.886259278539763e-08
FCS_z_vs_FCV_z,2018-12-12_4,FCS_z,FCV_z,66,0.679991650140904,3.4063597779154187e-10,0.7354930949166795,2.0168411205840825e-12
FCS_z_vs_FCV_z,2018-12-14_1,FCS_z,FCV_z,67,0.683374570995291,1.8648833671793672e-10,0.7419576538652193,6.791527056284182e-13
FCS_z_vs_FCV_z,2018-12-14_2,FCS_z,FCV_z,66,0.6472602024840832,4.288492175586405e-09,0.7074517371962697,3.1230896594987944e-11
FCS_z_vs_FCV_z,2018-12-14_3,FCS_z,FCV_z,67,0.5440976933514248,1.9459358833670432e-06,0.576429831086882,3.314160088789947e-07
