atlas_region,base_region,side,n_recordings,n_rois_total,mean_present_rois,FCS,FCV,FCS_z,FCV_z
AL_L,AL,L,20,22,22.0,0.19323240395588107,0.24874016280966327,0.47741987442535505,0.975251409494114
AL_R,AL,R,20,23,23.0,0.19694217190669105,0.24929520179526157,0.4957348344775315,1.0178792978112228
AME_L,AME,L,20,1,0.95,0.059713331807741375,0.199049670060078,-1.5995039844901098,-1.5400386309579865
AME_R,AME,R,20,1,1.0,0.04532079428195806,0.196207450392323,-1.8282817724196678,-1.7369322002761773
AMMC_L,AMMC,L,20,4,4.0,0.12485819923105745,0.21554044439476366,-0.6124227239936377,-0.6917580680684223
AMMC_R,AMMC,R,20,4,4.0,0.11941647174186187,0.21678953102880158,-0.6874182685447665,-0.7126117023878432
ATL_L,ATL,L,20,1,1.0,0.13137734952029623,0.22097982083593073,-0.49409287680870995,-0.4117795618981953
ATL_R,ATL,R,20,1,1.0,0.13565613425878395,0.22297678487887765,-0.38354531863185215,-0.33460393948013367
AVLP_L,AVLP,L,20,34,34.0,0.1621805674864774,0.25890518477914126,0.040409176985345796,1.510695526213269
AVLP_R,AVLP,R,20,28,28.0,0.1520055076409659,0.2490372615094624,-0.11093964084595578,1.0269049646435904
CRE_L,CRE,L,20,10,10.0,0.2180222386704068,0.23652787062756758,0.8088374019857476,0.3670796238973991
CRE_R,CRE,R,20,8,8.0,0.21944186624241907,0.23925196296871984,0.8371526183529058,0.5066774514257315
EB,EB,midline,20,3,3.0,0.1657811105011334,0.22675693499051547,0.12840491469431703,-0.13976871078010975
EPA_L,EPA,L,20,1,1.0,0.12025686827440552,0.20755423229060357,-0.6612075527600517,-1.12078679856941
EPA_R,EPA,R,20,1,1.0,0.11540599375558702,0.20814024853384888,-0.7426422754307991,-1.0171518911746218
FB,FB,midline,20,13,13.0,0.21431716169136222,0.23044405492134837,0.8814057661642585,0.07048242418771866
FLA,FLA,midline,20,6,6.0,0.19349694432019482,0.2320181127566328,0.4575927870041041,0.1215809654744278
GA_L,GA,L,20,1,1.0,0.07693532065484525,0.21140042564043826,-1.3305999706522313,-0.9071777445349125
GA_R,GA,R,20,1,1.0,0.07177101621872546,0.21017199879805853,-1.3856260148659392,-0.9405182216540598
GOR_L,GOR,L,20,1,1.0,0.13715855545144479,0.2130134795016326,-0.4152541085256578,-0.8190559495156533
GOR_R,GOR,R,20,1,1.0,0.14559570716341916,0.2149676510417547,-0.2876093031618677,-0.7091940175839294
IB_L,IB,L,20,3,3.0,0.1878501632320569,0.22348407550332955,0.35672087979766987,-0.2878519907893282
IB_R,IB,R,20,4,4.0,0.192144371483647,0.22523750445704702,0.40380056101481615,-0.22002518572638924
ICL_L,ICL,L,20,8,8.0,0.20720528897364648,0.22883831546274408,0.6450010908221742,-0.031639066843843794
ICL_R,ICL,R,20,8,8.0,0.20805075485094698,0.2297960651486491,0.7002832325583687,-0.0031856411819037546
IPS_L,IPS,L,20,8,8.0,0.19416882948084072,0.24091330720968,0.4242388716798781,0.5066457141923766
IPS_R,IPS,R,20,11,10.95,0.18755937283250596,0.24620480198030953,0.3342459795547633,0.8633183208387324
IVLP_L,IVLP,L,20,7,7.0,0.17937044709080308,0.230668566449001,0.1798973049777379,0.058065030748889114
IVLP_R,IVLP,R,20,5,5.0,0.17746305679955515,0.2269059779869682,0.11672358305373731,-0.11288874763048459
LAL_L,LAL,L,20,5,5.0,0.2356781999432509,0.23956901769072406,1.072501244001995,0.5181772002974621
LAL_R,LAL,R,20,9,9.0,0.23425560544423707,0.2413158280128243,1.0617424311103258,0.5907464424149262
LB_L,LB,L,20,1,1.0,0.07467186869491174,0.2088642608782303,-1.315056754901403,-1.0018478815598768
LB_R,LB,R,20,1,1.0,0.06692645010455424,0.21252571667876602,-1.4478307538635182,-0.8473658486890479
LH_L,LH,L,20,11,11.0,0.18984223685460483,0.24069703506017665,0.3794070492434427,0.6271326832180202
