side_key,side,big_group,n_recordings,n_mapped_rois,mean_present_rois,weighted_mean_PostDCA_positive,FCS,FCV,FCS_z,FCV_z,FCV_residual_from_FCS,FC_stability_residual,FCS_minus_FCV
AL_R,R,olfactory system,20,23,23.0,0.0669363001194896,0.2180298738994631,0.2524574907595214,0.3971265378316421,0.8733165418054796,0.610715645091207,-0.610715645091207,-0.4761900039738375
AME_L,L,optic/lateral protocerebrum,20,1,0.95,0.0037725484066030005,0.06090844340390926,0.19958151302008978,-1.876810038011308,-1.738763408882796,-0.4918521899645554,0.4918521899645554,-0.13804662912851207
AOTU_L,L,optic/lateral protocerebrum,20,4,4.0,0.0275586782600697,0.1795159201636994,0.23445317702697716,-0.18542954126285024,0.01026003826717096,0.1343785728556486,-0.1343785728556486,-0.1956895795300212
AOTU_R,R,optic/lateral protocerebrum,20,3,3.0,0.015169558282939399,0.17229985187453092,0.2364958501447778,-0.24739371477864677,0.006006165759038505,0.17125850841011633,-0.17125850841011633,-0.25339988053768525
ATL_L,L,inferior/ventrolateral protocerebrum,20,1,1.0,0.0081194081525082,0.14610286164483283,0.22318870032383606,-0.6280673936299467,-0.5153453786685246,-0.09738962448301502,0.09738962448301502,-0.11272201496142209
ATL_R,R,inferior/ventrolateral protocerebrum,20,1,1.0,0.0076843012696145,0.15435911903639224,0.22466966712274555,-0.4582168063603431,-0.4766928226119457,-0.1714893421945466,0.1714893421945466,0.018476016251602556
AVLP_L,L,optic/lateral protocerebrum,20,34,34.0,0.017506590080857,0.16910556655032818,0.263522086746131,-0.22495627457940906,1.464828117480231,1.6151857668560692,-1.6151857668560692,-1.68978439205964
AVLP_R,R,optic/lateral protocerebrum,20,28,28.0,0.0220640996038256,0.16431164402499698,0.25336841440012275,-0.27573388004084864,0.9476397711751001,1.1317052255359725,-1.1317052255359725,-1.2233736512159488
CRE_L,L,inferior/ventrolateral protocerebrum,20,10,10.0,0.0207756652701866,0.2385291571653833,0.23778176620406438,0.6874956820614558,0.2084915121428727,-0.24686574632624098,0.24686574632624098,0.47900416991858313
CRE_R,R,inferior/ventrolateral protocerebrum,20,8,8.0,0.011210897585465,0.2475366563654841,0.2402068181327675,0.8312664004779927,0.2955463898749318,-0.255250487987481,0.255250487987481,0.5357200106030608
EPA_L,L,inferior/ventrolateral protocerebrum,20,1,1.0,0.0641271040364944,0.12558844457259008,0.20884799279619318,-0.9197024346670932,-1.2781654880501256,-0.6666130291608513,0.6666130291608513,0.3584630533830324
EPA_R,R,inferior/ventrolateral protocerebrum,20,1,1.0,0.0143470987549166,0.12355775584945425,0.20946280914792942,-0.9564291241369588,-1.1826445153085743,-0.5467117006473788,0.5467117006473788,0.2262153911716155
IB_L,L,inferior/ventrolateral protocerebrum,20,3,3.0,0.0356146528386148,0.20410912602154213,0.22489621032687546,0.21818831365769106,-0.4247964836774022,-0.568612441440501,0.568612441440501,0.6429847973350933
IB_R,R,inferior/ventrolateral protocerebrum,20,4,4.0,0.0364638376026452,0.2110374032505479,0.22640495258353735,0.3034091145317034,-0.38689699193906274,-0.5872852537804052,0.5872852537804052,0.6903061064707661
ICL_L,L,optic/lateral protocerebrum,20,8,8.0,0.014131625992980202,0.22071053800403445,0.23108701428844003,0.4657403957389626,-0.131423303207368,-0.439572282006117,0.439572282006117,0.5971636989463306
ICL_R,R,optic/lateral protocerebrum,20,8,8.0,0.0142208345232401,0.22875322455692873,0.2313969093934855,0.6221031744141261,-0.14584955805978345,-0.5577971701852458,0.5577971701852458,0.7679527324739095
LAL_L,L,inferior/ventrolateral protocerebrum,20,5,5.0,0.0372312491272941,0.2500689215221864,0.24271615404944002,0.8413896176346626,0.42894959833831614,-0.12856739613135393,0.12856739613135393,0.41244001929634644
LAL_R,R,inferior/ventrolateral protocerebrum,20,9,9.0,0.023416134530816,0.25654840333301493,0.2428136159027517,0.9573416398198219,0.3870567379951161,-0.24743293204520134,0.24743293204520134,0.5702849018247058
LH_L,L,olfactory system,20,11,11.0,0.0154207396394683,0.19951928804765232,0.24482413327587507,0.146422854659899,0.5841550880799457,0.48797934640376084,-0.48797934640376084,-0.43773223342004663
LH_R,R,olfactory system,20,14,14.0,0.015880788129262,0.18470882807654299,0.24229778549239117,-0.1818809768098208,0.4260626017638224,0.5478254853232184,-0.5478254853232184,-0.6079435785736431
LO_R,R,optic/lateral protocerebrum,20,40,25.95,0.0119475088678664,0.06536490004039996,0.21154653505994508,-1.8278586061972721,-1.1813947278307062,0.03302095880847156,-0.03302095880847156,-0.6464638783665659
MB_L,L,mushroom body,20,16,16.0,0.1238445491944881,0.2636254868704583,0.24881893457210452,1.039522599047146,0.7812807790097808,0.09223674938625448,-0.09223674938625448,0.2582418200373652
MB_R,R,mushroom body,20,16,16.0,0.054111940036811704,0.2617650731151132,0.2527918203201572,1.0410314238473708,0.844805759615177,0.15476012364057556,-0.15476012364057556,0.19622566423219379
ME_L,L,optic/lateral protocerebrum,20,131,14.75,0.013740716782674401,0.05040767289693676,0.19893829540672234,-1.9936553533308434,-1.8038841239911847,-0.47940723283586517,0.47940723283586517,-0.18977122933965873
ME_R,R,optic/lateral protocerebrum,20,129,21.15,0.0062167920089693,0.06335096688319143,0.21038185637246165,-1.8460242009850758,-1.0921915674283285,0.1342830243321127,-0.1342830243321127,-0.7538326335567473
NO,midline,central complex,20,1,1.0,0.0034522715914941,0.1101016428163643,0.21923062850610156,-1.086941355622624,-0.7324267586250752,-0.00985573392813377,0.00985573392813377,-0.3545145969975487
PB,midline,central complex,20,1,1.0,0.0033217601035986006,0.1398479683381161,0.24606361870816862,-0.723812941473666,0.5296578306539264,1.0111725539080387,-1.0111725539080387,-1.2534707721275924
PLP_L,L,optic/lateral protocerebrum,20,13,13.0,0.0247627492367811,0.2356343075126433,0.24191828661903103,0.6466857524048465,0.4144612785653175,-0.013805038182202134,0.013805038182202134,0.232224473839529
PLP_R,R,optic/lateral protocerebrum,20,15,14.95,0.0182239601527843,0.22416474105483952,0.23718007180633166,0.4571222677404396,0.153553415744,-0.1488745729594031,0.1488745729594031,0.3035688519964396
PVLP_L,L,optic/lateral protocerebrum,20,11,11.0,0.0210877228173999,0.2090876410574986,0.23512573778363005,0.24917865132400716,0.20670563553917756,0.04231729652683244,-0.04231729652683244,0.04247301578482959
PVLP_R,R,optic/lateral protocerebrum,20,17,17.0,0.0190223107650327,0.20926991606648757,0.23039548718537942,0.21654810298117302,-0.1421409828383348,-0.2848681160868467,0.2848681160868467,0.3586890858195078
SIP_L,L,superior protocerebrum,20,7,7.0,0.026564468898378,0.19894316829206174,0.23518220980544452,0.17154491215467918,0.03671205143447668,-0.07614051868136223,0.07614051868136223,0.1348328607202025
SIP_R,R,superior protocerebrum,20,6,6.0,0.0113351905713117,0.2220110364057037,0.23902239118341645,0.5338492749653924,0.3159640566565069,-0.037397783163370224,0.037397783163370224,0.21788521830888546
SLP_R,R,superior protocerebrum,20,22,22.0,0.0215671447223606,0.23445830221881284,0.24227644936479925,0.6051320308192557,0.6210391152077185,0.22035749314756803,-0.22035749314756803,-0.015907084388462778
SMP_L,L,superior protocerebrum,20,22,22.0,0.0283202025188532,0.24160480958086725,0.2427275651451183,0.7646619407558888,0.42058019458984724,-0.08600250422563976,0.08600250422563976,0.34408174616604154
SMP_R,R,superior protocerebrum,20,21,21.0,0.0249790898738309,0.2506121847194128,0.24227345085254665,0.8791097168483264,0.43838631926894733,-0.14417048825917567,0.14417048825917567,0.44072339757937906
SPS_L,L,superior protocerebrum,20,15,15.0,0.0174081044878027,0.23065889250175475,0.23948938162087954,0.6011806572538361,0.2546094006446148,-0.143449172763363,0.143449172763363,0.3465712566092213
SPS_R,R,superior protocerebrum,20,12,12.0,0.0185531881136671,0.22413377682258914,0.23676279793152388,0.5132268588005604,0.14932551872907923,-0.1903464990504053,0.1903464990504053,0.36390134007148117
VES_L,L,inferior/ventrolateral protocerebrum,20,6,6.0,0.025619269144541303,0.2358400201201377,0.24882499508206274,0.6487564272548345,0.6685847072560994,0.23894381005334708,-0.23894381005334708,-0.01982828000126491
VES_R,R,inferior/ventrolateral protocerebrum,20,6,6.0,0.0197899974539006,0.2419365624304642,0.24402629904936216,0.7360488952465007,0.47243628239304164,-0.015152158042325559,0.015152158042325559,0.2636126128534591
WED_R,R,optic/lateral protocerebrum,20,1,1.0,0.012935449669569003,0.09813520323820675,0.21790895004509586,-1.426995080001869,-0.9395407518856365,0.008768854251793634,-0.008768854251793634,-0.48745432811623246
