,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,MB_L,LH_L,AME_L,AOTU_L,AVLP_L,ICL_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,MB_R,AL_R,LH_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,NO,PB
ATL_L,,0.22630498562480156,0.20229767898260187,0.21211057931921662,0.23064807638686563,0.23614267847301568,0.24014688411910656,0.22940085915995972,0.19836114572873914,0.22079402165895412,0.2458701802352782,0.216187174002477,0.19734881039102176,0.22872874074682473,0.22250408537306518,0.22091638441186986,0.22875812251098981,0.23084172188676386,0.2095590676984065,0.22901716801746516,0.20775205795344243,0.22451042498877644,0.22957802017586276,0.23126450159306824,0.23940946127204285,0.23492874151585505,0.22811713760641075,0.22888281392764503,0.23885303658726942,0.22054000781194957,0.21086119924278254,0.20601132995113983,0.22421745432337653,0.2169200996476513,0.21004711748666946,0.22400113620719334,0.22986114919891637,0.22655668578477503,0.23132669991767224,0.2113341199881181,0.22618685570349154
CRE_L,0.22630498562480156,,0.20915782599972577,0.2283713750407693,0.23353447681208736,0.25675776056185595,0.20249678068299995,0.2675100114731099,0.20305857895482263,0.24050452561647195,0.2776884706277868,0.23687987690506426,0.1985029594002946,0.2595377763694332,0.23943118635726396,0.2264016046066668,0.23299597752686677,0.24208908096841256,0.22949322103936542,0.22819734461005076,0.21025498230358092,0.22963063300678468,0.25215342755166725,0.2588144300541591,0.25104914987649635,0.26934273248560264,0.2496414350267841,0.2405816789876754,0.26653454427085665,0.23614937000790567,0.21063845965437022,0.21589909955739306,0.24471583197553914,0.23655412414335003,0.2215034061495047,0.24584556026051563,0.25582140439857165,0.23987599738800877,0.24870381130058267,0.22124601954810186,0.26309351989984703
EPA_L,0.20229767898260187,0.20915782599972577,,0.20536631677248804,0.21127013862977675,0.21585430948934023,0.21724954854617695,0.21215732926263278,0.19014400906006923,0.20711968635328065,0.21843348271938706,0.2021045559689721,0.19261482843597091,0.21282478931798438,0.2089347066343034,0.20903934475298155,0.2130824235504758,0.20817546799026046,0.20370917295247085,0.2178168004463931,0.20022162181374115,0.2081734626468069,0.2197647903271064,0.2211148390846856,0.22094994720784328,0.21354199205850694,0.21074553687258044,0.20397311482762687,0.21733709648925906,0.20471028572659938,0.19970748151449597,0.19507134430128859,0.20677015326566858,0.20964131349146045,0.2069185791952442,0.21229592296009145,0.20973914944987104,0.20901735438105673,0.20906565847375674,0.2027648215249734,0.21436495849746745
IB_L,0.21211057931921662,0.2283713750407693,0.20536631677248804,,0.23290063729050728,0.23619162242967423,0.24026309775542734,0.2382520336847851,0.19708770777585083,0.22797697359818545,0.25405687320560033,0.22062170906392575,0.19641914267677235,0.23441367488522338,0.22760871853834713,0.22816756932573012,0.23083662647036904,0.2212312167397057,0.21148322036337955,0.22448001689892266,0.20449032459583102,0.21164855032675836,0.23165820852163743,0.23530014032678337,0.24699251927218419,0.23982715897588394,0.2268735869312135,0.2337999350821005,0.24455698180445581,0.22560422464427482,0.2118192500284543,0.20863436187571247,0.22515091979561103,0.21741838905194616,0.21262467648304129,0.2222172320793936,0.2269233841734474,0.2264051352026132,0.22029611897802853,0.21408478083921567,0.24043044397335903
LAL_L,0.23064807638686563,0.23353447681208736,0.21127013862977675,0.23290063729050728,,0.23190959125014446,0.24153140262446157,0.2671889829133053,0.20467628213480368,0.2480541010972473,0.289160035864847,0.23399045535723745,0.1994831647745902,0.25589185578217677,0.2457860751666483,0.24655471916793448,0.25265497014478766,0.23899764888377745,0.23144700244069116,0.25689818944458576,0.2067184441438819,0.23175013611737433,0.2526091732378294,0.2525534069201101,0.27715744894237254,0.2802653394486113,0.25150417410018544,0.2426613248843402,0.2763184203400108,0.23656678564112013,0.21496866491997563,0.2208530724899623,0.24398676472789643,0.23815582149447528,0.2313793291524338,0.2511472387618084,0.2566389310756778,0.25848034675232184,0.24481634140238548,0.2211388640504312,0.2615470199706006
VES_L,0.23614267847301568,0.25675776056185595,0.21585430948934023,0.23619162242967423,0.23190959125014446,,0.2586337237597644,0.26083221400375245,0.19974030555731068,0.2500641106841338,0.2913548292058528,0.24162564046824145,0.2002131451960926,0.25183031757969154,0.25405894904192916,0.25729661099925094,0.272956136501737,0.24459698492052775,0.2360338498620386,0.2676906238645756,0.2134702849133266,0.24147375043092345,0.25998316723047965,0.2439066780088815,0.28610949960841436,0.2790919114896192,0.2642899815697196,0.25382421113541076,0.2811120738264405,0.2514967846053251,0.2151091365689636,0.21957069374593616,0.2576418696606088,0.24034390578962003,0.23572326724176623,0.26352481573731323,0.26533030247516565,0.2698668568782687,0.24852921760202645,0.22602412030357483,0.26694508484635493
MB_L,0.24014688411910656,0.20249678068299995,0.21724954854617695,0.24026309775542734,0.24153140262446157,0.2586337237597644,,0.270215682561521,0.20335842047076524,0.24177282461210522,0.30400809487370334,0.2383206697721124,0.20073829559270032,0.25473688462242183,0.2515806264228061,0.24889099143546023,0.25193307743646776,0.2581659380458645,0.239154969157967,0.25564197712133635,0.2181914785877898,0.24794234014335353,0.26172865244614024,0.2650677478454978,0.2618024269911472,0.28752668519844826,0.2574336004387578,0.2563330835725681,0.2900522757079732,0.24613305700021976,0.21917234985656187,0.21989961770587377,0.25736320265316237,0.2506575782581094,0.22637318568831272,0.2616874747172228,0.26501107509959515,0.26322311449806907,0.2630739753917698,0.23530880585909458,0.2741673195359281
LH_L,0.22940085915995972,0.2675100114731099,0.21215732926263278,0.2382520336847851,0.2671889829133053,0.26083221400375245,0.270215682561521,,0.19727940880611272,0.24213090150346323,0.2759382088997713,0.24373396632228492,0.20614112026648765,0.237420282845967,0.23164192618209506,0.25795372825598734,0.2595693636613522,0.24186263754467086,0.23284721842104972,0.25900685355371794,0.21585565382506675,0.2346254785960573,0.2598041876305894,0.2602757467927846,0.26792294359309626,0.27517569183411716,0.25635884227495764,0.2481491255609504,0.26852479553839126,0.2434747271884156,0.2075597554259332,0.21851941643319414,0.24513444333218168,0.2408482430129594,0.22058158385975823,0.25994207171589834,0.2594455508696208,0.25835495595484187,0.24570557380694039,0.21882904412777976,0.25231129297660776
AME_L,0.19836114572873914,0.20305857895482263,0.19014400906006923,0.19708770777585083,0.20467628213480368,0.19974030555731068,0.20335842047076524,0.19727940880611272,,0.20251446029747344,0.2002949209309301,0.20635895749232755,0.19004842132337751,0.20256364569128585,0.20398803808126362,0.20026320831143476,0.199727751977412,0.20785660773660952,0.19766359749766732,0.20315837588249314,0.19479443281473358,0.1976257439365766,0.20334063174111128,0.203258900718619,0.20111426794352957,0.2053870990874553,0.19594657865656973,0.19856131259050858,0.19827346330848192,0.2001833750339758,0.19225571446342543,0.19079994430940125,0.20436688075402,0.19908254872131,0.19855349342179485,0.19525420871931512,0.19804647704577086,0.20202734715030016,0.20134392313438462,0.19337665341757085,0.2010587849778618
AOTU_L,0.22079402165895412,0.24050452561647195,0.20711968635328065,0.22797697359818545,0.2480541010972473,0.2500641106841338,0.24177282461210522,0.24213090150346323,0.20251446029747344,,0.2523749355446428,0.2290841757694772,0.1953653615851521,0.24681453886815502,0.2385769140436289,0.23881391617228748,0.23001272720072957,0.24245074691946406,0.22558484820488073,0.24610827709036354,0.20604110008997717,0.23411927564030538,0.2446039324819122,0.2470008097238956,0.25658834444394285,0.25251570208913565,0.243987198658822,0.2300340561398691,0.2508174362197185,0.23565398623990105,0.2074082665539311,0.21082018399318686,0.24239959895461077,0.2312725011489297,0.21375276969371412,0.24055577853604998,0.24896049921106528,0.24328863469770007,0.2422249712789053,0.2174828120565651,0.24778807445337434
