,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,MB_L,LH_L,AME_L,AOTU_L,AVLP_L,ICL_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,MB_R,AL_R,LH_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,NO,PB
ATL_L,,0.20115571636719673,0.09669318035143906,0.21837822512837457,0.18161500062908173,0.14386912103914973,0.1854478457872518,0.13949183664117432,0.01638913813977988,0.11964581133961909,0.09864150648636999,0.22790714337960943,0.019525853066879123,0.1795995070096002,0.1430244391822623,0.2204889023424296,0.26999879389603326,0.16999781812506584,0.22914662079114373,0.16900081546825924,0.07973342605219205,0.19659495660596696,0.14194606832668547,0.12887919502830184,0.1479735445620169,0.11480938912028663,0.09760554199161353,0.10388201694665286,0.0990515577643252,0.18751758176557107,0.022651143963467235,0.02905423972740964,0.1237604256236712,0.11680007435114761,0.03856208448067412,0.1892897337182871,0.1364459039396842,0.23711829776544788,0.13360705295205816,0.10234697643221788,0.20046994614380392
CRE_L,0.20115571636719673,,0.12316116789008166,0.269389346683512,0.4490094464510876,0.35636677219994983,0.5907315843716769,0.31336599860473807,0.04306875838807743,0.2586180679308188,0.19917279491272596,0.29025076223867086,0.05847797336577978,0.27354404421482764,0.2423003413710932,0.38233358890914254,0.41012043015030564,0.2502708898587051,0.17722067896125931,0.41776730453931404,0.11127058237989469,0.23875538111588873,0.29218820791535133,0.26701004188124394,0.36018875767089037,0.22557194520990054,0.1808459000031612,0.21065376989885737,0.14203504362668676,0.23264809719305507,0.02433084368017055,0.03232536886300987,0.20436586345089885,0.17971822623396908,0.09314557756319707,0.2730811483955555,0.24193795523078196,0.34455979149343496,0.19126035179540685,0.1350223183039974,0.1350087951466123
EPA_L,0.09669318035143906,0.12316116789008166,,0.15095025470869933,0.20201215055320204,0.18617237540546464,0.15236443286970328,0.10736299750385994,0.03460416179667696,0.12291417545163263,0.15067702546889478,0.2139630151551477,0.011412374241329954,0.16524164791850765,0.15461826192893652,0.12361594310896588,0.17018405148591423,0.2123564798160024,0.08336648271301633,0.10741434176884541,0.10576561696125322,0.14284902269294641,0.15605678963814834,0.15238259990148934,0.10888730167507536,0.09926025989905851,0.07509438272343891,0.07929189041130298,0.09665772478997421,0.15673476999635025,0.031615094776365704,0.03398453153541714,0.12485188853441884,0.13703384294741566,0.07119164802921282,0.1208124729079649,0.12317021507596213,0.15699413082453217,0.17356241172041084,0.04520302482527183,0.08675388366108272
IB_L,0.21837822512837457,0.269389346683512,0.15095025470869933,,0.2716251864445124,0.2548815501252517,0.2668959337322977,0.19903762670514974,0.058231234374846993,0.16221436553458332,0.15657245597921776,0.2772080904146709,0.0363797955449698,0.279615455537694,0.23836546210426893,0.22740894512601278,0.27087495398395756,0.3169067833529081,0.21163331801985272,0.23990307625351304,0.1405920999797756,0.31878096518627985,0.2452583441771729,0.24902074449020706,0.2272316282786333,0.17984897782636342,0.15733577151017927,0.1466783293225338,0.13392883982355067,0.25337960414381994,0.05088997738502286,0.0562485661337264,0.22025954588041458,0.20271081252795037,0.10287453451710835,0.21861234298233856,0.22032486701781165,0.27761864641919753,0.27364488028851147,0.13508684424857287,0.17221370514783213
LAL_L,0.18161500062908173,0.4490094464510876,0.20201215055320204,0.2716251864445124,,0.5029182718692011,0.4894141353133509,0.3457775114675571,0.07878936742897673,0.25495260971308653,0.22467950513999405,0.3244031911014444,0.04795980452507111,0.32766562468305216,0.2738170503639846,0.3070538248528593,0.3314700696435132,0.34839528978374446,0.15484310055708683,0.3108912989172762,0.15180369588704667,0.25126290840483356,0.3699430269136871,0.3562812735458603,0.3035883346117797,0.2478783041391091,0.19866890109390167,0.18449636072844242,0.1324099467216623,0.24944202156060732,0.05689887986872004,0.04685024062415449,0.23455611562744566,0.20375726610415187,0.14914269886112846,0.23538615288629394,0.23557097158293744,0.28815345286497884,0.2749049568839428,0.16770859802825971,0.1783525293347796
VES_L,0.14386912103914973,0.35636677219994983,0.18617237540546464,0.2548815501252517,0.5029182718692011,,0.4404954700729332,0.36469595429904067,0.07705619774891818,0.2239902326127809,0.20361335041518158,0.28957143980387484,0.047798754065814145,0.35449647604133044,0.2739900965353483,0.24562093347478062,0.25766840590015544,0.36441706093127113,0.11866479891022308,0.26182551035968954,0.15634346736523047,0.22568521733892383,0.3493612667154719,0.40731721905872675,0.2733525681208385,0.2688820838414305,0.19752703574925318,0.166407053778951,0.14580016012146418,0.22210322878298946,0.06999576222363842,0.06012842045972559,0.23225933311357463,0.23338151716699967,0.16390748372622385,0.18116595665900914,0.21217572277103117,0.21960475653270617,0.2861029974233563,0.14354125518239427,0.16117173793905198
MB_L,0.1854478457872518,0.5907315843716769,0.15236443286970328,0.2668959337322977,0.4894141353133509,0.4404954700729332,,0.37182650257697736,0.06775560035748704,0.3124744009558072,0.20319873474853994,0.34617804771469424,0.046783949222649036,0.361931134506632,0.26663705637012913,0.354991828999382,0.42034918432184815,0.29265880731358435,0.1592978696988207,0.38514338213136656,0.1263998806612396,0.23657883392280438,0.33694415853020543,0.3128706976385006,0.46926496670367557,0.2908097280704546,0.22903765984,0.21918816377563935,0.13627742060533876,0.2640151909368077,0.04827308196635012,0.04661512668004676,0.24347835827421313,0.22616610250103147,0.13769221136042076,0.27779175236929904,0.28258652927545264,0.3343301157321524,0.234422171303785,0.11373584228153197,0.1721215669764004
LH_L,0.13949183664117432,0.31336599860473807,0.10736299750385994,0.19903762670514974,0.3457775114675571,0.36469595429904067,0.37182650257697736,,0.08250119221623918,0.23225252020506298,0.2124431291351121,0.23099211692741545,0.046205484270635255,0.3836221650181621,0.30860846787798774,0.2545279960412552,0.277368912211117,0.2545465909950007,0.12094090935942389,0.20644489945797248,0.0897024874466767,0.19326084229274357,0.2165736649390233,0.22099250211345983,0.23602156008317046,0.19409516940269153,0.19290777637500625,0.13954883667131449,0.1259637168201972,0.18002558329464408,0.05569348996893451,0.05075541168973604,0.21506997232132172,0.18678511913082446,0.08231095261524213,0.1789230195000958,0.22399703067527826,0.20896357782517855,0.20846215081878855,0.09841334730911575,0.1339635806865493
AME_L,0.01638913813977988,0.04306875838807743,0.03460416179667696,0.058231234374846993,0.07878936742897673,0.07705619774891818,0.06775560035748704,0.08250119221623918,,0.07003125366364693,0.07517052540579529,0.06731438622452535,0.03505629896364506,0.1127081753703348,0.10930046061703225,0.04240158222399952,0.05602450517116884,0.09246156764582925,0.018505050996022718,0.03946292362215448,0.03698586720218457,0.0666541702190675,0.07325751187700921,0.07337496244062548,0.05416737647482726,0.04013107038560791,0.04321449845931245,0.03903705335053612,0.04512595854175397,0.0524496961012748,0.026618759387319623,0.009826400085077363,0.06677088732923346,0.06033539907055772,0.042251144264740005,0.02928923051296932,0.044984730313128114,0.03243832482101795,0.0900361770628861,0.05674236428827239,0.04994686809437549
AOTU_L,0.11964581133961909,0.2586180679308188,0.12291417545163263,0.16221436553458332,0.25495260971308653,0.2239902326127809,0.3124744009558072,0.23225252020506298,0.07003125366364693,,0.23208142432646128,0.24664523292114401,0.029505830356703594,0.2641189467149863,0.2418783977924786,0.2064778890164723,0.28607904254673555,0.22983583771501706,0.10404331842923478,0.2079599806165922,0.10770940066337822,0.15852910055672814,0.22420415817234582,0.18688607495721804,0.22042341913856203,0.16633924095147323,0.1324861382412756,0.1892929626649374,0.15098899641328953,0.192219819320556,0.03949418591976751,0.043925898431907105,0.17633019355543084,0.17994449696103282,0.09682628740969505,0.20115693014713848,0.1827503808790622,0.24116220449130701,0.19190920199485798,0.09148763989188427,0.11462623809616254
AVLP_L,0.09864150648636999,0.19917279491272596,0.15067702546889478,0.15657245597921776,0.22467950513999405,0.20361335041518158,0.20319873474853994,0.2124431291351121,0.07517052540579529,0.23208142432646128,,0.21771875055687895,0.03858337507707518,0.2665733508832426,0.35732793019683445,0.17690939956574686,0.21285583144041947,0.21471743335853719,0.09014394335282631,0.1378432918082313,0.09986898554446969,0.15563757672387096,0.13839307217865768,0.1303946079271892,0.15482124774398934,0.1392253355603407,0.10897841202045529,0.1199796526826347,0.4705849811221118,0.18508751605737997,0.03167885607095639,0.05857917748312985,0.1693248451605415,0.1996549476140801,0.03632271523833269,0.17114740835472453,0.15711246729231712,0.20466549093147196,0.1635270508576224,0.05195322740478059,0.07207905441217723
ICL_L,0.22790714337960943,0.29025076223867086,0.2139630151551477,0.2772080904146709,0.3244031911014444,0.28957143980387484,0.34617804771469424,0.23099211692741545,0.06731438622452535,0.24664523292114401,0.21771875055687895,,0.034513705795480354,0.3266132091566984,0.28293595785115266,0.2621134527547454,0.34485715512592835,0.31473251660416607,0.1916953540952358,0.23267371671331719,0.13236170075051495,0.2625572980435463,0.25150465646280673,0.2242915378134427,0.24339575357505247,0.1828159987655617,0.15723384312718108,0.16238525726298575,0.15710536145207438,0.2876333024592715,0.06223901343410314,0.06801081711232557,0.22423397584712554,0.22359791290989697,0.10280435197898279,0.2231932621174036,0.19219919336170505,0.2845943213342169,0.24936948111902674,0.09464731505796214,0.19804647577430057
