,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,MB_L,LH_L,AME_L,AOTU_L,AVLP_L,ICL_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,MB_R,AL_R,LH_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,NO,PB
ATL_L,0,20,20,20,20,20,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
CRE_L,20,0,20,20,20,20,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
EPA_L,20,20,0,20,20,20,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
IB_L,20,20,20,0,20,20,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
LAL_L,20,20,20,20,0,20,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
VES_L,20,20,20,20,20,0,20,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
MB_L,20,20,20,20,20,20,0,20,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
LH_L,20,20,20,20,20,20,20,0,19,20,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
AME_L,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,19,19
AOTU_L,20,20,20,20,20,20,20,20,19,0,20,20,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,20,20,20,20
