roi,label,side_key,side,big_group,mean_FCV_excl_same_side_key_z,weighted_mean_PostDCA_positive,binary_mean_PostDCA_positive
250,AL_R_250,AL_R,R,olfactory system,0.2799716320456816,0.0669363001194896,0.04987524457539265
251,AL_R_251,AL_R,R,olfactory system,0.7339432642182547,0.0669363001194896,0.04987524457539265
252,AL_R_252,AL_R,R,olfactory system,0.2891453012984399,0.0669363001194896,0.04987524457539265
253,AL_R_253,AL_R,R,olfactory system,0.8614307484219674,0.0669363001194896,0.04987524457539265
254,AL_R_254,AL_R,R,olfactory system,0.2947800735515576,0.0669363001194896,0.04987524457539265
255,AL_R_255,AL_R,R,olfactory system,-1.1363105180175757,0.0669363001194896,0.04987524457539265
256,AL_R_256,AL_R,R,olfactory system,0.4081500446618482,0.0669363001194896,0.04987524457539265
257,AL_R_257,AL_R,R,olfactory system,1.1259645110351146,0.0669363001194896,0.04987524457539265
258,AL_R_258,AL_R,R,olfactory system,-0.1052017213591505,0.0669363001194896,0.04987524457539265
259,AL_R_259,AL_R,R,olfactory system,1.4925162067276554,0.0669363001194896,0.04987524457539265
260,AL_R_260,AL_R,R,olfactory system,0.7699873488586482,0.0669363001194896,0.04987524457539265
261,AL_R_261,AL_R,R,olfactory system,0.047417451346838,0.0669363001194896,0.04987524457539265
262,AL_R_262,AL_R,R,olfactory system,2.21475170391373,0.0669363001194896,0.04987524457539265
263,AL_R_263,AL_R,R,olfactory system,0.9186117162853644,0.0669363001194896,0.04987524457539265
264,AL_R_264,AL_R,R,olfactory system,0.5199049639387409,0.0669363001194896,0.04987524457539265
265,AL_R_265,AL_R,R,olfactory system,2.5045818439388325,0.0669363001194896,0.04987524457539265
266,AL_R_266,AL_R,R,olfactory system,0.5672906048601761,0.0669363001194896,0.04987524457539265
267,AL_R_267,AL_R,R,olfactory system,1.2609075387956945,0.0669363001194896,0.04987524457539265
268,AL_R_268,AL_R,R,olfactory system,1.2309166723489688,0.0669363001194896,0.04987524457539265
269,AL_R_269,AL_R,R,olfactory system,1.7715141286759155,0.0669363001194896,0.04987524457539265
270,AL_R_270,AL_R,R,olfactory system,0.0177411577027437,0.0669363001194896,0.04987524457539265
271,AL_R_271,AL_R,R,olfactory system,2.046671664826456,0.0669363001194896,0.04987524457539265
272,AL_R_272,AL_R,R,olfactory system,0.90150741350803,0.0669363001194896,0.04987524457539265
158,ATL_R_158,ATL_R,R,inferior/ventrolateral protocerebrum,0.8580235863872863,0.0076843012696145,0.01248101921145336
188,AVLP_R_188,AVLP_R,R,optic/lateral protocerebrum,-0.3366495305020769,0.0220640996038256,0.01210526524760779
189,AVLP_R_189,AVLP_R,R,optic/lateral protocerebrum,-0.5641762030437754,0.0220640996038256,0.01210526524760779
190,AVLP_R_190,AVLP_R,R,optic/lateral protocerebrum,-1.1442740696006266,0.0220640996038256,0.01210526524760779
191,AVLP_R_191,AVLP_R,R,optic/lateral protocerebrum,-0.4264346982070711,0.0220640996038256,0.01210526524760779
192,AVLP_R_192,AVLP_R,R,optic/lateral protocerebrum,-0.4002893075983649,0.0220640996038256,0.01210526524760779
193,AVLP_R_193,AVLP_R,R,optic/lateral protocerebrum,-0.0684074658237171,0.0220640996038256,0.01210526524760779
194,AVLP_R_194,AVLP_R,R,optic/lateral protocerebrum,-0.0956842980914792,0.0220640996038256,0.01210526524760779
195,AVLP_R_195,AVLP_R,R,optic/lateral protocerebrum,-1.1130391719442407,0.0220640996038256,0.01210526524760779
196,AVLP_R_196,AVLP_R,R,optic/lateral protocerebrum,0.1545188395274356,0.0220640996038256,0.01210526524760779
197,AVLP_R_197,AVLP_R,R,optic/lateral protocerebrum,-0.1774619611198513,0.0220640996038256,0.01210526524760779
198,AVLP_R_198,AVLP_R,R,optic/lateral protocerebrum,-1.2612428859658824,0.0220640996038256,0.01210526524760779
199,AVLP_R_199,AVLP_R,R,optic/lateral protocerebrum,-0.4911658814750876,0.0220640996038256,0.01210526524760779
200,AVLP_R_200,AVLP_R,R,optic/lateral protocerebrum,-0.6692889349295363,0.0220640996038256,0.01210526524760779
201,AVLP_R_201,AVLP_R,R,optic/lateral protocerebrum,-0.7231006778111969,0.0220640996038256,0.01210526524760779
202,AVLP_R_202,AVLP_R,R,optic/lateral protocerebrum,-1.1506370270807875,0.0220640996038256,0.01210526524760779
