atlas_region,base_region,side,n_rois_total,n_rois_present,window_frames,overlap_window_frames,step_frames,n_windows,FCS,FCV,FCS_z,FCV_z
AL_R,AL,R,23,23,30,22,8,247,0.17048251947432216,0.24257868681515005,-0.06048586007049008,-0.4563304644629212
AME_R,AME,R,1,1,30,22,8,247,0.05350334114703138,0.21153505703898878,-2.438186440193058,-3.172871999471114
AMMC_R,AMMC,R,4,4,30,22,8,247,0.19340907032352556,0.2500604643201985,0.40551564578589794,0.19837903615615868
ATL_R,ATL,R,1,1,30,22,8,247,0.13674812874472225,0.2536290852999449,-0.7461658379502658,0.5106591137141956
AVLP_R,AVLP,R,28,28,30,22,8,247,0.2335060127486268,0.24870064834856942,1.2205198596004376,0.07938532976507731
CRE_R,CRE,R,8,8,30,22,8,247,0.20603488816918267,0.2448521681165819,0.6621460551066748,-0.25738445109605934
EPA_R,EPA,R,1,1,30,22,8,247,0.147459769812608,0.239300824926152,-0.5284426880242347,-0.743167024223771
GA_R,GA,R,1,1,30,22,8,247,0.13178905699966798,0.2442936334768019,-0.8469631587529043,-0.30626026100113324
GOR_R,GOR,R,1,1,30,22,8,247,0.16683859416029298,0.24004337097411785,-0.13455171911464772,-0.6781888887576543
IB_R,IB,R,4,4,30,22,8,247,0.17915683956591436,0.25090014049969306,0.11582702063928904,0.2718567587678854
ICL_R,ICL,R,8,8,30,22,8,247,0.21636966317723877,0.24982609307069986,0.8722090841300068,0.17786986121541842
IPS_R,IPS,R,11,11,30,22,8,247,0.22190068304613286,0.26077105828616987,0.9846317335193198,1.1356332677960506
IVLP_R,IVLP,R,5,5,30,22,8,247,0.17049134823869233,0.24864618098278507,-0.06030640797940103,0.0746190423649714
LAL_R,LAL,R,9,9,30,22,8,247,0.23199020200453802,0.23824317702384668,1.1897097262321548,-0.8357188448949817
LB_R,LB,R,1,1,30,22,8,247,0.13737739179004624,0.24544547633925629,-0.7333755351860389,-0.20546570185254925
LH_R,LH,R,14,14,30,22,8,247,0.11065216245250971,0.2592665362203839,-1.2765883890323937,1.0039767343457529
LO_R,LO,R,40,28,30,22,8,247,0.09762247758648782,0.2469512488820001,-1.5414277365791427,-0.07369974264826847
LOP_R,LOP,R,24,1,30,22,8,247,0.019361248383822933,0.1932039915219225,-3.1321533061813818,-4.776972461212438
MB_R,MB,R,16,16,30,22,8,247,0.22081989515001363,0.23845118612509983,0.9626638068819634,-0.8175165480859972
ME_R,ME,R,129,24,30,22,8,247,0.13361371077457926,0.24644600310828838,-0.809875529987117,-0.11791239237936449
OTU_R,OTU,R,3,3,30,22,8,247,0.1644954087724176,0.25246037833961715,-0.18217894077710492,0.4083888243544947
PLP_R,PLP,R,15,15,30,22,8,247,0.18860826356610086,0.2550199286705455,0.30793519450038914,0.6323679413278017
PVLP_R,PVLP,R,17,17,30,22,8,247,0.18465157197625576,0.250920021682509,0.22751209679133322,0.27359650567486704
SCL_R,SCL,R,6,6,30,22,8,247,0.18254183107329303,0.2482009038168488,0.1846298314120379,0.035654078390769596
SIP_R,SIP,R,6,6,30,22,8,247,0.20365263761962762,0.2583160683114294,0.6137248010453196,0.9208039362230891
SLP_R,SLP,R,22,22,30,22,8,247,0.1423248881282819,0.2729375603113915,-0.632813494301599,2.200289956642917
SMP_R,SMP,R,21,21,30,22,8,247,0.1902041473074398,0.25142189827437067,0.340372879153749,0.3175143276908854
SPS_R,SPS,R,12,12,30,22,8,247,0.2308297838015663,0.2514368688397143,1.1661232463658746,0.318824360146874
VES_R,VES,R,6,6,30,22,8,247,0.19853184461864218,0.24526929235752767,0.5096403591537481,-0.2208830711363573
WED_R,WED,R,1,1,30,22,8,247,0.08629223694209409,0.24310596590734243,-1.771724445261172,-0.41018974043000017
AL_L,AL,L,22,22,30,22,8,247,0.17080190587051325,0.24465767074084557,-0.05399406186874436,-0.27440437445706845
AME_L,AME,L,1,1,30,22,8,247,0.09002655279513781,0.24261925131945694,-1.695821322183144,-0.45278077772875847
AMMC_L,AMMC,L,4,4,30,22,8,247,0.20200606862134918,0.24980365023434103,0.5802568957445594,0.1759059511452448
ATL_L,ATL,L,1,1,30,22,8,247,0.13337814895557076,0.2603448424193249,-0.8146635228737157,1.098336304988787
AVLP_L,AVLP,L,34,34,30,22,8,247,0.17136054979216137,0.2699028871167407,-0.04263915242607144,1.9347341618506675
CRE_L,CRE,L,10,10,30,22,8,247,0.21022196183469924,0.24843265613845134,0.7472518630450784,0.055934078249268195
EPA_L,EPA,L,1,1,30,22,8,247,0.14404486682903916,0.24338687593901115,-0.597853474808669,-0.385608086347315
GA_L,GA,L,1,1,30,22,8,247,0.11538993812424381,0.2492346049853312,-1.1802890977888283,0.1261103871155079
GOR_L,GOR,L,1,1,30,22,8,247,0.1488161258553905,0.24832586303976195,-0.5008736061081898,0.046588911774414876
IB_L,IB,L,3,3,30,22,8,247,0.15570651165529262,0.2642884005438698,-0.36082069628301094,1.4434260872819602
ICL_L,ICL,L,8,8,30,22,8,247,0.22261683559132323,0.2508632148823328,0.9991881387403515,0.26862550089024056
IPS_L,IPS,L,8,8,30,22,8,247,0.1961721689420359,0.25336322988098425,0.46167795844795567,0.4873948468381573
IVLP_L,IVLP,L,7,7,30,22,8,247,0.2076476070275818,0.2530608896619156,0.6949259277303454,0.4609378967738255
LAL_L,LAL,L,5,5,30,22,8,247,0.2396324892747189,0.23456403130872178,1.345045668368219,-1.1576706340558978
LB_L,LB,L,1,1,30,22,8,247,0.1478809918920635,0.24542226071613082,-0.519880993567127,-0.20749723633921036
