,AL_R,AME_R,AMMC_R,ATL_R,AVLP_R,CRE_R,EPA_R,GA_R,GOR_R,IB_R,ICL_R,IPS_R,IVLP_R,LAL_R,LB_R,LH_R,LO_R,LOP_R,MB_R,ME_R,OTU_R,PLP_R,PVLP_R,SCL_R,SIP_R,SLP_R,SMP_R,SPS_R,VES_R,WED_R,AL_L,AME_L,AMMC_L,ATL_L,AVLP_L,CRE_L,EPA_L,GA_L,GOR_L,IB_L,ICL_L,IPS_L,IVLP_L,LAL_L,LB_L,LH_L,LO_L,MB_L,ME_L,OTU_L,PLP_L,PVLP_L,SCL_L,SIP_L,SLP_L,SMP_L,SPS_L,VES_L,WED_L,EB,FB,FLA,NO,PB,PRW,SAD,SOG
AL_R,,0.21737956607136064,0.15523631846540473,0.24801376824603835,0.13421256793725303,0.1462437393515824,0.23802571157948096,0.18748562637251653,0.24236399071639556,0.24385528603393752,0.24689402162056232,0.18681568933985707,0.08263969916585354,0.13039117950039977,0.21858081656976702,0.2451919647327866,0.22238746031132914,0.21080980364586865,0.11898721132081808,0.19977563093026207,0.2660158373713214,0.22916726935283283,0.24520103649313732,0.2414598370981419,0.2636537247431967,0.27072743559267665,0.27276837180410796,0.24284720657229877,0.19428970050462605,0.24520102485280254,0.302498684175767,0.2341704110065691,0.32219128513094597,0.2536428299078019,0.3366715866943079,0.2865987669673137,0.2603306784298787,0.25116440653652644,0.2675521797131579,0.2562277662454423,0.26081345163880454,0.26327229951646575,0.31645426584425806,0.2818739622090216,0.2606136960831954,0.2594574416035305,0.22110410238519293,0.28920161639223013,0.24730731686896978,0.2610943024588963,0.264991789639585,0.308341761919658,0.2694903596020742,0.2717699042200578,0.27481522082317483,0.2584818614943573,0.2702476472544786,0.2673706282411658,0.2338256151176283,0.2316345028681304,0.2526159622424201,0.24137030887547745,0.22345151435438046,0.24571722327513845,0.2612302647838033,0.2869082961073382,0.26906792287614345
AME_R,0.21737956607136064,,0.2374290459888595,0.2176877776046842,0.20661303969297842,0.21185200495948145,0.218374260648055,0.2098874507719642,0.21233276721003636,0.21887924746976536,0.22461582991227286,0.21431425275112598,0.238237683424399,0.20935695388355607,0.2177969836099634,0.21702174574056793,0.21010377405374497,0.19433292966010823,0.21364467818331412,0.21588801910575997,0.22243062776160696,0.2048648465076265,0.21536490318326673,0.20794632189516216,0.20274433651698598,0.21425735521998318,0.2082780384470221,0.20972173173433267,0.22743378711588835,0.20288829051496002,0.21554300706206903,0.20890676126581856,0.21673827401433174,0.2305033118680803,0.22034876244636825,0.1889285378949769,0.2005890412356858,0.2041477924275298,0.2224137763910792,0.20829248263751862,0.20514339241211269,0.20666193708842653,0.20564803636810958,0.1978763005239839,0.21103195325665425,0.21254164879571347,0.2047446826703947,0.2021626758416088,0.1920508543673464,0.2178105595740359,0.20700055524198369,0.22591420482563426,0.20399360262928443,0.20210477292801668,0.19884140117125693,0.2089321181797246,0.20405391163658818,0.21150511013857728,0.18932908064981746,0.20524347402205323,0.21312509587401834,0.22315563178164702,0.2044816105877304,0.23072809775755976,0.2038265272415311,0.22462118800414851,0.21069534412301047
AMMC_R,0.15523631846540473,0.2374290459888595,,0.2685815940307671,0.18846327952296268,0.207651272682832,0.24582999909471717,0.2532699886609422,0.24873801264448306,0.2521315672743861,0.25910877116778297,0.20854341687968928,0.15684453316795785,0.1820373770154074,0.2340302730864959,0.2567301822235343,0.23283597797328273,0.1949978972483505,0.18824955552640024,0.20321710067985974,0.26952266988073736,0.23943023975136038,0.24361060941954257,0.2543098695558757,0.2581761448409379,0.2818546601037322,0.2631215063738965,0.2303397059884677,0.18271541756824844,0.24903428552501514,0.27989326322786623,0.24575834199948515,0.29497959091230136,0.2755435538122041,0.3256127741443769,0.28972062581302743,0.2568059246943899,0.26979653544733095,0.2785085332514323,0.282323180505113,0.265913727796279,0.26729502868164867,0.2999656337174464,0.2784373291741814,0.26072154179303925,0.257147568664401,0.2257542925747307,0.2859023262535354,0.23297016452444555,0.2607558654993452,0.27152983681213416,0.29775823946145863,0.26586328724276126,0.265873368219726,0.2854922068061075,0.2640220879401343,0.27019036219611386,0.22956365635969786,0.24126206647040024,0.2534737215467981,0.26155410926637224,0.2389003979236516,0.2374658989009136,0.25243272211030704,0.2629004983260692,0.2736842182861987,0.2521768924357493
ATL_R,0.24801376824603835,0.2176877776046842,0.2685815940307671,,0.2500471324406703,0.2704503550450583,0.2360620482221339,0.2667953172882607,0.24236033588408154,0.22962689717806387,0.24681458459007713,0.27166047871439075,0.2571405126885697,0.27357094732740633,0.2687749330013871,0.2653639206066344,0.2627633090015295,0.17584341027822523,0.269554637625047,0.24777734651332647,0.25863528538943537,0.2560545519866474,0.25162467688504003,0.24153269137187103,0.2534557772019955,0.27295100870083927,0.2898639714989963,0.25402420220328314,0.2597783892426681,0.25101664988692096,0.24701647030171472,0.24268615908733523,0.25912079220115625,0.22553394163115936,0.2547737633731626,0.2713865141206723,0.24379474731967288,0.2724673535552491,0.25349449015318953,0.23407751429132131,0.2376128770909173,0.2549666967612527,0.2564982290100665,0.2508472386656237,0.25302230555261657,0.2732439519774163,0.2501032345408199,0.2809573254139776,0.24030464078187033,0.24420075886064882,0.22377443110283035,0.2546797007462673,0.23111233231621425,0.2419795936817355,0.3014117437267117,0.250617234333284,0.2625204416805262,0.2575137311135761,0.2535298895920317,0.26189800843288774,0.2575774677408956,0.25586316517312824,0.24511811719058077,0.24986761111168684,0.2715609783414657,0.259478730263707,0.2570809379049365
AVLP_R,0.13421256793725303,0.20661303969297842,0.18846327952296268,0.2500471324406703,,0.19635870788132465,0.2579897972995655,0.20664986843665914,0.247979655150343,0.2516616473328026,0.2415145672029215,0.19890511326581167,0.1546716533526229,0.158478396722509,0.19872944935520284,0.2589708564398838,0.2274414218446872,0.20422481665071296,0.15859471207997033,0.21450845176447575,0.23129392075017857,0.23981517556354068,0.2133833921613275,0.23452001875497255,0.22486996191801406,0.28772369935945075,0.26900717463264423,0.23713387639938355,0.23142915578784956,0.2746130576544467,0.3039218547280218,0.2529381063479851,0.3059518694917975,0.2631129004684252,0.32039939312678184,0.3013865501701829,0.2689128306455691,0.2821139932673342,0.2763019924781917,0.28666127462917806,0.24535163104170454,0.2510311766195335,0.29969704524229485,0.28535868184513435,0.25302955741166533,0.2663619931216109,0.2578395778434353,0.309532536847633,0.25511459474450326,0.2553810182890372,0.28282014115186066,0.30307828295786443,0.26215256594172537,0.26318281879216326,0.2508083775650159,0.2477363589103206,0.2721896034006713,0.24978810960501044,0.2526462360768203,0.2684072889842294,0.26187614871697645,0.23916371469686554,0.22549585466505395,0.2613893860429338,0.26811195608592436,0.2861709038567193,0.27902189784024223
CRE_R,0.1462437393515824,0.21185200495948145,0.207651272682832,0.2704503550450583,0.19635870788132465,,0.23441588476989336,0.16196925195285566,0.22574838579591716,0.24809126163151707,0.25938814507295305,0.21480064004821023,0.18837231895889286,0.11971392798960334,0.2504089192568753,0.2644266346519436,0.22298451229885255,0.2011716659284501,0.0721790348772145,0.20700104857322946,0.2690575955052965,0.24545345930417553,0.2524418934539602,0.27128621477170195,0.27552054736443105,0.2642969600654816,0.258427470224424,0.24641262397665536,0.24233158906549163,0.24018645278000023,0.2739508958103033,0.24093927080195943,0.29642325508777995,0.26106952375926357,0.3167846804209276,0.2681668262807835,0.25460821908239994,0.27033160461224254,0.26614070917179455,0.25226108372296835,0.2740073748226242,0.25675993674952796,0.292397005506683,0.2638919061229151,0.2658913581676332,0.24207318621762308,0.23333434107371323,0.2691702675050928,0.24503742558143815,0.275506090930019,0.2679289594098,0.29617491249104405,0.26078653829912296,0.2592144004126888,0.28748835542376916,0.26834749587572654,0.2634670941578378,0.26768642637331064,0.23676791684455933,0.19447131094855236,0.23196023656816778,0.2461839518759435,0.2595656356309172,0.23640047375594755,0.25619429301509156,0.2829914112864346,0.2572262036594934
EPA_R,0.23802571157948096,0.218374260648055,0.24582999909471717,0.2360620482221339,0.2579897972995655,0.23441588476989336,,0.24752603767514997,0.22381318195320177,0.23599089435138246,0.22278901834292159,0.23736589312269898,0.24964327894129687,0.23349439882737358,0.23456233344237,0.2454591530651943,0.2308751619829017,0.2068226009404543,0.21846954137433502,0.2421830533234749,0.25818417246486586,0.25245721219762635,0.24206539315105813,0.24164095971512375,0.23986675328955515,0.27261735550224636,0.2218449927744775,0.2417301876827226,0.22608768579557445,0.24131158929221708,0.2528573261997853,0.22051310291432846,0.25249345908422427,0.2286877498090084,0.24439198945495208,0.2615687099170941,0.2312637788327533,0.2479742208796814,0.25883220291632597,0.24895666647313816,0.23630226448009364,0.23536487869392242,0.24111109005690612,0.2509631583314034,0.23941481195530237,0.233108639437476,0.23559349302821686,0.2589500519610817,0.20772851161910008,0.25995282738811937,0.247232686566025,0.25246746467742126,0.22657469411687525,0.24496574223740217,0.2580850551920582,0.20256910084070698,0.2415964579006074,0.21553684576299717,0.22948547804303573,0.26038844354654,0.19916844038453357,0.2487176991054991,0.2391843862709471,0.2382705150566875,0.26081921127309055,0.24607639212387045,0.23918834777275574
GA_R,0.18748562637251653,0.2098874507719642,0.2532699886609422,0.2667953172882607,0.20664986843665914,0.16196925195285566,0.24752603767514997,,0.2415565109553961,0.24711276979894992,0.2517543525513841,0.2294665309387523,0.21697375137246275,0.19705021220118552,0.22801976095563525,0.23533299752992654,0.2166567623606257,0.19162589055396353,0.17895903162943252,0.2510121019802051,0.2579885538171735,0.22986992942545656,0.23743934148061374,0.25360109336222003,0.25019711972941583,0.23432591304567374,0.24961919058452295,0.26980344545095025,0.28328223924951723,0.2428393683875426,0.238589157358342,0.22195270913584303,0.25813866187996193,0.27550090040789166,0.28384814069514075,0.26933010927513756,0.2446139897562984,0.25166119700737505,0.252280151826403,0.2608051156072198,0.26578820425306415,0.2546682869232112,0.26514184138708435,0.25227564982653555,0.24728203400517432,0.26257396788042897,0.2399809251823347,0.2609266239586468,0.227012396972528,0.24192152234680664,0.2722830937764567,0.2688530189869887,0.24549252433512717,0.2434593003018227,0.25542649923797733,0.2593848818523076,0.24624786106166113,0.26845382312301097,0.2378140891537154,0.23384677194836345,0.2685389040163736,0.23399676232880898,0.2851173737658071,0.2592635863305147,0.23895916332460546,0.2521259959021817,0.25175416581842436
GOR_R,0.24236399071639556,0.21233276721003636,0.24873801264448306,0.24236033588408154,0.247979655150343,0.22574838579591716,0.22381318195320177,0.2415565109553961,,0.22395600296203458,0.20784067000499826,0.2434985792826488,0.23547571105472423,0.22911599347011535,0.22206772970244495,0.24200987617427408,0.21961302379819206,0.1780406465397492,0.22683117518753237,0.24240192138639258,0.24281954054306526,0.23485557329793547,0.24056149191760035,0.22982406529014116,0.24207490044426483,0.24674044767488268,0.21640673025999857,0.24594519838852477,0.25219257303654896,0.22987171942476556,0.2616964316680733,0.2400025441862327,0.27103322582333483,0.26812633388437396,0.24663529634826967,0.25794695399866224,0.23028198993358223,0.26030582902717253,0.2329142110192802,0.24254948815433702,0.23330436104882377,0.27099054373060266,0.2639837515418767,0.2552354864079599,0.2603772217589054,0.23589548357212584,0.24284000364947905,0.2490485956709079,0.26022399725928774,0.24943385043794622,0.22439447099026838,0.23519873469956956,0.23323339920893388,0.24400841400401477,0.2654067217754618,0.19607640185415515,0.25360970065550875,0.25827905870241025,0.23098442682317571,0.23801893168043772,0.19996273622203,0.2773498078986837,0.22204615750662415,0.23534651950785127,0.2571075958125701,0.25441183647951165,0.24756556119864762
IB_R,0.24385528603393752,0.21887924746976536,0.2521315672743861,0.22962689717806387,0.2516616473328026,0.24809126163151707,0.23599089435138246,0.24711276979894992,0.22395600296203458,,0.25301089845372116,0.23584461503760562,0.2480120374474741,0.23494667108812806,0.25244048092416393,0.26036263431054574,0.25753444691563837,0.20739866466848525,0.25146734571283985,0.24410780699165596,0.2666119066246936,0.2631575613758373,0.2613158388448145,0.2501054537819708,0.26044755405597636,0.28217121413159735,0.24972456653219782,0.22087112296347755,0.25073823557968705,0.23929491583762844,0.2590196600727179,0.24220017151460232,0.26530293900396845,0.25365376607959395,0.26353801634064444,0.2723273574107889,0.2359134023177149,0.2509030826892099,0.2458019678333247,0.2501198934016055,0.2573822977087618,0.27129593427267773,0.275109787962502,0.256124125373935,0.2620437941873609,0.2661754802736973,0.26895058736351646,0.28401768275363554,0.2419808298918705,0.264266629743661,0.24889576872465566,0.2724838903569556,0.2415866155264545,0.230200919573036,0.2769979307324681,0.22521269824965873,0.2518020203777311,0.24610139388944505,0.2326592593638411,0.24642326530954786,0.21699465792296257,0.24772043632918636,0.2621360245493482,0.259598504810764,0.2526046677285084,0.2603899718427776,0.2606042961856367
