,AL_R,AME_R,AMMC_R,ATL_R,AVLP_R,CRE_R,EPA_R,GA_R,GOR_R,IB_R,ICL_R,IPS_R,IVLP_R,LAL_R,LB_R,LH_R,LO_R,LOP_R,MB_R,ME_R,OTU_R,PLP_R,PVLP_R,SCL_R,SIP_R,SLP_R,SMP_R,SPS_R,VES_R,WED_R,AL_L,AME_L,AMMC_L,ATL_L,AVLP_L,CRE_L,EPA_L,GA_L,GOR_L,IB_L,ICL_L,IPS_L,IVLP_L,LAL_L,LB_L,LH_L,LO_L,MB_L,ME_L,OTU_L,PLP_L,PVLP_L,SCL_L,SIP_L,SLP_L,SMP_L,SPS_L,VES_L,WED_L,EB,FB,FLA,NO,PB,PRW,SAD,SOG
AL_R,,0.04872817667917563,0.6882075878531344,0.01867524298180841,0.7451732590123408,0.666694953796352,0.12669184520839585,0.4089888829703967,0.13804396475841543,0.09282314052347185,0.16271132218622253,0.5801337687864236,0.856193675203362,0.6698806979033628,0.20729556318791018,0.06948226472355334,0.18506491938530495,0.009920459180346385,0.7033103838985265,0.48631521416941154,0.04891797781050929,0.1350767485454404,0.19779935858668646,0.09427381447244904,0.1558552735187264,0.03740845955644361,0.01776095406012798,0.19127822859563415,0.4105859918186162,0.13189831128445745,0.1004259106660684,0.0036566355731102603,0.06632662519664355,0.029080892513602262,0.03688503646806471,0.03493658032976204,0.002804316478491071,0.017279732658015,-0.021143166318173832,0.0009695280809662406,0.06987275719818911,0.07219043651231384,0.0776059476617226,0.03689048816129445,0.04352767377510207,0.10080593621343194,0.040250967539043774,0.038277165615942466,0.055929214875534296,0.07982929149598518,0.015809697732008875,-0.01666378218167827,0.006743024864049274,0.08186807398927523,0.14324281395798047,0.032605795812289236,0.047308429398834104,0.18199340750648063,0.09936198727465763,0.32966136857056577,0.1337637370046952,0.337660497373068,0.11818326347070861,-0.011882968223960089,0.15759841738332833,0.1865479438659935,0.13707233270722619
AME_R,0.04872817667917563,,0.031092297589323418,0.052454959554032156,0.1005282323639689,0.021074533503882487,0.019656851180727304,0.009464355975437554,0.07186386938186114,0.05797834001667232,0.03629715194895502,0.10622610007403305,0.06602777181728649,0.04210371152485574,0.00422766796824134,0.12261597174295198,0.05090803184736471,0.05794107319451567,0.03822483944420058,0.0343926425845087,0.08595232265602669,0.11425228149730049,0.1136313994193114,0.0834270810498314,0.05564418788107352,0.11138479125889598,0.035642472128544066,0.08776926306059381,0.02856316230578446,0.015283732212771689,0.02962092625595599,0.031861505306680284,0.035365282259561,0.02910340664215925,0.05474216157662624,0.035341556095356746,0.04491304181448301,0.03154431130343045,0.05937206281937266,0.021415856631042864,0.06591880001799465,0.07729059473992239,0.06979465600280355,0.01352814423073053,0.028133293518585414,0.0661350877306081,0.014307293873600782,0.05251816999561225,0.04353770726745211,0.07824591821368769,0.05040352358831553,0.06051042021595334,0.07592660010705593,0.07856811765276898,0.10458827168946551,0.08613570310860715,0.08930228428214294,0.04486975853031158,0.056339510483667254,0.004155949733692772,0.02194689096677946,0.0066861656960099936,0.036613808956722116,0.032610921987600114,0.04185553183538749,0.06004974497720196,0.09461026373459544
AMMC_R,0.6882075878531344,0.031092297589323418,,0.09302333892965953,0.5944213156516736,0.5147405521508668,0.2023232250973047,0.2808051669827817,0.18634776995509772,0.1654600070920895,0.22012033805002265,0.5468454494514325,0.6942875870929556,0.5827688920624584,0.23640954141978265,0.09306408169204256,0.1685929843912708,0.01786223001050412,0.5344583761127975,0.4304365937443458,0.09797518875455552,0.18085966755632266,0.22252716799313768,0.14866705047334772,0.21019191605424006,0.07412058632747319,0.14191431098163734,0.27802352463687025,0.47439749598472947,0.12907656737525952,0.1102265271759165,0.022102955024621566,0.09786665292531214,0.09262338906869684,0.06560613306216624,0.056110833685747104,0.04602152144377071,0.02044016717573032,0.01003424573533222,0.05256401357026054,0.11512182993429755,0.13067178912227503,0.09552092688475822,0.08943994492216993,0.09683383235836077,0.12816950138507463,0.05980173078436793,0.07175243652410625,0.08868428087062277,0.10129655355084236,0.08587847986382995,0.03347566429815945,0.07473371160213801,0.13963639485552673,0.11812854277512987,0.1137356939037455,0.1097622730529788,0.2908113339938495,0.14148729822413642,0.29104095148601333,0.2534375127743334,0.3598550273603213,0.19799012593879753,0.06408307228034316,0.23447484503356883,0.21816888819073954,0.24838874904752986
ATL_R,0.01867524298180841,0.052454959554032156,0.09302333892965953,,0.10816270379992465,0.06642178417869697,0.15420684339558735,0.017641567360696494,0.12655078239742712,0.3144786634542772,0.2671527982675772,0.11961832426432784,0.038137724224703295,0.08444050020493024,0.08255729534585964,0.19086168233001755,0.04856270380452019,-0.009793692450713072,0.11304239306984439,0.06791291525681703,0.1585856108718091,0.21574111692255682,0.163723705680513,0.30399876390678077,0.1687916998702798,0.12460387474056031,0.26175023997315633,0.26994709150728047,0.13747435742103106,0.061494108049108494,0.033222835515682336,0.06869172443247397,0.06890249882847342,0.37396467982712184,0.08473934701819213,0.053813502988080505,0.08171333040879956,0.03704024761011928,0.10805490010781854,0.30731213350897196,0.25433254470626415,0.16379416416171064,0.10765137496123445,0.0655397658907009,0.04305814453193292,0.18323946483565215,0.07710432792685715,0.08268965197432983,0.07806677698958496,0.12846900232660355,0.4055467376557107,0.11057693327928851,0.29558107109037174,0.19011915434443633,0.06516039125981406,0.2970926376997101,0.2518975745320041,0.15450589981887805,0.03453602765093893,0.04440411089764915,0.181845924468251,0.09915073725973682,0.10957031872341229,0.2403815752677695,0.030796427752323986,0.07311527628351666,0.19988879640275606
AVLP_R,0.7451732590123408,0.1005282323639689,0.5944213156516736,0.10816270379992465,,0.546009385658085,0.18866365604283597,0.37272932729589553,0.24170819243985542,0.18551060551238296,0.3126426063485534,0.624744198507505,0.7024736079398678,0.6277823739568231,0.3026919122424772,0.15971560696109768,0.23474156590065964,-0.004498496514260542,0.5945260233815141,0.438218604154915,0.30823861947942993,0.3656182758159453,0.4687621931126907,0.28703602509289605,0.3772683779224527,0.17469963794072188,0.10526190692078613,0.3373429149149838,0.35703257800538,0.0855477331140218,0.09546675353720105,0.043740143766626716,0.15656076126914803,0.08649323968539217,0.16912769907892225,0.06740585030532567,0.12693461316716875,0.015116808054636907,0.05108073408063124,0.029661906325316758,0.21753748100914516,0.19454188299599115,0.11959219036796397,0.13453353791420353,0.11872111537035646,0.14436368323341275,0.09511457337255058,0.06767214291732804,0.12196255238587225,0.26515077909941104,0.0647877824689763,0.06179880254820879,0.07140365055750919,0.2619388526873965,0.3375243189299728,0.2020018907812488,0.16102197462681545,0.2697586402615041,0.10839969063293649,0.2838420076554958,0.2174351450634615,0.26881502838173754,0.18392956630726956,0.04276971679453282,0.2138663483538518,0.2009633128688697,0.18861172854903188
CRE_R,0.666694953796352,0.021074533503882487,0.5147405521508668,0.06642178417869697,0.546009385658085,,0.17729675983972396,0.5275720914727763,0.22542025014920244,0.16421266562335554,0.2330012786553735,0.4693287049499359,0.5681947990045374,0.7501339742287934,0.2345595886395407,0.06616743973424273,0.19631160466332245,0.0014247007902262936,0.8499038945808102,0.3955266793590295,0.07972281981402865,0.1683967698907818,0.21481507618983203,0.15327202554213387,0.15173859390720484,0.053060118314010744,0.2115358188286469,0.2900340264811094,0.35237878458932614,0.110853106640317,0.09054219571231141,0.006257145125612811,0.055012019820026355,0.07864784172552058,0.11375326604152527,0.2180700397056712,0.0790362945495754,0.06971525948712422,0.0767853129901975,0.0924070513753507,0.11475095562759395,0.09116462844821976,0.08774285555769112,0.14610206384116572,0.014976486567217435,0.20438349919994528,0.05414300736158649,0.15966207225314957,0.03922574998878816,0.10294189959596899,0.10729087205501914,0.08487449258449016,0.15620496150894234,0.16845436922042642,0.07499508060531894,0.16139584484631547,0.12088891982795154,0.18464475813338738,0.1403124368109039,0.526796293314848,0.33423677366603965,0.344658852963961,0.15360829563880235,0.03876133728748836,0.2773106288285511,0.16866936396264476,0.20007691176057707
EPA_R,0.12669184520839585,0.019656851180727304,0.2023232250973047,0.15420684339558735,0.18866365604283597,0.17729675983972396,,0.06099079233518357,0.2873328449063169,0.13907185117106108,0.25374379173026756,0.18665322622492617,0.16882687579955424,0.24617966093680999,0.16218740997556974,0.08952683509565015,0.09639511765584138,-0.015970303011051405,0.21581781546487228,0.13589273467869686,0.125703521610166,0.13183355807074107,0.14546731130742216,0.175510140541217,0.19581763087705847,0.029389708709426088,0.28361963926011374,0.21539726228569164,0.29541166723981077,0.12340461300390958,0.06587232440909906,0.056681692467338826,0.10001894397409407,0.14367296901929308,0.11714552068773672,0.0889455637363043,0.16368568724875343,0.06497628675801548,0.11349454982751069,0.09120506854249007,0.17626429876670344,0.1585216987260659,0.09900502054263963,0.15374539000560014,0.13205869418077798,0.14004669213848497,0.10736750376972592,0.10841467804539391,0.08046806649482141,0.08737654244406563,0.10904286475286551,0.06778695296200637,0.18379201880196178,0.20008023442165088,0.11140213125969306,0.27500490469694033,0.1476374684129785,0.29773544630427895,0.1117421677331089,0.0783367682199337,0.36393500408082297,0.10948839385334877,0.22359514393457702,0.1387261014006587,0.06616608980397891,0.15853241095008322,0.19139002160239174
GA_R,0.4089888829703967,0.009464355975437554,0.2808051669827817,0.017641567360696494,0.37272932729589553,0.5275720914727763,0.06099079233518357,,0.12064718072838056,0.10692476294369169,0.14290800843546206,0.343441867075393,0.353288258148757,0.502712431782291,0.13964958927077561,0.07334461083931675,0.10685272189234252,-0.0006092854215563671,0.49533962256271347,0.2196177851374785,0.10694998194537077,0.14092988876587248,0.17557549042351966,0.10407216328117046,0.1473320218430915,0.04796086239563924,0.08796076178324488,0.1788060898010747,0.13483876423549232,0.08579339991137008,0.03977760369700911,0.062390651525354564,0.052193008591128735,-0.0050577557807930116,0.1361478726487505,0.14518065555237972,0.05355747526997949,0.06872119283989857,0.07490822025961223,0.020455153442651548,0.0897673751354342,0.08056558419569482,0.04605870295706231,0.07793970636623772,0.009238477729742607,0.15966513705712818,0.039644915158558745,0.06627380884122169,0.04293321641275154,0.11230303735452467,0.05517864629587626,0.12187758629560953,0.08496385083737903,0.10818385089375739,0.10860829056329992,0.08005636841581186,0.10022392861548857,0.014158382122678238,0.09322258290176766,0.33659085295038665,0.10014022893666714,0.1979794782263072,0.05444808217057268,-0.009033132026345292,0.19061185219768162,0.08979768453350645,0.07647568016186468
GOR_R,0.13804396475841543,0.07186386938186114,0.18634776995509772,0.12655078239742712,0.24170819243985542,0.22542025014920244,0.2873328449063169,0.12064718072838056,,0.25954505002789713,0.30844978202390766,0.21272595812706088,0.18585285311282013,0.23811675196886817,0.1522229486478536,0.08995530914811244,0.09283327836831297,0.026913035579915593,0.2280678211383546,0.12641926164734593,0.14663812116345556,0.215761037651112,0.248942479346186,0.23739599176071705,0.15653187030652277,0.079545650176604,0.27812954660143085,0.331781652311112,0.20744078475953673,0.1436533415431429,0.0777048666665504,0.0516174676858015,0.09927833620939584,0.10658093525553008,0.11100055197506449,0.12223851043676301,0.23801557520075242,0.10041345396057443,0.18499637357579538,0.1313092651420418,0.2128868434151167,0.12229046716990123,0.12748915309591694,0.1436931449594259,0.11316067631863555,0.20004484294310423,0.09006073169960727,0.14590762273592522,0.08042835815014791,0.11567361380877576,0.15917790207261528,0.13938053731977665,0.22326345631366346,0.16796906497885628,0.11275187519145276,0.3248206736776329,0.1885262602998645,0.19757306241846986,0.16692380676317492,0.11869216777556547,0.3804884569432873,0.057066704211605764,0.2010538188225933,0.1402609380828603,0.08543835005492348,0.19909865310724809,0.20923331601409476
IB_R,0.09282314052347185,0.05797834001667232,0.1654600070920895,0.3144786634542772,0.18551060551238296,0.16421266562335554,0.13907185117106108,0.10692476294369169,0.25954505002789713,,0.3262811299858366,0.28335107158801637,0.11505911571137713,0.20378945605934934,0.1649467705151345,0.17448060193852247,0.12489031722355796,-0.0008225035441281493,0.1692984938199221,0.08919016606394044,0.16582255922437,0.2559102863640815,0.19795583540749045,0.28486443494624736,0.22831671588077598,0.18689811056272904,0.22888791614974688,0.3976006639955437,0.11489439639286421,0.09319302657438133,0.0436126267747682,0.13762304279599755,0.11615724785127092,0.2466792822297029,0.08166127056750631,0.11124960165131491,0.14737194067909787,0.07279520434357352,0.184325556497953,0.3028153086553407,0.3081601624328055,0.23182210582591262,0.13638554998722516,0.12907983465828352,0.12967345839732058,0.22109630166530336,0.06773052158575082,0.10575145581899294,0.1046706405383448,0.14653661001132784,0.32493725604649165,0.17564292873931306,0.28150010274780674,0.2527092802856751,0.19712932150799645,0.35827318372521627,0.31756154577264767,0.12928472723324522,0.09312142802780374,0.14458528696795028,0.27577768156384136,0.10765038503297164,0.1682062753219806,0.16629611352139986,0.14951688294659032,0.13278624566171982,0.2317163849669897
