,AL_R,LH_R,MB_CA_R,MB_ML_R,MB_PED_R,MB_VL_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,LH_L,MB_CA_L,MB_ML_L,MB_PED_L,MB_VL_L,AME_L,AOTU_L,AVLP_L,ICL_L,IVLP_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,NO,PB
AL_R,3368,385,210,148,56,33,20,148,149,18,12,236,134,251,130,252,312,233,54,234,83,145,389,511,61,27,76,14,39,4,15,34,46,0,8,88,60,58,203,114,31,154,34,66,177,171,64,53
LH_R,403,3700,698,94,463,231,140,1005,750,246,92,1980,1079,330,1095,3063,1097,430,212,326,52,307,157,249,227,65,38,69,42,5,11,135,177,0,7,203,137,152,202,134,98,73,39,131,61,86,22,98
MB_CA_R,215,658,3205,2448,2515,1623,16,117,887,53,45,1728,115,53,936,732,1317,82,175,2267,4,93,132,53,82,82,20,22,10,5,7,26,49,0,4,86,25,24,147,19,104,19,2,43,8,14,9,91
MB_ML_R,150,95,2534,3732,2677,1892,96,123,864,8,3,1359,82,113,1277,285,1778,175,107,3463,78,124,574,177,31,13,617,76,148,1,35,30,78,0,2,46,35,197,558,75,63,604,31,84,218,94,114,150
MB_PED_R,68,504,2595,2649,3683,1722,114,676,1771,93,19,2103,718,128,1151,990,1326,529,177,2475,131,395,216,130,88,28,74,275,39,4,26,211,372,0,7,177,228,81,148,159,84,85,35,182,42,61,28,115
MB_VL_R,34,237,1734,1866,1777,2262,275,112,588,18,1,871,109,26,1432,550,1462,86,101,1943,59,92,219,86,35,4,93,37,151,1,54,17,31,0,2,24,18,206,260,42,51,143,14,64,49,34,33,58
AOTU_R,24,165,18,81,155,306,1542,227,257,906,455,426,201,68,594,527,487,229,154,275,137,207,194,129,13,3,37,33,65,1,104,19,59,0,2,43,27,132,147,126,69,92,43,149,78,69,34,44
AVLP_R,149,1039,131,94,720,131,234,5469,1633,1136,88,2286,3905,1299,772,1526,523,1206,174,231,861,451,560,620,163,29,37,198,25,12,23,1441,694,0,19,656,1299,259,168,454,97,63,403,210,257,292,176,56
ICL_R,162,890,869,757,1882,537,278,1669,4087,321,104,2476,1757,528,921,1556,1311,1918,689,874,678,1470,476,679,210,80,91,378,46,20,75,633,1255,0,30,730,704,252,448,891,344,174,302,892,274,392,222,422
LO_R,22,244,52,8,97,18,752,1177,325,31704,21694,2328,1590,190,72,313,84,795,58,46,74,176,83,94,17,10,3,11,5,20,10,31,52,0,48,95,51,8,30,136,33,8,22,106,24,43,8,64
ME_R,13,105,38,4,19,5,461,98,107,22843,36448,644,241,113,11,168,38,230,18,6,21,54,12,28,11,16,2,5,2,38,2,17,33,0,113,65,47,4,25,73,16,3,5,40,7,18,7,14
PLP_R,263,1982,1784,1321,2174,850,347,2112,2402,2137,621,7170,2720,1208,955,1999,1615,2596,564,1485,557,1050,689,578,255,121,49,155,36,37,43,379,558,0,59,844,515,118,322,795,302,98,204,573,222,249,73,302
PVLP_R,135,1038,113,61,737,95,180,3804,1637,1532,213,2797,4531,839,539,1259,413,1375,140,151,695,550,377,528,133,29,24,189,16,33,24,923,597,0,38,609,1005,104,135,469,69,52,291,262,194,227,105,65
WED_R,290,325,49,115,114,40,70,1288,481,134,61,1178,819,2760,177,193,216,1446,147,350,548,392,993,937,79,24,28,26,10,15,8,325,165,0,22,398,338,41,92,608,103,88,227,230,314,316,93,97
SIP_R,149,1180,1063,1322,1231,1643,640,755,946,64,9,1106,614,198,3883,2271,2926,473,473,2018,299,486,499,330,182,24,237,75,277,3,106,211,266,0,4,135,189,781,864,206,216,411,99,294,206,172,126,161
SLP_R,279,3443,911,256,1110,570,512,1591,1542,342,157,2271,1410,198,2228,5728,2567,631,436,621,176,520,185,282,355,115,122,258,152,7,50,480,523,0,11,315,418,538,688,195,205,179,58,242,91,120,51,145
SMP_R,371,1307,1606,1906,1526,1735,586,555,1397,78,39,1896,509,243,3123,2797,6339,734,1104,2919,218,850,683,425,329,187,600,161,498,26,136,174,467,0,34,416,218,953,2449,411,645,904,83,603,324,264,184,391
SPS_R,284,476,92,173,585,127,249,1178,1883,823,252,2665,1412,1560,482,623,762,5130,559,436,985,2094,1093,1327,144,43,75,160,66,31,130,399,901,0,91,1110,601,212,459,2250,402,216,497,1458,603,703,208,478
ATL_R,59,244,213,98,227,133,156,165,634,62,21,596,156,164,424,427,972,535,1117,284,69,743,147,144,150,130,63,83,74,20,62,81,344,0,21,363,97,194,546,365,634,142,34,578,93,110,62,405
CRE_R,243,353,2417,3596,2561,2027,313,297,1018,40,4,1603,191,353,1982,704,2779,431,331,5128,233,302,1234,479,90,17,654,91,244,2,105,57,177,0,1,128,83,456,1001,203,179,1080,100,227,476,212,192,295
EPA_R,98,86,6,73,157,84,136,851,655,69,13,572,701,548,317,221,214,922,69,231,1214,339,695,688,36,6,32,36,23,5,36,313,283,0,10,323,365,91,86,425,49,84,433,221,329,343,174,50
IB_R,146,342,112,123,457,134,236,435,1418,170,50,1087,558,408,500,552,886,1999,807,304,328,2447,318,608,136,54,96,181,117,15,157,190,846,0,31,720,298,306,646,1402,625,223,211,1638,273,443,159,589
LAL_R,408,154,149,618,246,284,217,600,503,79,7,718,373,988,517,202,643,1077,166,1227,732,321,2179,1003,55,8,213,47,75,3,103,146,194,0,6,248,180,208,293,474,119,470,306,248,756,419,232,175
VES_R,565,237,45,217,146,126,152,593,654,83,18,561,510,956,350,293,422,1280,165,488,706,607,1013,2125,75,19,113,72,63,7,73,221,370,0,9,320,277,171,280,677,139,252,344,453,497,795,382,130
LH_L,65,213,73,28,78,37,9,152,168,15,9,243,125,83,175,320,281,123,133,85,29,123,58,83,3930,891,131,395,288,71,135,879,799,0,126,1986,1250,1115,1158,405,323,353,85,298,217,252,11,105
MB_CA_L,28,61,79,13,36,7,2,35,64,13,20,128,34,30,22,99,141,40,103,13,3,42,6,17,785,3241,2483,2588,1608,51,30,106,709,0,67,1981,164,1409,1353,91,223,2392,4,101,89,50,4,56
MB_ML_L,79,37,20,608,79,129,46,35,107,2,2,48,25,37,265,137,609,82,71,672,29,97,231,107,151,2568,3875,2648,1917,0,97,90,639,0,1,1634,110,1832,2054,164,149,3702,84,121,639,204,107,142
MB_PED_L,15,72,19,71,272,39,25,198,348,8,4,147,191,38,74,249,151,133,73,89,26,152,35,55,447,2677,2636,3632,1698,16,164,556,1470,0,17,2262,706,1599,1400,391,157,2560,149,365,175,132,22,47
MB_VL_L,44,34,8,110,42,144,68,29,54,2,2,39,22,14,246,134,422,58,61,200,21,97,65,60,328,1674,1873,1725,2599,2,264,120,513,0,2,987,175,2232,1839,126,189,2051,74,140,227,113,33,62
AME_L,4,7,7,3,5,2,3,20,26,19,47,48,38,20,6,11,24,38,20,4,6,27,4,12,56,39,0,17,3,332,4,49,76,0,382,213,181,8,31,93,18,1,12,56,8,24,4,12
AOTU_L,9,12,4,32,24,43,90,21,68,4,0,33,21,11,101,47,144,113,54,78,35,140,79,64,175,37,73,212,278,7,1473,248,244,0,465,375,235,522,403,228,155,268,141,194,202,126,22,54
AVLP_L,38,148,25,26,207,18,18,1432,630,29,14,415,930,356,221,476,165,400,77,46,296,190,127,234,884,114,59,605,122,41,228,4389,1505,0,99,2002,3550,683,418,808,122,171,843,373,606,502,144,31
