roi,ito_region,ito_label,ito_block,big_group,side_order,plot_order
23,AL_R,AL_R,AL,olfactory system,0,0
6,LH_R,LH_R,LH,olfactory system,0,1
35,MB_CA_R,MB_CA_R,MB,mushroom body,0,2
18,MB_ML_R,MB_ML_R,MB,mushroom body,0,3
16,MB_PED_R,MB_PED_R,MB,mushroom body,0,4
17,MB_VL_R,MB_VL_R,MB,mushroom body,0,5
33,AOTU_R,AOTU_R,AOTU,optic/lateral protocerebrum,0,6
29,AVLP_R,AVLP_R,AVLP,optic/lateral protocerebrum,0,7
11,ICL_R,ICL_R,ICL,optic/lateral protocerebrum,0,8
2,LO_R,LO_R,LO,optic/lateral protocerebrum,0,9
24,ME_R,ME_R,ME,optic/lateral protocerebrum,0,10
32,PLP_R,PLP_R,PLP,optic/lateral protocerebrum,0,11
30,PVLP_R,PVLP_R,PVLP,optic/lateral protocerebrum,0,12
31,WED_R,WED_R,WED,optic/lateral protocerebrum,0,13
27,SIP_R,SIP_R,SIP,superior protocerebrum,0,14
26,SLP_R,SLP_R,SLP,superior protocerebrum,0,15
28,SMP_R,SMP_R,SMP,superior protocerebrum,0,16
36,SPS_R,SPS_R,SPS,superior protocerebrum,0,17
14,ATL_R,ATL_R,ATL,inferior/ventrolateral protocerebrum,0,18
15,CRE_R,CRE_R,CRE,inferior/ventrolateral protocerebrum,0,19
39,EPA_R,EPA_R,EPA,inferior/ventrolateral protocerebrum,0,20
13,IB_R,IB_R,IB,inferior/ventrolateral protocerebrum,0,21
7,LAL_R,LAL_R,LAL,inferior/ventrolateral protocerebrum,0,22
12,VES_R,VES_R,VES,inferior/ventrolateral protocerebrum,0,23
54,LH_L,LH_L,LH,olfactory system,1,24
80,MB_CA_L,MB_CA_L,MB,mushroom body,1,25
65,MB_ML_L,MB_ML_L,MB,mushroom body,1,26
63,MB_PED_L,MB_PED_L,MB,mushroom body,1,27
64,MB_VL_L,MB_VL_L,MB,mushroom body,1,28
51,AME_L,AME_L,AME,optic/lateral protocerebrum,1,29
78,AOTU_L,AOTU_L,AOTU,optic/lateral protocerebrum,1,30
74,AVLP_L,AVLP_L,AVLP,optic/lateral protocerebrum,1,31
58,ICL_L,ICL_L,ICL,optic/lateral protocerebrum,1,32
76,IVLP_L,IVLP_L,IVLP,optic/lateral protocerebrum,1,33
70,ME_L,ME_L,ME,optic/lateral protocerebrum,1,34
77,PLP_L,PLP_L,PLP,optic/lateral protocerebrum,1,35
75,PVLP_L,PVLP_L,PVLP,optic/lateral protocerebrum,1,36
72,SIP_L,SIP_L,SIP,superior protocerebrum,1,37
73,SMP_L,SMP_L,SMP,superior protocerebrum,1,38
81,SPS_L,SPS_L,SPS,superior protocerebrum,1,39
61,ATL_L,ATL_L,ATL,inferior/ventrolateral protocerebrum,1,40
62,CRE_L,CRE_L,CRE,inferior/ventrolateral protocerebrum,1,41
84,EPA_L,EPA_L,EPA,inferior/ventrolateral protocerebrum,1,42
60,IB_L,IB_L,IB,inferior/ventrolateral protocerebrum,1,43
55,LAL_L,LAL_L,LAL,inferior/ventrolateral protocerebrum,1,44
59,VES_L,VES_L,VES,inferior/ventrolateral protocerebrum,1,45
3,NO,NO,NO,central complex,2,46
5,PB,PB,PB,central complex,2,47
