region,base_block,big_group,plot_order,side,n_cells,n_dca_cells,mean_DCA,median_DCA,mean_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,mean_PreDCA,mean_PreDCA_negative,mean_PreDCA_positive,mean_Log10_OutInput_degree,mean_OO_fraction,n_postdca_cells,n_predca_cells,n_oo_cells,mean_mapping_confidence,unit
AL_R,AL,olfactory system,0,R,2608.0,2608.0,-0.0004501606873249036,0.0,0.056154580774388875,0.06693630011948969,0.03563536791171529,0.14568324507684,0.03498944319993703,0.180672688276777,0.40710621946087194,0.3711851594333449,2464.0,1504.0,2464.0,0.9849493712215771,ito48
LH_R,LH,olfactory system,1,R,883.0,883.0,-0.0038315285602107388,-0.0026945406635897,-0.0006085538974333505,0.015880788129262052,0.0080922848997061,-0.0037412126841855457,0.02355665770387959,0.019815445019694043,0.2634149895328913,0.21391143723278971,869.0,759.0,869.0,0.689672012879583,ito48
MB_CA_R,MB,mushroom body,2,R,455.0,455.0,-0.0005757691595558714,-1.147885825940613e-14,-0.24066615872143052,0.04307694381634719,0.0,0.07646125141657366,0.0007517967142194071,0.07721304813079306,-0.2581976317275092,0.025834775026807623,428.0,454.0,428.0,0.3601458174795914,ito48
MB_ML_R,MB,mushroom body,3,R,1584.0,1584.0,0.017827577204117852,0.0125876831603127,-0.06638683517939051,0.05491818887850156,0.0065038794660785305,0.0778659813718959,0.0037405653630175305,0.08160654673491344,-0.2531737284549881,0.2489212040442775,1213.0,1521.0,1213.0,0.4263460805217109,ito48
MB_PED_R,MB,mushroom body,4,R,15.0,15.0,-0.005947030288228256,1.1747504492589655e-09,-0.20535459791434113,0.028305515729954614,1.0962179778416937e-07,0.016330288271341392,0.009219157022996149,0.02554944529433754,-0.2147728904921374,0.2708452041785375,15.0,15.0,15.0,0.41612918697353696,ito48
MB_VL_R,MB,mushroom body,5,R,94.0,94.0,0.041458084044249326,0.0546993548875516,-0.36101861431397064,0.10106756392308468,0.010326089389492027,0.11799529868999191,0.0020828438778879793,0.12007814256787991,-0.20475386377108132,0.23939393939393938,88.0,90.0,88.0,0.3464372384853041,ito48
AOTU_R,AOTU,optic/lateral protocerebrum,6,R,516.0,516.0,0.018941237220754525,0.01734640247921115,-0.0075090019444148896,0.0151695582829395,0.004574463910025106,-0.02584698696370901,0.030371719135552113,0.004524732171843099,-0.35416265239063477,0.4136447656275168,461.0,495.0,461.0,0.6716676663774858,ito48
AVLP_R,AVLP,optic/lateral protocerebrum,7,R,2172.0,2172.0,0.0015292947974041781,0.00053484263994835,-0.005106436690613592,0.02206409960382563,0.007476479228503344,0.005641362723154682,0.010909059436452774,0.016550422159607458,-0.04026707338825197,0.3487519979741278,1954.0,1776.0,1954.0,0.7343042661906756,ito48
ICL_R,ICL,optic/lateral protocerebrum,8,R,555.0,555.0,0.0023333783589819797,1.5522565850796698e-16,0.0022242635918467233,0.014220834523240142,0.005492239227002907,-0.01567445120179586,0.024512788658081198,0.00883833745628534,-0.12545710971308985,0.2650779642408256,523.0,532.0,523.0,0.5858062218790072,ito48
LO_R,LO,optic/lateral protocerebrum,9,R,13874.0,13874.0,0.00028372637201015357,1.8092510220601898e-17,0.004110708215866434,0.01194750886786649,0.0011224684927650086,0.0017510190294356648,0.00400745662726595,0.005758475656701615,0.005602580840413353,0.414743417216865,11532.0,9721.0,11532.0,0.8501190356744897,ito48
ME_R,ME,optic/lateral protocerebrum,10,R,31830.0,31830.0,2.2381801046432258e-05,4.2627870090753235e-07,-0.00039667328743697223,0.006216792008969355,0.000397495172175534,-0.004332224714713032,0.008731573961530015,0.004399349246816985,0.273772131577358,0.33648285666721794,21836.0,14962.0,21836.0,0.8588003935924369,ito48
PLP_R,PLP,optic/lateral protocerebrum,11,R,1281.0,1281.0,0.0008509111053925965,4.678504377515653e-06,-0.02106792448025762,0.01822396015278434,0.00863020207076377,-0.015353608084032423,0.023270548615558342,0.007916940531525918,-0.07471419612171876,0.3819252443430352,1245.0,1240.0,1245.0,0.6265558351546513,ito48
PVLP_R,PVLP,optic/lateral protocerebrum,12,R,779.0,779.0,0.011833690889078785,0.0001651436112197,0.009406944856692998,0.019022310765032746,0.013556395514306211,-0.016610659097088875,0.022640272742015435,0.0060296136449265614,-0.0870653754911453,0.5387473556838729,777.0,776.0,777.0,0.5618858943691621,ito48
WED_R,WED,optic/lateral protocerebrum,13,R,789.0,789.0,0.00114411187717683,0.0,0.0018852715074512535,0.01293544966956902,0.005038727722569429,0.006020152274199413,0.0039069299947441846,0.009927082268943599,0.24971902728144246,0.32775072552998974,756.0,690.0,756.0,0.7920838311249557,ito48
SIP_R,SIP,superior protocerebrum,14,R,204.0,204.0,0.0005801079887404457,0.0,-0.026860709363876696,0.011335190571311741,0.004432131814977285,-0.0033002991644104623,0.020002428076244833,0.016702128911834372,0.03523065017480339,0.20658373113315437,200.0,197.0,200.0,0.45030186981550024,ito48
SLP_R,SLP,superior protocerebrum,15,R,2109.0,2109.0,0.001557485254822254,3.943850959086043e-05,0.003032188244531047,0.021567144722360695,0.007490901075891086,0.010446043148162979,0.01865574025001126,0.029101783398174236,-0.053504891429646054,0.29773257924641805,1772.0,1734.0,1772.0,0.7158258815251507,ito48
SMP_R,SMP,superior protocerebrum,16,R,2223.0,2223.0,0.0024713036258836247,0.0001367879316448,0.0035258651882899314,0.024979089873831007,0.003241251478192926,-0.006844996458685904,0.019117901460073743,0.012272905001387842,-0.09879206181154405,0.33495056531927614,1858.0,1967.0,1858.0,0.6658621599437181,ito48
SPS_R,SPS,superior protocerebrum,17,R,1338.0,1338.0,0.002592490418520893,0.00033486635593375,-0.003804817920728537,0.01855318811366717,0.00846673842923985,0.0005749492867045039,0.012590090351687759,0.013165039638392263,-0.1367483148663914,0.4217757249101971,1191.0,1221.0,1191.0,0.6784913277173099,ito48
ATL_R,ATL,inferior/ventrolateral protocerebrum,18,R,23.0,23.0,-0.007673547361276579,1.6035080493090552e-18,-0.022857583645851456,0.0076843012696145825,0.003874874468931152,-0.0163343416922015,0.04428004699311355,0.027945705300912064,-0.12531420850938985,0.24674230867022628,23.0,23.0,23.0,0.4472311220942201,ito48
CRE_R,CRE,inferior/ventrolateral protocerebrum,19,R,741.0,741.0,0.0005657400160054958,0.0,-0.02425095601054753,0.011210897585465097,0.002355510168660625,-0.004596197342831208,0.01844830373606177,0.01385210639323056,-0.041754985627368964,0.23271415428978956,699.0,719.0,699.0,0.5888465443156257,ito48
EPA_R,EPA,inferior/ventrolateral protocerebrum,20,R,6.0,6.0,0.0,0.0,-0.006573797173747521,0.014347098754916642,0.012166406856165202,-0.003681199480192855,0.008135104158582963,0.004453904678390108,0.09476098317589764,0.10909090909090909,5.0,5.0,5.0,0.40536775259003505,ito48
IB_R,IB,inferior/ventrolateral protocerebrum,21,R,127.0,127.0,0.0013062811931777148,0.0,0.017902571758387918,0.0364638376026453,0.010161726043227707,-0.0030544950063655374,0.011170878171200464,0.008116383164834927,-0.0067678763038418145,0.19945868586028767,120.0,120.0,120.0,0.48862198478796903,ito48
LAL_R,LAL,inferior/ventrolateral protocerebrum,22,R,564.0,564.0,0.004686234778174885,0.00020686785398130002,-0.009054463137215007,0.023416134530816056,0.016167833436253488,-0.0014737150766218094,0.014884423823691546,0.013410708747069736,-0.009523823928532266,0.4092528730598157,558.0,549.0,558.0,0.572951818645014,ito48
VES_R,VES,inferior/ventrolateral protocerebrum,23,R,515.0,515.0,0.005919670463240947,0.0006108835195216,-0.002718082978190624,0.019789997453900622,0.015161606618654028,0.0012867964997239334,0.01273505339311506,0.014021849892838995,0.05341059138499083,0.37671549102273283,496.0,443.0,496.0,0.7041258231622811,ito48
LH_L,LH,olfactory system,24,L,1973.0,1973.0,-0.003370112567205264,-0.0008003869546784,0.007387842115165569,0.015420739639468392,0.005842091335728234,-0.005944849331011297,0.015078303940135845,0.009133454609124549,0.14665766425643467,0.1937890192518078,1600.0,1381.0,1600.0,0.8518090925584685,ito48
MB_CA_L,MB,mushroom body,25,L,511.0,511.0,-0.0004200374485071763,-3.143471702068613e-09,0.010309613401118516,0.16554209978716886,0.16516673221466854,0.1250486860202262,0.0008410714928800898,0.1258897575131063,-0.12475058963498241,0.030267453513015845,506.0,505.0,506.0,0.37284312696689625,ito48
MB_ML_L,MB,mushroom body,26,L,1928.0,1928.0,0.005356271019891892,0.0047130974519759995,-0.07928022598114566,0.11149878546508617,0.006249945855610832,0.08069216827960521,0.003442456105004907,0.08413462438461011,-0.3071700590950583,0.502754942114022,1609.0,1864.0,1609.0,0.4231325856577705,ito48
