figure,script,main_inputs,outputs,notes
Figure 9,figures/figure9_clean.py,"fig1_prism_D_FCS_FCV_bar.csv; fig2_prism_A_FCS.csv; fig2_prism_B_FCV.csv; fc_dynamics_metastability_by_subject_region.csv; region_community_io/subject_*/*.npz","output/png/figure9_final.png; output/pdf/figure9_final.pdf; output/stats/figure9_stats.csv","SC-FC feature overview with metastability replacing coherence time."
Figure 12,figures/figure12_clean.py,"sc_original_per_area_network_metrics.pkl; total_selected_region_dac_data.npz; fig1_prism_D_FCS_FCV_bar.csv; fig3_prism_A_PostDCA.csv; fig3_prism_B_PreDCA.csv; network diagram PNG files","output/png/figure12_final.png; output/pdf/figure12_final.pdf; output/stats/figure12_stats.csv","Structural-connectivity feature clustering and network examples."
Figure 13,figures/figure13_clean.py,"figure13/layer_asymmetric_epsilon_linear_data.npz; figure13/tfigure5_compare_xy_scatter_data.pkl; figure13/wsim_fc_null_p_sp_in_fc_mean_std_data.pkl; figure13/wsim_fc_null_p_sp_out_fc_mean_std_data.pkl; figure13/figure1_whole_brain_fc_mean_std_data.npz","output/png/figure13_final.png; output/pdf/figure13_final.pdf; output/stats/figure13_stats.csv","Directional asymmetry/outgoing-cascade model comparison."
FC dynamics summary,figures/figure_fc_dynamics_final_fc_shift_summary.py,"fc_dynamics_state_fc_shift_by_subject_region.csv; fc_dynamics_stimulus_fcv_by_subject_region.csv; fig1_prism_D_FCS_FCV_bar.csv; total_selected_region_dac_data.npz","output/png/figure_fc_dynamics_final_fc_shift_summary.png; output/pdf/figure_fc_dynamics_final_fc_shift_summary.pdf; output/figure_fc_dynamics_final_fc_shift_summary.csv; output/stats/figure_fc_dynamics_final_fc_shift_summary_stats.csv; output/stats/figure_fc_dynamics_final_fc_shift_summary_region_values.csv","Stimulus FC shift and FCV summary."
SC-FC overview,figures/figure_sc_fc_final_overview.py,"fig1_prism_D_FCS_FCV_bar.csv; fig4_prism_C_degree_FCV.csv; fc_dynamics_metastability_by_subject_region.csv; sc_original_per_area_network_metrics.pkl; total_selected_region_dac_data.npz; region_community_io/subject_*/*.npz","output/png/figure_sc_fc_final_overview.png; output/pdf/figure_sc_fc_final_overview.pdf; output/stats/figure_sc_fc_final_overview_stats.csv; output/stats/figure_sc_fc_final_overview_pairwise_correlations.csv; output/stats/figure_sc_fc_final_overview_weights.csv; output/stats/figure_sc_fc_final_overview_fcv_predictions.csv","Multivariate SC-FC coupling overview."
Supplementary 0,figures/figure_supply_0.py,"figure1_emp_variation/figure1_whole_brain_fc_mean_std_data.npz; figure5_simulation/*.pkl","output/png/figure_supply_0.png; output/pdf/figure_supply_0.pdf","Empirical and simulated large-scale FC summary panels."
Supplementary 1,figures/figure_supply_1.py,"figure9_distance_synapse/figure_supply1_fc_dist_data.npz; figure9_distance_synapse/figure_supply1_soma_dist_data.npy","output/png/figure_supply_1.png; output/pdf/figure_supply_1.pdf","Distance-dependent FC/synapse distribution summary."
Supplementary 2,figures/figure_supply_2.py,"sc_original_per_area_network_metrics.pkl; total_selected_region_dac_data.npz; region_sc.npy; fig1_prism_D_FCS_FCV_bar.csv; fig4_prism_C_degree_FCV.csv","output/png/figure_supply_2.png; output/pdf/figure_supply_2.pdf","Region-wise SC feature summaries."
Supplementary 5,figures/figure_supply_5.py,"network_diagrams/*.png; figure6_NULL_P_SP/*.npz","output/png/figure_supply_5.png; output/pdf/figure_supply_5.pdf","Null-In/Null-Out network diagram and summary comparisons."
Supplementary 10,figures/figure_supply_10.py,"fig1_prism_D_FCS_FCV_bar.csv; figure1_box_scatter_fc_mean_var_data.pkl; fc_dynamics_metastability_by_subject_region.csv; region_community_io/subject_*/*.npz","output/png/figure_supply_10.png; output/pdf/figure_supply_10.pdf","FC feature heatmaps including NetTE and neighborhood NetTE."
Supplementary 11,figures/figure_supply_11.py,"SC-FC overview data; figure1_box_scatter_fc_mean_var_data.pkl","output/png/figure_supply_11.png; output/pdf/figure_supply_11.pdf; output/stats/figure_supply_11_division_control_summary.csv; output/stats/figure_supply_11_division_control_region_values.csv","SC-FC robustness, replication, and division-control analyses."
Supplementary 13,figures/figure_supply_13.py,"region_community_io/subject_13/subject_13_causality.npz; figure_supply_13/figure_supply_13_example.npz","output/png/figure_supply_13.png; output/pdf/figure_supply_13.pdf","Representative directed transfer-entropy example using compact precomputed traces."
Supplementary 14,figures/figure_supply_14.py,"fc_dynamics_stimulus_fcv_by_subject_region.csv","output/png/figure_supply_14.png; output/pdf/figure_supply_14.pdf; output/stats/figure_supply_14_stimulus_fcv_heatmap_values.csv","Stimulus FCV heatmap summary."
Supplementary 15,figures/figure_supply_15.py,"figure_supply_15_rsp_rmos5_trace.npz; figure13/layer_asymmetric_epsilon_linear_data.npz","output/png/figure_supply_15.png; output/pdf/figure_supply_15.pdf","Large-scale simulation trace examples and four-layer linear model traces."
Supplementary 16,figures/figure_supply_16.py,"figure14_celegans/results/*.csv; figure15_drosophila/results/*.csv; figure15_drosophila/final_results/Branson999_full_FC_FCV/*.csv","output/png/figure_supply_16.png; output/pdf/figure_supply_16.pdf","Cross-species SC and FC feature heatmaps."
