Target,Variant,Metric,Transform,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N,Level
PostDCA,rank,OO_count,log10(x+1),-0.39080396003045487,0.007947388735087754,-0.37127799736495387,0.012039268331163703,45,region_mean
PostDCA,rank,OO_fraction,none,0.7901300761382515,1.0921865808843352e-10,0.6910408432147561,1.4837327113418355e-07,45,region_mean
PostDCA,rank,ON_count,log10(x+1),-0.5603585742027551,6.253064735391613e-05,-0.536627140974967,0.00014467949081831423,45,region_mean
PostDCA,rank,ON_fraction,none,-0.6798183386698985,2.8108655119320104e-07,-0.5826086956521738,2.6814282842329867e-05,45,region_mean
PostDCA,rank,NO_count,log10(x+1),-0.3738594520409353,0.011411788506021142,-0.3376811594202898,0.023293739348455727,45,region_mean
PostDCA,rank,NO_fraction,none,0.8102923681507034,1.547192980464071e-11,0.7289855072463767,1.3604108939524495e-08,45,region_mean
PostDCA,rank,NN_count,log10(x+1),-0.5427540946297591,0.00011720738980713807,-0.5363636363636364,0.00014598247128427665,45,region_mean
PostDCA,rank,NN_fraction,none,-0.5518000399743245,8.524254262356131e-05,-0.5380764163372859,0.00013769993055818297,45,region_mean
PostDCA,rank,InterOutDegree,log10(x+1),-0.47968818636009547,0.000855317902157109,-0.4544137022397891,0.0017142791940598762,45,region_mean
PostDCA,rank,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",0.7171806262419209,2.980891320473003e-08,0.6570487483530961,9.470385904373305e-07,45,region_mean
FCV,rank,OO_count,log10(x+1),-0.33821912771779633,0.023060831005237852,-0.05968379446640315,0.6969417681155666,45,region_mean
FCV,rank,OO_fraction,none,0.5239466056732475,0.00022089841863941268,0.4996047430830039,0.00047575316488486475,45,region_mean
FCV,rank,ON_count,log10(x+1),-0.4307022523752703,0.003142596393706078,-0.18458498023715414,0.22480383869742182,45,region_mean
FCV,rank,ON_fraction,none,-0.32144213830231894,0.03130889949887957,-0.2349143610013175,0.12034301278221263,45,region_mean
FCV,rank,NO_count,log10(x+1),-0.3444937892875155,0.020485298677611504,-0.08590250329380762,0.574746735485535,45,region_mean
FCV,rank,NO_fraction,none,0.4675239960910081,0.0012031557460859983,0.37009222661396574,0.012337238970617228,45,region_mean
FCV,rank,NN_count,log10(x+1),-0.4428208828261102,0.00231792047000972,-0.2405797101449275,0.11140181291031066,45,region_mean
FCV,rank,NN_fraction,none,-0.4520960910905051,0.0018223810049122215,-0.4706192358366271,0.0011044022064744328,45,region_mean
FCV,rank,InterOutDegree,log10(x+1),-0.4005106113165489,0.006405658777290289,-0.16310935441370222,0.284362673239645,45,region_mean
FCV,rank,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",0.4765618977068967,0.0009348366124421873,0.4364953886693017,0.002720782338729693,45,region_mean
PreDCA,rank,OO_count,log10(x+1),0.15013112960265843,0.3249367430387625,0.008432147562582345,0.9561593708387297,45,region_mean
PreDCA,rank,OO_fraction,none,0.03628421946512146,0.8129435191147616,0.18616600790513835,0.22078810619920955,45,region_mean
PreDCA,rank,ON_count,log10(x+1),0.15786499678500326,0.30034095018507767,-0.003425559947299077,0.982182519270267,45,region_mean
PreDCA,rank,ON_fraction,none,0.23932750761065583,0.11333315571742161,0.2386034255599473,0.11446149832982998,45,region_mean
PreDCA,rank,NO_count,log10(x+1),0.11277378277747746,0.4607702986437687,-0.06271409749670619,0.6823461486536406,45,region_mean
PreDCA,rank,NO_fraction,none,-0.1686554861494056,0.26808007384702043,-0.13306982872200263,0.3835223747535687,45,region_mean
PreDCA,rank,NN_count,log10(x+1),0.10676049120363926,0.48516665457158037,-0.11567852437417656,0.44922710169553876,45,region_mean
PreDCA,rank,NN_fraction,none,-0.1545157380238445,0.3108414860943536,-0.2660079051383399,0.07736292321862841,45,region_mean
PreDCA,rank,InterOutDegree,log10(x+1),0.13687548774505492,0.36994272087837654,-0.046245059288537546,0.7629165805265092,45,region_mean
PreDCA,rank,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",0.10893510237004535,0.47626706905212024,0.18142292490118575,0.23298561891890573,45,region_mean
PostDCA,unit_norm,OO_count,log10(x+1),-0.38184183577379616,0.009645468055088473,-0.35138339920948614,0.01794039886343432,45,region_mean
PostDCA,unit_norm,OO_fraction,none,0.7665375730621606,8.344793652208359e-10,0.6930171277997365,1.3219230599194217e-07,45,region_mean
PostDCA,unit_norm,ON_count,log10(x+1),-0.5554989853470597,7.463631388324216e-05,-0.5320158102766798,0.00016907728220258151,45,region_mean
PostDCA,unit_norm,ON_fraction,none,-0.5999345671218388,1.326805019608367e-05,-0.5152832674571804,0.00029218052268864764,45,region_mean
PostDCA,unit_norm,NO_count,log10(x+1),-0.37198111513759874,0.011865505120847409,-0.3217391304347826,0.03114409658530312,45,region_mean
PostDCA,unit_norm,NO_fraction,none,0.7318801549505055,1.1154075933818478e-08,0.6476943346508564,1.5150855716983225e-06,45,region_mean
PostDCA,unit_norm,NN_count,log10(x+1),-0.5463307632505374,0.00010345380912703878,-0.5386034255599472,0.000135238701419071,45,region_mean
PostDCA,unit_norm,NN_fraction,none,-0.5083170444170059,0.00036390369373396876,-0.5123847167325428,0.00032030786853144423,45,region_mean
PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.47968818636009547,0.000855317902157109,-0.4544137022397891,0.0017142791940598762,45,region_mean
PostDCA,unit_norm,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",0.6567894126437155,9.596661842594223e-07,0.627931488801054,3.886518525473398e-06,45,region_mean
FCV,unit_norm,OO_count,log10(x+1),-0.3133154071599916,0.036106268976770294,-0.03399209486166008,0.8245682999545315,45,region_mean
FCV,unit_norm,OO_fraction,none,0.6394630410791998,2.2612848867143176e-06,0.5779973649538866,3.212050130521718e-05,45,region_mean
FCV,unit_norm,ON_count,log10(x+1),-0.4212331885097542,0.003956402097532157,-0.186429512516469,0.22012367221376658,45,region_mean
FCV,unit_norm,ON_fraction,none,-0.26036436685364733,0.08410299743263892,-0.21541501976284583,0.1552787812267762,45,region_mean
