figure,panel,model,feature_set,feature,weight,left_out_region,left_out_division,standardized_beta
figure_sc_fc_final_overview,C,PLS LV1,FC,FCS,-0.5450898358381092,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,FCV,0.5756453787107938,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Metastability,0.3203268037984213,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Net TE,0.1535236162612667,,,
figure_sc_fc_final_overview,C,PLS LV1,FC,Neighbor TE,0.4953086985438882,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Clustering,-0.5457372715354144,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Modularity Q,0.31748431534432825,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Global Efficiency,-0.2290502633836619,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Post-DCA,0.6069380100791446,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,Pre-DCA,-0.30265074029303485,,,
figure_sc_fc_final_overview,D,PLS LV1,SC,log10 (Out/In-deg),0.2982269238894186,,,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.5514470522829422,lOB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.5813840245095251,lOB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Metastability,0.30337074289921157,lOB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.14261440118466673,lOB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.4955058924988488,lOB,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.5423705227005998,lP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.5667484495237369,lP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Metastability,0.33937691539882997,lP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.14205285246154098,lP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.49927418065611284,lP,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.5544599596188404,lPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.5740717433272418,lPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Metastability,0.33350310414410633,lPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.13762633316327175,lPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.4825458098864521,lPO,Tel,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.550998792636307,lSP,Tel,
